Points,Revenue
0,10656.5
1000,10931
2000,11187.5
3000,11496.6
4000,11732.9
5000,12004.5
6000,12260.8
7000,12469.7
8000,12706.4
9000,12902.7
10000,13076.8
11000,13223.5
12000,13357.3
13000,13447.2
14000,13518.8
15000,13564.2
16000,13542.7
17000,13522.2
18000,13463.2
19000,13396.7
20000,13263.3
21000,13136.5
22000,13012
23000,12838.6
24000,12645.1
25000,12457.5
26000,12247.1
27000,12026.2
28000,11820.8
29000,11618.1
30000,11404.7
31000,11180
32000,10980.3
33000,10769.8
34000,10543.9
35000,10354.8
36000,10163.5
37000,9982.82
38000,9800.39
39000,9623.95
40000,9467.96
41000,9314.05
42000,9173.62
43000,9057.52
44000,8941.75
45000,8846.58
46000,8786
47000,8726.42
48000,8692.43
49000,8738.2
50000,8691.05
