points,value
0,56253.2
1,56253.2
2,56253.2
3,56253.3
4,56253.3
5,56253.3
6,56253.3
7,56253.3
8,56253.3
9,56253.3
10,56253.4
11,56253.4
12,56253.4
13,56253.4
14,56253.4
15,56253.4
16,56253.4
17,56253.5
18,56253.5
19,56253.5
20,56253.5
21,56253.5
22,56253.5
23,56253.5
24,56253.6
25,56253.6
26,56253.6
27,56253.6
28,56253.6
29,56253.6
30,56253.6
31,56253.7
32,56253.7
33,56253.7
34,56253.7
35,56253.7
36,56253.7
37,56253.7
38,56253.8
39,56253.8
40,56253.8
41,56253.8
42,56253.8
43,56253.8
44,56253.8
45,56253.9
46,56253.9
47,56253.9
48,56253.9
49,56253.9
50,56253.9
51,56253.9
52,56254
53,56254
54,56254
55,56254
56,56254
57,56254
58,56254
59,56254.1
60,56254.1
61,56254.1
62,56254.1
63,56254.1
64,56254.1
65,56254.1
66,56254.2
67,56254.2
68,56254.2
69,56254.2
70,56254.2
71,56254.2
72,56254.3
73,56254.3
74,56254.3
75,56254.3
76,56254.3
77,56254.3
78,56254.3
79,56254.4
80,56254.4
81,56254.4
82,56254.4
83,56254.4
84,56254.4
85,56254.4
86,56254.5
87,56254.5
88,56254.5
89,56254.5
90,56254.5
91,56254.5
92,56254.5
93,56254.6
94,56254.6
95,56254.6
96,56254.6
97,56254.6
98,56254.6
99,56254.6
100,56254.7
101,56254.7
102,56254.7
103,56254.7
104,56254.7
105,56254.7
106,56254.7
107,56254.8
108,56254.8
109,56254.8
110,56254.8
111,56254.8
112,56254.8
113,56254.8
114,56254.9
115,56254.9
116,56254.9
117,56254.9
118,56254.9
119,56254.9
120,56254.9
121,56255
122,56255
123,56255
124,56255
125,56255
126,56255
127,56255
128,56255.1
129,56255.1
130,56255.1
131,56255.1
132,56255.1
133,56255.1
134,56255.1
135,56255.2
136,56255.2
137,56255.2
138,56255.2
139,56255.2
140,56255.2
141,56255.2
142,56255.3
143,56255.3
144,56255.3
145,56255.3
146,56255.3
147,56255.3
148,56255.4
149,56255.4
150,56255.4
151,56255.4
152,56255.4
153,56255.4
154,56255.4
155,56255.5
156,56255.5
157,56255.5
158,56255.5
159,56255.5
160,56255.5
161,56255.5
162,56255.6
163,56255.6
164,56255.6
165,56255.6
166,56255.6
167,56255.6
168,56255.6
169,56255.7
170,56255.7
171,56255.7
172,56255.7
173,56255.7
174,56255.7
175,56255.7
176,56255.8
177,56255.8
178,56255.8
179,56255.8
180,56255.8
181,56255.8
182,56255.8
183,56255.9
184,56255.9
185,56255.9
186,56255.9
187,56255.9
188,56255.9
189,56255.9
190,56256
191,56256
192,56256
193,56256
194,56256
195,56256
196,56256.1
197,56256.1
198,56256.1
199,56256.1
200,56256.1
201,56256.1
202,56256.1
203,56256.2
204,56256.2
205,56256.2
206,56256.2
207,56256.2
208,56256.2
209,56256.2
210,56256.3
211,56256.3
212,56256.3
213,56256.3
214,56256.3
215,56256.3
216,56256.3
217,56256.4
218,56256.4
219,56256.4
220,56256.4
221,56256.4
222,56256.4
223,56256.4
224,56256.5
225,56256.5
226,56256.5
227,56256.5
228,56256.5
229,56256.5
230,56256.5
231,56256.6
232,56256.6
233,56256.6
234,56256.6
235,56256.6
236,56256.6
237,56256.7
238,56256.7
239,56256.7
240,56256.7
241,56256.7
242,56256.7
243,56256.7
244,56256.8
245,56256.8
246,56256.8
247,56256.8
248,56256.8
249,56256.8
250,56256.8
251,56256.9
252,56256.9
253,56256.9
254,56256.9
255,56256.9
256,56256.9
257,56256.9
258,56257
259,56257
260,56257
261,56257
262,56257
263,56257
264,56257
265,56257.1
266,56257.1
267,56257.1
268,56257.1
269,56257.1
270,56257.1
271,56257.2
272,56257.2
273,56257.2
274,56257.2
275,56257.2
276,56257.2
277,56257.2
278,56257.3
279,56257.3
280,56257.3
281,56257.3
282,56257.3
283,56257.3
284,56257.3
285,56257.4
286,56257.4
287,56257.4
288,56257.4
289,56257.4
290,56257.4
291,56257.4
292,56257.5
293,56257.5
294,56257.5
295,56257.5
296,56257.5
297,56257.5
298,56257.5
299,56257.6
300,56257.6
301,56257.6
302,56257.6
303,56257.6
304,56257.6
305,56257.7
306,56257.7
307,56257.7
308,56257.7
309,56257.7
310,56257.7
311,56257.7
312,56257.8
313,56257.8
314,56257.8
315,56257.8
316,56257.8
317,56257.8
318,56257.8
319,56257.9
320,56257.9
321,56257.9
322,56257.9
323,56257.9
324,56257.9
325,56257.9
326,56258
327,56258
328,56258
329,56258
330,56258
331,56258
332,56258.1
333,56258.1
334,56258.1
335,56258.1
336,56258.1
337,56258.1
338,56258.1
339,56258.2
340,56258.2
341,56258.2
342,56258.2
343,56258.2
344,56258.2
345,56258.2
346,56258.3
347,56258.3
348,56258.3
349,56258.3
350,56258.3
351,56258.3
352,56258.3
353,56258.4
354,56258.4
355,56258.4
356,56258.4
357,56258.4
358,56258.4
359,56258.5
360,56258.5
361,56258.5
362,56258.5
363,56258.5
364,56258.5
365,56258.5
366,56258.6
367,56258.6
368,56258.6
369,56258.6
370,56258.6
371,56258.6
372,56258.6
373,56258.7
374,56258.7
375,56258.7
376,56258.7
377,56258.7
378,56258.7
379,56258.7
380,56258.8
381,56258.8
382,56258.8
383,56258.8
384,56258.8
385,56258.8
386,56258.9
387,56258.9
388,56258.9
389,56258.9
390,56258.9
391,56258.9
392,56258.9
393,56259
394,56259
395,56259
396,56259
397,56259
398,56259
399,56259
400,56259.1
401,56259.1
402,56259.1
403,56259.1
404,56259.1
405,56259.1
406,56259.1
407,56259.2
408,56259.2
409,56259.2
410,56259.2
411,56259.2
412,56259.2
413,56259.3
414,56259.3
415,56259.3
416,56259.3
417,56259.3
418,56259.3
419,56259.3
420,56259.4
421,56259.4
422,56259.4
423,56259.4
424,56259.4
425,56259.4
426,56259.4
427,56259.5
428,56259.5
429,56259.5
430,56259.5
431,56259.5
432,56259.5
433,56259.6
434,56259.6
435,56259.6
436,56259.6
437,56259.6
438,56259.6
439,56259.6
440,56259.7
441,56259.7
442,56259.7
443,56259.7
444,56259.7
445,56259.7
446,56259.7
447,56259.8
448,56259.8
449,56259.8
450,56259.8
451,56259.8
452,56259.8
453,56259.9
454,56259.9
455,56259.9
456,56259.9
457,56259.9
458,56259.9
459,56259.9
460,56260
461,56260
462,56260
463,56260
464,56260
465,56260
466,56260
467,56260.1
468,56260.1
469,56260.1
470,56260.1
471,56260.1
472,56260.1
473,56260.2
474,56260.2
475,56260.2
476,56260.2
477,56260.2
478,56260.2
479,56260.2
480,56260.3
481,56260.3
482,56260.3
483,56260.3
484,56260.3
485,56260.3
486,56260.3
487,56260.4
488,56260.4
489,56260.4
490,56260.4
491,56260.4
492,56260.4
493,56260.5
494,56260.5
495,56260.5
496,56260.5
497,56260.5
498,56260.5
499,56260.5
500,56260.6
501,56260.6
502,56260.6
503,56260.6
504,56260.6
505,56260.6
506,56260.6
507,56260.7
508,56260.7
509,56260.7
510,56260.7
511,56260.7
512,56260.7
513,56260.8
514,56260.8
515,56260.8
516,56260.8
517,56260.8
518,56260.8
519,56260.8
520,56260.9
521,56260.9
522,56260.9
523,56260.9
524,56260.9
525,56260.9
526,56260.9
527,56261
528,56261
529,56261
530,56261
531,56261
532,56261
533,56261.1
534,56261.1
535,56261.1
536,56261.1
537,56261.1
538,56261.1
539,56261.1
540,56261.2
541,56261.2
542,56261.2
543,56261.2
544,56261.2
545,56261.2
546,56261.2
547,56261.3
548,56261.3
549,56261.3
550,56261.3
551,56261.3
552,56261.3
553,56261.4
554,56261.4
555,56261.4
556,56261.4
557,56261.4
558,56261.4
559,56261.4
560,56261.5
561,56261.5
562,56261.5
563,56261.5
564,56261.5
565,56261.5
566,56261.6
567,56261.6
568,56261.6
569,56261.6
570,56261.6
571,56261.6
572,56261.6
573,56261.7
574,56261.7
575,56261.7
576,56261.7
577,56261.7
578,56261.7
579,56261.7
580,56261.8
581,56261.8
582,56261.8
583,56261.8
584,56261.8
585,56261.8
586,56261.9
587,56261.9
588,56261.9
589,56261.9
590,56261.9
591,56261.9
592,56261.9
593,56262
594,56262
595,56262
596,56262
597,56262
598,56262
599,56262.1
600,56262.1
601,56262.1
602,56262.1
603,56262.1
604,56262.1
605,56262.1
606,56262.2
607,56262.2
608,56262.2
609,56262.2
610,56262.2
611,56262.2
612,56262.2
613,56262.3
614,56262.3
615,56262.3
616,56262.3
617,56262.3
618,56262.3
619,56262.4
620,56262.4
621,56262.4
622,56262.4
623,56262.4
624,56262.4
625,56262.4
626,56262.5
627,56262.5
628,56262.5
629,56262.5
630,56262.5
631,56262.5
632,56262.6
633,56262.6
634,56262.6
635,56262.6
636,56262.6
637,56262.6
638,56262.6
639,56262.7
640,56262.7
641,56262.7
642,56262.7
643,56262.7
644,56262.7
645,56262.8
646,56262.8
647,56262.8
648,56262.8
649,56262.8
650,56262.8
651,56262.8
652,56262.9
653,56262.9
654,56262.9
655,56262.9
656,56262.9
657,56262.9
658,56262.9
659,56263
660,56263
661,56263
662,56263
663,56263
664,56263
665,56263.1
666,56263.1
667,56263.1
668,56263.1
669,56263.1
670,56263.1
671,56263.1
672,56263.2
673,56263.2
674,56263.2
675,56263.2
