step,railCost
0,31.6534
1,31.5356
2,31.4405
3,31.3624
4,31.2974
5,31.2425
6,31.1956
7,31.1551
8,31.1196
9,31.0882
10,31.0602
11,31.035
12,31.012
13,30.9911
14,30.9717
15,30.9538
16,30.9371
17,30.9215
18,30.9067
19,30.8928
20,30.8797
21,30.8672
22,30.8552
23,30.8438
24,30.8329
25,30.8224
26,30.8123
27,30.8026
28,30.7933
29,30.7842
30,30.7754
31,30.767
32,30.7587
33,30.7508
34,30.743
35,30.7355
36,30.7281
37,30.721
38,30.714
39,30.7072
40,30.7006
41,30.6942
42,30.6879
43,30.6817
44,30.6757
45,30.6698
46,30.6641
47,30.6584
48,30.6529
49,30.6476
50,30.6423
51,30.6371
52,30.6321
53,30.6271
54,30.6223
55,30.6175
56,30.6128
57,30.6083
58,30.6038
59,30.5994
60,30.5951
61,30.5909
62,30.5867
63,30.5826
64,30.5786
65,30.5747
66,30.5708
67,30.567
68,30.5633
69,30.5596
70,30.556
71,30.5525
72,30.549
73,30.5455
74,30.5422
75,30.5388
76,30.5356
77,30.5324
78,30.5292
79,30.5261
80,30.5231
81,30.52
82,30.5171
83,30.5142
84,30.5113
85,30.5085
86,30.5057
87,30.503
88,30.5003
89,30.4976
90,30.495
91,30.4925
92,30.4899
93,30.4874
94,30.485
95,30.4826
96,30.4802
97,30.4778
98,30.4755
99,30.4733
100,30.471
101,30.4688
102,30.4666
103,30.4645
104,30.4624
105,30.4603
106,30.4582
107,30.4562
108,30.4542
109,30.4522
110,30.4503
111,30.4484
112,30.4465
113,30.4446
114,30.4428
115,30.4409
116,30.4392
117,30.4374
118,30.4356
119,30.4339
120,30.4322
121,30.4306
122,30.4289
123,30.4273
124,30.4257
125,30.4241
126,30.4225
127,30.421
128,30.4194
129,30.4179
130,30.4164
131,30.415
132,30.4135
133,30.4121
134,30.4107
135,30.4093
136,30.4079
137,30.4065
138,30.4052
139,30.4039
140,30.4026
141,30.4013
142,30.4
143,30.3987
144,30.3975
145,30.3962
146,30.395
147,30.3938
148,30.3926
149,30.3915
150,30.3903
151,30.3891
152,30.388
153,30.3869
154,30.3858
155,30.3847
156,30.3836
157,30.3825
158,30.3815
159,30.3804
160,30.3794
161,30.3784
162,30.3774
163,30.3764
164,30.3754
165,30.3744
166,30.3734
167,30.3725
168,30.3715
169,30.3706
170,30.3697
171,30.3688
172,30.3679
173,30.367
174,30.3661
