step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,47.4169,7.36538,7.36538,38.391,67.4169,4.68269,4.68269,34.7086,14.7086,4.68269,34.7086,14.7086,14.9999,-5.00012,4.99988
1,37.1401,10.293,10.293,35.0686,57.1401,6.23666,6.23666,29.3082,9.30815,6.23666,29.3082,9.30815,14.9999,-5.00012,4.99988
2,31.4857,12.453,12.453,33.3776,51.4857,7.34765,7.34765,26.4558,6.45579,7.34765,26.4558,6.45579,14.9999,-5.00012,4.99988
3,27.9383,14.0473,14.0473,32.3832,47.9383,8.14993,8.14993,24.7051,4.70511,8.14993,24.7051,4.70511,14.9999,-5.00012,4.99988
4,25.5285,15.2496,15.2496,31.7634,45.5285,8.75294,8.75294,23.5181,3.51811,8.75294,23.5181,3.51811,14.9999,-5.00012,4.99988
5,23.8355,16.1573,16.1573,31.356,43.8355,9.20663,9.20663,22.6862,2.68615,9.20663,22.6862,2.68615,14.9999,-5.00011,4.99989
6,22.618,16.8444,16.8444,31.0772,42.618,9.54877,9.54877,22.0896,2.08959,9.54877,22.0896,2.08959,14.9999,-5.00011,4.99989
7,21.7275,17.366,17.366,30.8799,41.7275,9.80733,9.80733,21.6549,1.65492,9.80733,21.6549,1.65492,14.9999,-5.00011,4.99989
8,21.0683,17.7628,17.7628,30.7367,41.0683,10.003,10.003,21.3347,1.33465,10.003,21.3347,1.33465,14.9999,-5.00011,4.99989
9,20.576,18.0654,18.0654,30.6304,40.576,10.1512,10.1512,21.0968,1.09684,10.1512,21.0968,1.09684,14.9999,-5.00011,4.99989
10,20.2057,18.2964,18.2964,30.5498,40.2057,10.2635,10.2635,20.9194,0.919368,10.2635,20.9194,0.919368,14.9999,-5.00011,4.99989
11,19.9259,18.473,18.473,30.4878,39.9259,10.3485,10.3485,20.7865,0.786539,10.3485,20.7865,0.786539,14.9999,-5.00011,4.99989
12,19.7136,18.6081,18.6081,30.4393,39.7136,10.4127,10.4127,20.687,0.687022,10.4127,20.687,0.687022,14.9999,-5.00011,4.99989
13,19.5522,18.7116,18.7116,30.4007,39.5522,10.461,10.461,20.6125,0.612515,10.461,20.6125,0.612515,14.9999,-5.00011,4.99989
14,19.4291,18.7908,18.7908,30.3696,39.4291,10.4973,10.4973,20.5569,0.556872,10.4973,20.5569,0.556872,14.9999,-5.00011,4.99989
15,19.3352,18.8515,18.8515,30.3441,39.3352,10.5244,10.5244,20.5155,0.515505,10.5244,20.5155,0.515505,14.9999,-5.00011,4.99989
16,19.2635,18.898,18.898,30.323,39.2635,10.5445,10.5445,20.485,0.484962,10.5445,20.485,0.484962,14.9999,-5.00011,4.99989
17,19.2087,18.9336,18.9336,30.3052,39.2087,10.5591,10.5591,20.4626,0.462639,10.5591,20.4626,0.462639,14.9999,-5.00011,4.99989
18,19.1668,18.9608,18.9608,30.2899,39.1668,10.5697,10.5697,20.4466,0.44656,10.5697,20.4466,0.44656,14.9999,-5.00011,4.99989
19,19.1347,18.9817,18.9817,30.2767,39.1347,10.5772,10.5772,20.4352,0.435224,10.5772,20.4352,0.435224,14.9999,-5.0001,4.9999
20,19.1103,18.9976,18.9976,30.265,39.1103,10.5823,10.5823,20.4275,0.427487,10.5823,20.4275,0.427487,14.9999,-5.0001,4.9999
21,19.0916,19.0098,19.0098,30.2547,39.0916,10.5856,10.5856,20.4225,0.422475,10.5856,20.4225,0.422475,14.9999,-5.0001,4.9999
22,19.0773,19.0191,19.0191,30.2453,39.0773,10.5875,10.5875,20.4195,0.419522,10.5875,20.4195,0.419522,14.9999,-5.0001,4.9999
23,19.0664,19.0261,19.0261,30.2368,39.0664,10.5885,10.5885,20.4181,0.418119,10.5885,20.4181,0.418119,14.9999,-5.0001,4.9999
24,19.0582,19.0315,19.0315,30.2289,39.0582,10.5886,10.5886,20.4179,0.417875,10.5886,20.4179,0.417875,14.9999,-5.0001,4.9999
25,19.0519,19.0356,19.0356,30.2217,39.0519,10.5882,10.5882,20.4185,0.418493,10.5882,20.4185,0.418493,14.9999,-5.0001,4.9999
26,19.0472,19.0386,19.0386,30.2149,39.0472,10.5874,10.5874,20.4197,0.419746,10.5874,20.4197,0.419746,14.9999,-5.0001,4.9999
27,19.0437,19.0409,19.0409,30.2085,39.0437,10.5863,10.5863,20.4215,0.421461,10.5863,20.4215,0.421461,14.9999,-5.0001,4.9999
28,19.041,19.0426,19.0426,30.2024,39.041,10.5849,10.5849,20.4235,0.423504,10.5849,20.4235,0.423504,14.9999,-5.0001,4.9999
29,19.0389,19.044,19.044,30.1967,39.0389,10.5835,10.5835,20.4257,0.4257,10.5835,20.4257,0.4257,14.9999,-5.0001,4.9999
30,19.037,19.0452,19.0452,30.1911,39.037,10.582,10.582,20.4279,0.427903,10.582,20.4279,0.427903,14.9999,-5.0001,4.9999
31,19.0354,19.0462,19.0462,30.1858,39.0354,10.5805,10.5805,20.4301,0.430105,10.5805,20.4301,0.430105,14.9999,-5.0001,4.9999
32,19.0339,19.0472,19.0472,30.1807,39.0339,10.5791,10.5791,20.4323,0.432302,10.5791,20.4323,0.432302,14.9999,-5.0001,4.9999
33,19.0326,19.048,19.048,30.1758,39.0326,10.5777,10.5777,20.4345,0.434488,10.5777,20.4345,0.434488,14.9999,-5.0001,4.9999
34,19.0315,19.0487,19.0487,30.171,39.0315,10.5762,10.5762,20.4367,0.436659,10.5762,20.4367,0.436659,14.9999,-5.0001,4.9999
35,19.0305,19.0493,19.0493,30.1665,39.0305,10.5748,10.5748,20.4388,0.438811,10.5748,20.4388,0.438811,14.9999,-5.0001,4.9999
36,19.0297,19.0499,19.0499,30.1621,39.0297,10.5734,10.5734,20.4409,0.440941,10.5734,20.4409,0.440941,14.9999,-5.0001,4.9999
37,19.0289,19.0503,19.0503,30.1579,39.0289,10.572,10.572,20.443,0.443045,10.572,20.443,0.443045,14.9999,-5.00009,4.99991
38,19.0283,19.0507,19.0507,30.1538,39.0283,10.5706,10.5706,20.4451,0.445121,10.5706,20.4451,0.445121,14.9999,-5.00009,4.99991
39,19.0278,19.051,19.051,30.1499,39.0278,10.5693,10.5693,20.4472,0.447167,10.5693,20.4472,0.447167,14.9999,-5.00009,4.99991
40,19.0274,19.0513,19.0513,30.1462,39.0274,10.568,10.568,20.4492,0.44918,10.568,20.4492,0.44918,14.9999,-5.00009,4.99991
41,19.027,19.0515,19.0515,30.1425,39.027,10.5667,10.5667,20.4512,0.45116,10.5667,20.4512,0.45116,14.9999,-5.00009,4.99991
42,19.0268,19.0517,19.0517,30.139,39.0268,10.5654,10.5654,20.4531,0.453104,10.5654,20.4531,0.453104,14.9999,-5.00009,4.99991
43,19.0266,19.0518,19.0518,30.1357,39.0266,10.5641,10.5641,20.455,0.455012,10.5641,20.455,0.455012,14.9999,-5.00009,4.99991
44,19.0264,19.0519,19.0519,30.1324,39.0264,10.5629,10.5629,20.4569,0.456882,10.5629,20.4569,0.456882,14.9999,-5.00009,4.99991
45,19.0263,19.0519,19.0519,30.1293,39.0263,10.5617,10.5617,20.4587,0.458714,10.5617,20.4587,0.458714,14.9999,-5.00009,4.99991
46,19.0263,19.0519,19.0519,30.1263,39.0263,10.5605,10.5605,20.4605,0.460507,10.5605,20.4605,0.460507,14.9999,-5.00009,4.99991
47,19.0263,19.0519,19.0519,30.1234,39.0263,10.5594,10.5594,20.4623,0.462261,10.5594,20.4623,0.462261,14.9999,-5.00009,4.99991
48,19.0263,19.0519,19.0519,30.1206,39.0263,10.5582,10.5582,20.464,0.463976,10.5582,20.464,0.463976,14.9999,-5.00009,4.99991
49,19.0264,19.0518,19.0518,30.1179,39.0264,10.5571,10.5571,20.4657,0.465651,10.5571,20.4657,0.465651,14.9999,-5.00009,4.99991
50,19.0265,19.0518,19.0518,30.1153,39.0265,10.5561,10.5561,20.4673,0.467287,10.5561,20.4673,0.467287,14.9999,-5.00009,4.99991
51,19.0267,19.0517,19.0517,30.1128,39.0267,10.555,10.555,20.4689,0.468883,10.555,20.4689,0.468883,14.9999,-5.00009,4.99991
52,19.0268,19.0515,19.0515,30.1104,39.0268,10.554,10.554,20.4704,0.47044,10.554,20.4704,0.47044,14.9999,-5.00009,4.99991
53,19.027,19.0514,19.0514,30.108,39.027,10.553,10.553,20.472,0.471958,10.553,20.472,0.471958,14.9999,-5.00009,4.99991
54,19.0272,19.0513,19.0513,30.1058,39.0272,10.552,10.552,20.4734,0.473438,10.552,20.4734,0.473438,14.9999,-5.00009,4.99991
