step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,8.12767,0.936164,0.936164,5.62025e-21,4.80301e-43,1.36775e-31,1.36775e-31,3.92568e-82,1.29058e-05,1.36775e-31,3.92568e-82,1.29058e-05,1.60926e-37,4.99997,4.92564e-09
1,7.40326,1.26169,1.26169,0.0733592,3.99068e-43,2.58786e-07,2.58786e-07,3.06516e-82,1.2138e-05,2.58786e-07,3.06516e-82,1.2138e-05,1.51024e-37,4.99997,2.55469e-07
2,6.99041,1.46226,1.46226,0.08506,3.44889e-43,3.30121e-07,3.30121e-07,2.50687e-82,1.18002e-05,3.30121e-07,2.50687e-82,1.18002e-05,1.40804e-37,4.99998,3.58462e-07
3,6.72448,1.59709,1.59709,0.0813394,3.04822e-43,3.24681e-07,3.24681e-07,2.10153e-82,1.16487e-05,3.24681e-07,2.10153e-82,1.16487e-05,1.30941e-37,4.99998,3.91562e-07
4,6.53802,1.69199,1.69199,0.077995,2.73322e-43,3.17152e-07,3.17152e-07,1.78886e-82,1.15391e-05,3.17152e-07,1.78886e-82,1.15391e-05,1.21626e-37,4.99998,3.90484e-07
5,6.4041,1.76048,1.76048,0.0749327,2.47542e-43,3.08279e-07,3.08279e-07,1.53869e-82,1.14464e-05,3.08279e-07,1.53869e-82,1.14464e-05,1.12905e-37,4.99998,3.88993e-07
6,6.30632,1.81079,1.81079,0.0720914,2.25799e-43,2.98582e-07,2.98582e-07,1.33328e-82,1.13653e-05,2.98582e-07,1.33328e-82,1.13653e-05,1.04775e-37,4.99998,3.87194e-07
7,6.23411,1.84823,1.84823,0.0694295,2.07037e-43,2.88426e-07,2.88426e-07,1.16143e-82,1.12926e-05,2.88426e-07,1.16143e-82,1.12926e-05,9.72129e-38,4.99998,3.85143e-07
8,6.18037,1.87636,1.87636,0.0669175,1.90563e-43,2.78066e-07,2.78066e-07,1.01566e-82,1.12258e-05,2.78066e-07,1.01566e-82,1.12258e-05,9.01876e-38,4.99998,3.82874e-07
9,6.14015,1.89766,1.89766,0.0645341,1.75901e-43,2.67682e-07,2.67682e-07,8.90736e-83,1.11633e-05,2.67682e-07,8.90736e-83,1.11633e-05,8.36651e-38,4.99998,3.80413e-07
10,6.10997,1.91388,1.91388,0.0622635,1.62714e-43,2.574e-07,2.574e-07,7.82843e-83,1.1104e-05,2.574e-07,7.82843e-83,1.1104e-05,7.76118e-38,4.99998,3.77776e-07
11,6.08728,1.92631,1.92631,0.0600936,1.50759e-43,2.47306e-07,2.47306e-07,6.89117e-83,1.1047e-05,2.47306e-07,6.89117e-83,1.1047e-05,7.1995e-38,4.99998,3.74979e-07
12,6.07023,1.93588,1.93588,0.0580148,1.39852e-43,2.37458e-07,2.37458e-07,6.07336e-83,1.09918e-05,2.37458e-07,6.07336e-83,1.09918e-05,6.6784e-38,4.99998,3.72038e-07
13,6.05743,1.94327,1.94327,0.0560198,1.29855e-43,2.27894e-07,2.27894e-07,5.35741e-83,1.09378e-05,2.27894e-07,5.35741e-83,1.09378e-05,6.19496e-38,4.99998,3.68964e-07
14,6.04786,1.94902,1.94902,0.0541025,1.20657e-43,2.18637e-07,2.18637e-07,4.72903e-83,1.08847e-05,2.18637e-07,4.72903e-83,1.08847e-05,5.7465e-38,4.99998,3.65771e-07
15,6.04073,1.95351,1.95351,0.0522577,1.1217e-43,2.097e-07,2.097e-07,4.17644e-83,1.08324e-05,2.097e-07,4.17644e-83,1.08324e-05,5.33049e-38,4.99998,3.62469e-07
16,6.03546,1.95703,1.95703,0.0504812,1.04323e-43,2.01088e-07,2.01088e-07,3.6898e-83,1.07806e-05,2.01088e-07,3.6898e-83,1.07806e-05,4.94459e-38,4.99998,3.59069e-07
17,6.0316,1.95981,1.95981,0.0487694,9.70548e-44,1.92802e-07,1.92802e-07,3.26076e-83,1.07291e-05,1.92802e-07,3.26076e-83,1.07291e-05,4.58662e-38,4.99998,3.5558e-07
