step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0,0,0,0,0,0,0,0,2.71238,12.2876,0,0,0,0,0,0,0,2.71238,9.57524,0,0,0,0,0,0,2.03403e-44,2.71238,0,0,0,0,0,0,0,4.06805e-44,5.42476,0,4.64687e-124,5.0083,4.56694,0,0,0,2.03403e-44,0,0,0,0,0,0,0,0,6.10208e-44,0,1.23854e-184,4.9917,0.43306,1.14297e-111,5.0083,0,0,0,0,0,0,0,4.56694,0,0,0,0,0,0,6.10208e-44,0,4.9917,0,0,0,0,0,0,0,5,5.0083
1,0,0,0,0,0,0,0,0,3.16849,11.8315,0,0,0,0,0,0,0,3.05706,8.77445,0,0,0,0,0,0,0.111434,3.05706,0,0,0,0,0,0,0,0.222867,5.89125,0,4.30482e-124,4.80834,3.96611,0,0,0,0.111434,0,0,0,0,0,0,0,0,0.334301,0,0.0902739,5.19166,0.609313,1.06305e-111,4.80834,0,0,0,0,0,0,0,3.96611,0,0,0,0,0,0,0.424575,0,5.19166,0,0,0,0,0,0,0,4.57542,4.80834
2,0,0,0,0,0,0,0,0,3.388,11.612,0,0,0,0,0,0,0,3.20401,8.408,0,0,0,0,0,0,0.183993,3.20401,0,0,0,0,0,0,0,0.367986,6.04003,0,4.05397e-124,4.72701,3.68098,0,0,0,0.183993,0,0,0,0,0,0,0,0,0.551979,0,0.0863221,5.27299,0.680717,1.01318e-111,4.72701,0,0,0,0,0,0,0,3.68098,0,0,0,0,0,0,0.638301,0,5.27299,0,0,0,0,0,0,0,4.3617,4.72701
3,0,0,0,0,0,0,0,0,3.53421,11.4658,0,0,0,0,0,0,0,3.29295,8.17284,0,0,0,0,0,0,0.241255,3.29295,0,0,0,0,0,0,0,0.482511,6.1034,0,3.84282e-124,4.69108,3.48176,0,0,0,0.241255,0,0,0,0,0,0,0,0,0.723766,0,0.0797898,5.30892,0.714681,9.75079e-112,4.69108,0,0,0,0,0,0,0,3.48176,0,0,0,0,0,0,0.803556,0,5.30892,0,0,0,0,0,0,0,4.19644,4.69108
4,0,0,0,0,0,0,0,0,3.63991,11.3601,0,0,0,0,0,0,0,3.35067,8.00942,0,0,0,0,0,0,0.289235,3.35067,0,0,0,0,0,0,0,0.57847,6.12287,0,3.65723e-124,4.67967,3.32975,0,0,0,0.289235,0,0,0,0,0,0,0,0,0.867705,0,0.0735098,5.32033,0.729034,9.43456e-112,4.67967,0,0,0,0,0,0,0,3.32975,0,0,0,0,0,0,0.941215,0,5.32033,0,0,0,0,0,0,0,4.05878,4.67967
5,0,0,0,0,0,0,0,0,3.72111,11.2789,0,0,0,0,0,0,0,3.39028,7.8886,0,0,0,0,0,0,0.330829,3.39028,0,0,0,0,0,0,0,0.661658,6.11891,0,3.48993e-124,4.68115,3.20745,0,0,0,0.330829,0,0,0,0,0,0,0,0,0.992488,0,0.0676214,5.31885,0.732438,9.15676e-112,4.68115,0,0,0,0,0,0,0,3.20745,0,0,0,0,0,0,1.06011,0,5.31885,0,0,0,0,0,0,0,3.93989,4.68115
6,0,0,0,0,0,0,0,0,3.78746,11.2125,0,0,0,0,0,0,0,3.41981,7.79273,0,0,0,0,0,0,0.367647,3.41981,0,0,0,0,0,0,0,0.735295,6.10433,0,3.33666e-124,4.68733,3.10539,0,0,0,0.367647,0,0,0,0,0,0,0,0,1.10294,0,0.0621713,5.31267,0.729493,8.90335e-112,4.68733,0,0,0,0,0,0,0,3.10539,0,0,0,0,0,0,1.16511,0,5.31267,0,0,0,0,0,0,0,3.83489,4.68733
7,0,0,0,0,0,0,0,0,3.84289,11.1571,0,0,0,0,0,0,0,3.44224,7.71487,0,0,0,0,0,0,0.400647,3.44224,0,0,0,0,0,0,0,0.801294,6.08318,0,3.19476e-124,4.69657,3.0183,0,0,0,0.400647,0,0,0,0,0,0,0,0,1.20194,0,0.0571575,5.30343,0.722598,8.66721e-112,4.69657,0,0,0,0,0,0,0,3.0183,0,0,0,0,0,0,1.2591,0,5.30343,0,0,0,0,0,0,0,3.7409,4.69657
8,0,0,0,0,0,0,0,0,3.89006,11.1099,0,0,0,0,0,0,0,3.45956,7.65038,0,0,0,0,0,0,0.430502,3.45956,0,0,0,0,0,0,0,0.861005,6.05811,0,3.06237e-124,4.70774,2.94264,0,0,0,0.430502,0,0,0,0,0,0,0,0,1.29151,0,0.052562,5.29226,0.713287,8.4437e-112,4.70774,0,0,0,0,0,0,0,2.94264,0,0,0,0,0,0,1.34407,0,5.29226,0,0,0,0,0,0,0,3.65593,4.70774
9,0,0,0,0,0,0,0,0,3.93085,11.0692,0,0,0,0,0,0,0,3.47314,7.59602,0,0,0,0,0,0,0.457709,3.47314,0,0,0,0,0,0,0,0.915417,6.03086,0,2.93814e-124,4.72006,2.87595,0,0,0,0.457709,0,0,0,0,0,0,0,0,1.37313,0,0.0483587,5.27994,0.702562,8.22971e-112,4.72006,0,0,0,0,0,0,0,2.87595,0,0,0,0,0,0,1.42148,0,5.27994,0,0,0,0,0,0,0,3.57852,4.72006
