step,sumCost
0,115.256
1,102.487
2,98.0476
3,95.5487
4,93.8518
5,92.5605
6,91.5183
7,90.6489
8,89.9077
9,89.2668
10,88.7071
11,88.2151
12,87.7803
13,87.3948
14,87.0522
15,86.7467
16,86.4739
17,86.2298
18,86.0109
19,85.8144
20,85.6377
21,85.4786
22,85.3351
23,85.2056
24,85.0886
25,84.9828
26,84.8869
27,84.8001
28,84.7212
29,84.6497
30,84.5846
31,84.5254
32,84.4716
33,84.4225
34,84.3778
35,84.337
36,84.2997
37,84.2657
38,84.2346
39,84.2061
40,84.18
41,84.1562
42,84.1343
43,84.1143
44,84.0959
45,84.079
46,84.0635
47,84.0492
48,84.0361
49,84.024
50,84.0129
51,84.0027
52,83.9933
53,83.9846
54,83.9766
55,83.9692
56,83.9623
57,83.956
58,83.9501
59,83.9447
60,83.9397
61,83.9351
62,83.9308
63,83.9268
64,83.9231
65,83.9196
66,83.9164
67,83.9135
68,83.9107
69,83.9081
70,83.9057
71,83.9035
72,83.9014
73,83.8994
74,83.8976
75,83.8959
76,83.8943
77,83.8928
78,83.8913
79,83.89
80,83.8888
81,83.8876
82,83.8865
83,83.8854
84,83.8845
85,83.8835
86,83.8826
87,83.8818
88,83.881
89,83.8803
90,83.8796
91,83.8789
92,83.8782
93,83.8776
94,83.877
95,83.8765
96,83.8759
97,83.8754
98,83.8749
99,83.8744
100,83.874
101,83.8736
102,83.8731
103,83.8727
104,83.8723
105,83.872
106,83.8716
107,83.8712
108,83.8709
109,83.8706
110,83.8702
111,83.8699
112,83.8696
113,83.8693
114,83.869
115,83.8688
116,83.8685
117,83.8682
118,83.868
119,83.8677
120,83.8675
121,83.8672
122,83.867
123,83.8667
124,83.8665
125,83.8663
126,83.8661
127,83.8659
128,83.8657
129,83.8654
130,83.8652
131,83.865
132,83.8648
133,83.8647
134,83.8645
135,83.8643
136,83.8641
137,83.8639
138,83.8637
139,83.8636
140,83.8634
141,83.8632
142,83.8631
143,83.8629
144,83.8627
145,83.8626
146,83.8624
147,83.8623
148,83.8621
149,83.862
150,83.8618
151,83.8617
152,83.8616
153,83.8614
154,83.8613
155,83.8611
156,83.861
157,83.8609
158,83.8608
159,83.8606
160,83.8605
161,83.8604
162,83.8603
163,83.8601
164,83.86
165,83.8599
166,83.8598
167,83.8597
168,83.8595
169,83.8594
170,83.8593
171,83.8592
172,83.8591
173,83.859
174,83.8589
175,83.8588
176,83.8587
177,83.8586
178,83.8585
179,83.8584
180,83.8583
181,83.8582
182,83.8581
183,83.858
184,83.8579
185,83.8578
186,83.8577
187,83.8577
188,83.8576
189,83.8575
190,83.8574
191,83.8573
192,83.8572
193,83.8571
194,83.8571
195,83.857
196,83.8569
197,83.8568
198,83.8567
199,83.8567
200,83.8566
201,83.8565
202,83.8564
203,83.8564
204,83.8563
205,83.8562
206,83.8562
207,83.8561
208,83.856
209,83.856
210,83.8559
211,83.8558
212,83.8557
213,83.8557
214,83.8556
215,83.8556
216,83.8555
217,83.8554
218,83.8554
219,83.8553
220,83.8552
221,83.8552
222,83.8551
223,83.8551
224,83.855
225,83.855
226,83.8549
227,83.8548
228,83.8548
229,83.8547
230,83.8547
231,83.8546
232,83.8546
233,83.8545
234,83.8545
235,83.8544
236,83.8544
237,83.8543
238,83.8543
239,83.8542
240,83.8542
241,83.8541
242,83.8541
243,83.854
244,83.854
245,83.8539
246,83.8539
247,83.8539
248,83.8538
249,83.8538
250,83.8537
251,83.8537
252,83.8536
253,83.8536
254,83.8536
255,83.8535
256,83.8535
257,83.8534
258,83.8534
259,83.8534
260,83.8533
261,83.8533
262,83.8532
263,83.8532
264,83.8532
265,83.8531
266,83.8531
267,83.8531
268,83.853
269,83.853
270,83.8529
271,83.8529
272,83.8529
273,83.8528
274,83.8528
275,83.8528
276,83.8527
277,83.8527
278,83.8527
279,83.8527
280,83.8526
281,83.8526
282,83.8526
283,83.8525
284,83.8525
285,83.8525
286,83.8524
287,83.8524
288,83.8524
289,83.8524
290,83.8523
291,83.8523
292,83.8523
293,83.8522
294,83.8522
295,83.8522
296,83.8522
297,83.8521
298,83.8521
299,83.8521
300,83.8521
301,83.852
302,83.852
303,83.852
304,83.852
305,83.8519
306,83.8519
307,83.8519
308,83.8519
309,83.8518
310,83.8518
311,83.8518
312,83.8518
313,83.8518
314,83.8517
315,83.8517
316,83.8517
317,83.8517
318,83.8516
319,83.8516
320,83.8516
321,83.8516
322,83.8516
323,83.8515
324,83.8515
325,83.8515
326,83.8515
327,83.8515
328,83.8514
329,83.8514
330,83.8514
331,83.8514
332,83.8514
333,83.8514
334,83.8513
335,83.8513
336,83.8513
337,83.8513
338,83.8513
339,83.8513
340,83.8512
341,83.8512
342,83.8512
343,83.8512
344,83.8512
345,83.8512
346,83.8511
347,83.8511
348,83.8511
349,83.8511
350,83.8511
351,83.8511
352,83.851
353,83.851
354,83.851
355,83.851
356,83.851
357,83.851
358,83.851
359,83.8509
360,83.8509
361,83.8509
362,83.8509
363,83.8509
364,83.8509
365,83.8509
366,83.8509
367,83.8508
368,83.8508
369,83.8508
370,83.8508
371,83.8508
372,83.8508
373,83.8508
374,83.8508
375,83.8507
376,83.8507
377,83.8507
378,83.8507
379,83.8507
380,83.8507
381,83.8507
382,83.8507
383,83.8507
384,83.8506
385,83.8506
386,83.8506
387,83.8506
388,83.8506
389,83.8506
390,83.8506
391,83.8506
392,83.8506
393,83.8506
394,83.8505
395,83.8505
396,83.8505
397,83.8505
398,83.8505
399,83.8505
400,83.8505
401,83.8505
402,83.8505
403,83.8505
404,83.8505
405,83.8504
406,83.8504
407,83.8504
408,83.8504
409,83.8504
410,83.8504
411,83.8504
412,83.8504
413,83.8504
414,83.8504
415,83.8504
416,83.8504
417,83.8503
418,83.8503
419,83.8503
420,83.8503
421,83.8503
422,83.8503
423,83.8503
424,83.8503
425,83.8503
426,83.8503
427,83.8503
428,83.8503
429,83.8503
430,83.8503
431,83.8502
432,83.8502
433,83.8502
434,83.8502
435,83.8502
436,83.8502
437,83.8502
438,83.8502
439,83.8502
440,83.8502
441,83.8502
442,83.8502
443,83.8502
444,83.8502
445,83.8502
446,83.8502
447,83.8501
448,83.8501
449,83.8501
450,83.8501
451,83.8501
452,83.8501
453,83.8501
454,83.8501
455,83.8501
456,83.8501
457,83.8501
458,83.8501
459,83.8501
460,83.8501
461,83.8501
462,83.8501
463,83.8501
464,83.8501
465,83.8501
466,83.85
467,83.85
468,83.85
469,83.85
470,83.85
471,83.85
472,83.85
473,83.85
474,83.85
475,83.85
476,83.85
477,83.85
478,83.85
479,83.85
480,83.85
481,83.85
482,83.85
483,83.85
484,83.85
485,83.85
486,83.85
487,83.85
488,83.85
489,83.8499
490,83.8499
491,83.8499
492,83.8499
493,83.8499
494,83.8499
495,83.8499
496,83.8499
497,83.8499
498,83.8499
499,83.8499
500,83.8499
