step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,50.0831,30.083,30.083,61.0808,60.0831,3,3,17.0841,7.08414,3,17.0841,7.08414,47.0819,37.0819,27.0819
1,42.0385,33.6114,19.4692,40.8142,37.8964,3.05426,-11.0879,5.49117,9.63331,-25.23,-8.65096,-4.50883,11.694,15.8362,19.9783
2,34.6787,36.9208,22.7786,34.9392,30.5366,3.25893,-10.8832,8.01701,12.1591,-25.0253,-6.12512,-1.98299,5.03545,9.17759,13.3197
3,31.5771,37.8121,23.67,32.1516,27.4349,3.49335,-10.6488,8.7397,12.8818,-24.7909,-5.40243,-1.2603,2.07918,6.22131,10.3634
4,29.8976,37.8634,23.7213,30.4146,25.7554,3.73765,-10.4045,8.82201,12.9641,-24.5466,-5.32013,-1.17799,0.373125,4.51526,8.6574
5,28.8488,37.5885,23.4464,29.1629,24.7066,3.98319,-10.1589,8.65605,12.7982,-24.3011,-5.48609,-1.34395,-0.769605,3.37253,7.51467
6,28.1162,37.2005,23.0584,28.1763,23.974,4.22472,-9.91741,8.40379,12.5459,-24.0595,-5.73834,-1.59621,-1.62038,2.52175,6.66389
7,27.5706,36.7788,22.6366,27.367,23.4285,4.45894,-9.6832,8.12243,12.2646,-23.8253,-6.01971,-1.87757,-2.28938,1.85276,5.99489
8,27.1382,36.3655,22.2234,26.6894,22.9961,4.68413,-9.45801,7.83894,11.9811,-23.6001,-6.3032,-2.16106,-2.83716,1.30498,5.44712
9,26.7778,35.979,21.8369,26.1128,22.6357,4.89949,-9.24265,7.56634,11.7085,-23.3848,-6.57579,-2.43366,-3.29984,0.842298,4.98443
10,26.4662,35.6252,21.4831,25.6155,22.324,5.10478,-9.03735,7.31003,11.4522,-23.1795,-6.8321,-2.68997,-3.69971,0.442424,4.58456
11,26.1846,35.3052,21.163,25.1776,22.0424,5.30162,-8.84051,7.0717,11.2138,-22.9826,-7.07044,-2.9283,-4.05588,0.0862568,4.22839
