step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0,0,0,0,0,0,0,0,0.271222,4.72878,0,0,0,0,0,0,0,0.271222,4.45756,0,0,0,0,0,0,1.98764e-38,0.271222,0,0,0,0,0,0,0,3.97529e-38,0.542443,0,1.65235e-150,0,4.45756,0,0,0,1.98764e-38,0,0,0,0,0,0,0,0,5.96293e-38,0,4.26036e-156,0,0.542443,0,0,0,0,0,0,0,0,0,4.45756,0,0,0,0,0,0,5.96293e-38,0,0,0,0,0,0,0,0,0,5,0
1,0,0,0,0,0,0,0,0,0.609986,4.39001,0,0,0,0,0,0,0,0.502383,3.88763,0,0,0,0,0,0,0.107603,0.502383,0,0,0,0,0,0,0,0.215206,0.78956,0,1.3089e-150,0,3.88763,0,0,0,0.107603,0,0,0,0,0,0,0,0,0.322809,0,0.0825248,0,0.707035,0,0,0,0,0,0,0,0,0,3.88763,0,0,0,0,0,0,0.405334,0,0,0,0,0,0,0,0,0,4.59467,0
2,0,0,0,0,0,0,0,0,0.78251,4.21749,0,0,0,0,0,0,0,0.603522,3.61397,0,0,0,0,0,0,0.178989,0.603522,0,0,0,0,0,0,0,0.357977,0.849066,0,1.11205e-150,0,3.61397,0,0,0,0.178989,0,0,0,0,0,0,0,0,0.536966,0,0.0768465,0,0.772219,0,0,0,0,0,0,0,0,0,3.61397,0,0,0,0,0,0,0.613813,0,0,0,0,0,0,0,0,0,4.38619,0
3,0,0,0,0,0,0,0,0,0.907662,4.09234,0,0,0,0,0,0,0,0.671912,3.42043,0,0,0,0,0,0,0.23575,0.671912,0,0,0,0,0,0,0,0.4715,0.872325,0,9.71842e-151,0,3.42043,0,0,0,0.23575,0,0,0,0,0,0,0,0,0.70725,0,0.0709832,0,0.801342,0,0,0,0,0,0,0,0,0,3.42043,0,0,0,0,0,0,0.778233,0,0,0,0,0,0,0,0,0,4.22177,0
4,0,0,0,0,0,0,0,0,1.0054,3.9946,0,0,0,0,0,0,0,0.721889,3.27272,0,0,0,0,0,0,0.283506,0.721889,0,0,0,0,0,0,0,0.567013,0.876765,0,8.63674e-151,0,3.27272,0,0,0,0.283506,0,0,0,0,0,0,0,0,0.850519,0,0.0653522,0,0.811412,0,0,0,0,0,0,0,0,0,3.27272,0,0,0,0,0,0,0.915872,0,0,0,0,0,0,0,0,0,4.08413,0
5,0,0,0,0,0,0,0,0,1.08557,3.91443,0,0,0,0,0,0,0,0.760539,3.15389,0,0,0,0,0,0,0.325029,0.760539,0,0,0,0,0,0,0,0.650058,0.871019,0,7.75839e-151,0,3.15389,0,0,0,0.325029,0,0,0,0,0,0,0,0,0.975087,0,0.060077,0,0.810942,0,0,0,0,0,0,0,0,0,3.15389,0,0,0,0,0,0,1.03516,0,0,0,0,0,0,0,0,0,3.96484,0
6,0,0,0,0,0,0,0,0,1.15365,3.84635,0,0,0,0,0,0,0,0.791764,3.05459,0,0,0,0,0,0,0.361884,0.791764,0,0,0,0,0,0,0,0.723767,0.85976,0,7.02032e-151,0,3.05459,0,0,0,0.361884,0,0,0,0,0,0,0,0,1.08565,0,0.0552001,0,0.80456,0,0,0,0,0,0,0,0,0,3.05459,0,0,0,0,0,0,1.14085,0,0,0,0,0,0,0,0,0,3.85915,0
7,0,0,0,0,0,0,0,0,1.21261,3.78739,0,0,0,0,0,0,0,0.817627,2.96976,0,0,0,0,0,0,0.394983,0.817627,0,0,0,0,0,0,0,0.789967,0.845287,0,6.38725e-151,0,2.96976,0,0,0,0.394983,0,0,0,0,0,0,0,0,1.18495,0,0.0507182,0,0.794569,0,0,0,0,0,0,0,0,0,2.96976,0,0,0,0,0,0,1.23567,0,0,0,0,0,0,0,0,0,3.76433,0
8,0,0,0,0,0,0,0,0,1.26447,3.73553,0,0,0,0,0,0,0,0.839496,2.89603,0,0,0,0,0,0,0.424973,0.839496,0,0,0,0,0,0,0,0.849947,0.829046,0,5.83579e-151,0,2.89603,0,0,0,0.424973,0,0,0,0,0,0,0,0,1.27492,0,0.0466136,0,0.782432,0,0,0,0,0,0,0,0,0,2.89603,0,0,0,0,0,0,1.32153,0,0,0,0,0,0,0,0,0,3.67847,0
9,0,0,0,0,0,0,0,0,1.31064,3.68936,0,0,0,0,0,0,0,0.858312,2.83104,0,0,0,0,0,0,0.452331,0.858312,0,0,0,0,0,0,0,0.904662,0.811963,0,5.34966e-151,0,2.83104,0,0,0,0.452331,0,0,0,0,0,0,0,0,1.35699,0,0.042862,0,0.769101,0,0,0,0,0,0,0,0,0,2.83104,0,0,0,0,0,0,1.39986,0,0,0,0,0,0,0,0,0,3.60014,0
10,0,0,0,0,0,0,0,0,1.35217,3.64783,0,0,0,0,0,0,0,0.874742,2.77309,0,0,0,0,0,0,0.477424,0.874742,0,0,0,0,0,0,0,0.954848,0.794636,0,4.91714e-151,0,2.77309,0,0,0,0.477424,0,0,0,0,0,0,0,0,1.43227,0,0.0394362,0,0.755199,0,0,0,0,0,0,0,0,0,2.77309,0,0,0,0,0,0,1.47171,0,0,0,0,0,0,0,0,0,3.52829,0
11,0,0,0,0,0,0,0,0,1.38994,3.61006,0,0,0,0,0,0,0,0.889402,2.72065,0,0,0,0,0,0,0.500542,0.889402,0,0,0,0,0,0,0,1.00108,0.777721,0,2.25659e-06,0,2.72065,0,0,0,0.500542,0,0,0,0,0,0,0,0,1.50163,0,0.0363068,0,0.741417,0,0,0,0,0,0,0,0,0,2.72065,0,0,0,0,0,0,1.53793,0,0,0,0,0,0,0,0,0,3.46207,0
12,0,0,0,0,0,0,0,0,1.42471,3.57529,0,0,0,0,0,0,0,0.902797,2.67249,0,0,0,0,0,0,0.521915,0.902797,0,0,0,0,0,0,0,1.04383,0.761764,0,8.88918e-06,0,2.67248,0,0,0,0.521915,0,0,0,0,0,0,0,0,1.56574,0,0.0334447,0,0.728328,0,0,0,0,0,0,0,0,0,2.67248,0,0,0,0,0,0,1.59919,0,0,0,0,0,0,0,0,0,3.40081,0
13,0,0,0,0,0,0,0,0,1.45681,3.54319,0,0,0,0,0,0,0,0.915086,2.6281,0,0,0,0,0,0,0.541728,0.915086,0,0,0,0,0,0,0,1.08346,0.746716,0,1.79393e-05,0,2.62808,0,0,0,0.541728,0,0,0,0,0,0,0,0,1.62518,0,0.0308268,0,0.715907,0,0,0,0,0,0,0,0,0,2.62808,0,0,0,0,0,0,1.65601,0,0,0,0,0,0,0,0,0,3.34399,0
14,0,0,0,0,0,0,0,0,1.48654,3.51346,0,0,0,0,0,0,0,0.926403,2.58705,0,0,0,0,0,0,0.56014,0.926403,0,0,0,0,0,0,0,1.12028,0.732526,0,2.80871e-05,0,2.58703,0,0,0,0.56014,0,0,0,0,0,0,0,0,1.68042,0,0.0284312,0,0.704123,0,0,0,0,0,0,0,0,0,2.58703,0,0,0,0,0,0,1.70885,0,0,0,0,0,0,0,0,0,3.29115,0
15,0,0,0,0,0,0,0,0,1.51415,3.48585,0,0,0,0,0,0,0,0.936859,2.54899,0,0,0,0,0,0,0.577288,0.936859,0,0,0,0,0,0,0,1.15458,0.719142,0,3.84583e-05,0,2.54895,0,0,0,0.577288,0,0,0,0,0,0,0,0,1.73186,0,0.0262381,0,0.692942,0,0,0,0,0,0,0,0,0,2.54895,0,0,0,0,0,0,1.7581,0,0,0,0,0,0,0,0,0,3.2419,0
16,0,0,0,0,0,0,0,0,1.53984,3.46016,0,0,0,0,0,0,0,0.946548,2.51361,0,0,0,0,0,0,0.593291,0.946548,0,0,0,0,0,0,0,1.18658,0.706514,0,4.84887e-05,0,2.51357,0,0,0,0.593291,0,0,0,0,0,0,0,0,1.77987,0,0.0242289,0,0.682334,0,0,0,0,0,0,0,0,0,2.51357,0,0,0,0,0,0,1.8041,0,0,0,0,0,0,0,0,0,3.1959,0
17,0,0,0,0,0,0,0,0,1.5638,3.4362,0,0,0,0,0,0,0,0.955548,2.48065,0,0,0,0,0,0,0.608251,0.955548,0,0,0,0,0,0,0,1.2165,0.694594,0,5.78296e-05,0,2.4806,0,0,0,0.608251,0,0,0,0,0,0,0,0,1.82475,0,0.0223872,0,0.672265,0,0,0,0,0,0,0,0,0,2.4806,0,0,0,0,0,0,1.84714,0,0,0,0,0,0,0,0,0,3.15286,0
18,0,0,0,0,0,0,0,0,1.58619,3.41381,0,0,0,0,0,0,0,0.963927,2.44989,0,0,0,0,0,0,0.62226,0.963927,0,0,0,0,0,0,0,1.24452,0.683335,0,6.6281e-05,0,2.44982,0,0,0,0.62226,0,0,0,0,0,0,0,0,1.86678,0,0.0206977,0,0.662703,0,0,0,0,0,0,0,0,0,2.44982,0,0,0,0,0,0,1.88748,0,0,0,0,0,0,0,0,0,3.11252,0
19,0,0,0,0,0,0,0,0,1.60714,3.39286,0,0,0,0,0,0,0,0.971745,2.42111,0,0,0,0,0,0,0.635398,0.971745,0,0,0,0,0,0,0,1.2708,0.672693,0,7.37446e-05,0,2.42104,0,0,0,0.635398,0,0,0,0,0,0,0,0,1.9062,0,0.0191468,0,0.65362,0,0,0,0,0,0,0,0,0,2.42104,0,0,0,0,0,0,1.92534,0,0,0,0,0,0,0,0,0,3.07466,0
20,0,0,0,0,0,0,0,0,1.62679,3.37321,0,0,0,0,0,0,0,0.979051,2.39416,0,0,0,0,0,0,0.647737,0.979051,0,0,0,0,0,0,0,1.29547,0.662627,0,8.01908e-05,0,2.39408,0,0,0,0.647737,0,0,0,0,0,0,0,0,1.94321,0,0.0177219,0,0.644985,0,0,0,0,0,0,0,0,0,2.39408,0,0,0,0,0,0,1.96093,0,0,0,0,0,0,0,0,0,3.03907,0
21,0,0,0,0,0,0,0,0,1.64523,3.35477,0,0,0,0,0,0,0,0.985889,2.36888,0,0,0,0,0,0,0.65934,0.985889,0,0,0,0,0,0,0,1.31868,0.653098,0,8.56351e-05,0,2.3688,0,0,0,0.65934,0,0,0,0,0,0,0,0,1.97802,0,0.016412,0,0.636771,0,0,0,0,0,0,0,0,0,2.3688,0,0,0,0,0,0,1.99443,0,0,0,0,0,0,0,0,0,3.00557,0
22,0,0,0,0,0,0,0,0,1.66256,3.33744,0,0,0,0,0,0,0,0.992299,2.34514,0,0,0,0,0,0,0.670264,0.992299,0,0,0,0,0,0,0,1.34053,0.64407,0,9.01217e-05,0,2.34505,0,0,0,0.670264,0,0,0,0,0,0,0,0,2.01079,0,0.0152067,0,0.628954,0,0,0,0,0,0,0,0,0,2.34505,0,0,0,0,0,0,2.026,0,0,0,0,0,0,0,0,0,2.974,0
23,0,0,0,0,0,0,0,0,1.67888,3.32112,0,0,0,0,0,0,0,0.998316,2.32281,0,0,0,0,0,0,0.68056,0.998316,0,0,0,0,0,0,0,1.36112,0.635511,0,9.37124e-05,0,2.32271,0,0,0,0.68056,0,0,0,0,0,0,0,0,2.04168,0,0.014097,0,0.621508,0,0,0,0,0,0,0,0,0,2.32271,0,0,0,0,0,0,2.05578,0,0,0,0,0,0,0,0,0,2.94422,0
24,0,0,0,0,0,0,0,0,1.69424,3.30576,0,0,0,0,0,0,0,1.00397,2.30179,0,0,0,0,0,0,0.690275,1.00397,0,0,0,0,0,0,0,1.38055,0.627388,0,9.64782e-05,0,2.30169,0,0,0,0.690275,0,0,0,0,0,0,0,0,2.07082,0,0.0130745,0,0.61441,0,0,0,0,0,0,0,0,0,2.30169,0,0,0,0,0,0,2.0839,0,0,0,0,0,0,0,0,0,2.9161,0
25,0,0,0,0,0,0,0,0,1.70873,3.29127,0,0,0,0,0,0,0,1.00929,2.28198,0,0,0,0,0,0,0.699449,1.00929,0,0,0,0,0,0,0,1.3989,0.619674,0,9.84941e-05,0,2.28188,0,0,0,0.699449,0,0,0,0,0,0,0,0,2.09835,0,0.0121318,0,0.607641,0,0,0,0,0,0,0,0,0,2.28188,0,0,0,0,0,0,2.11048,0,0,0,0,0,0,0,0,0,2.88952,0
