step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5.00024,2.49988,2.49988,1.76384e-127,9.85098e-115,2.38723e-61,2.38723e-61,1.09958e-173,0.208529,2.38723e-61,1.09958e-173,0.208529,1.13635e-322,5.52498e-167,4.58294
1,4.80023,2.59989,2.59989,1.63333e-127,9.16141e-115,0.112069,0.112069,0.0458192,0.297623,0.112069,0.0458192,0.297623,7.90505e-323,4.35238e-167,3.97691
2,4.60164,2.59923,2.75734,0.0138898,0.027896,0.173331,0.251672,0.10834,0.305521,0.330729,0.182733,0.397491,0.046603,0.0231114,3.18047
3,4.45036,2.4781,2.89301,0.0658115,0.11272,0.187577,0.361809,0.136919,0.251272,0.542903,0.302308,0.455007,0.122292,0.0580928,2.58182
4,4.32083,2.31161,3.01191,0.135905,0.219752,0.17956,0.446043,0.146118,0.196926,0.735413,0.400529,0.484104,0.199166,0.0909709,2.12117
5,4.20761,2.1368,3.11382,0.208624,0.333143,0.162776,0.509035,0.144892,0.152343,0.905853,0.479012,0.496174,0.266754,0.117094,1.76607
6,4.09874,1.96607,3.2046,0.281302,0.449286,0.142655,0.555711,0.139495,0.117061,1.05942,0.544638,0.498694,0.326405,0.137302,1.47862
7,3.98959,1.80428,3.28895,0.352609,0.564568,0.121959,0.589258,0.13243,0.0895968,1.19913,0.600867,0.495185,0.378947,0.152354,1.24027
8,3.87885,1.65296,3.36883,0.42179,0.677566,0.102563,0.612013,0.124728,0.0683889,1.32709,0.649682,0.487501,0.425112,0.162975,1.03995
9,3.76646,1.51232,3.44507,0.488372,0.787783,0.0854157,0.625794,0.116844,0.052085,1.44486,0.692389,0.476768,0.465596,0.16983,0.870417
10,3.65284,1.38203,3.51797,0.552054,0.895108,0.0704965,0.63209,0.108997,0.0395877,1.55374,0.729939,0.46376,0.501036,0.173521,0.726834
11,3.54119,1.26261,3.58644,0.611401,0.998354,0.0578693,0.632417,0.101182,0.0301273,1.65403,0.762325,0.449192,0.531251,0.174501,0.607105
12,3.43232,1.15356,3.65059,0.66618,1.09735,0.0473138,0.62804,0.0935407,0.0229784,1.74668,0.790213,0.433655,0.556759,0.173324,0.507493
13,3.32624,1.05403,3.7108,0.71659,1.19234,0.0385466,0.619943,0.0861928,0.0175639,1.8327,0.814338,0.417565,0.578219,0.170482,0.42445
14,3.22299,0.963187,3.76736,0.762851,1.28362,0.0313049,0.608929,0.0792053,0.0134529,1.91291,0.835282,0.401224,0.596191,0.166375,0.355126
15,3.1226,0.880267,3.82049,0.805194,1.37146,0.0253517,0.595651,0.0726132,0.0103242,1.98801,0.853514,0.384856,0.611151,0.161331,0.297202
16,3.02509,0.804556,3.87038,0.843849,1.45613,0.0204782,0.580642,0.0664323,0.00793742,2.05857,0.869418,0.368629,0.623507,0.155614,0.248775
17,2.93046,0.735405,3.9172,0.879049,1.53789,0.0165033,0.564343,0.0606654,0.00611271,2.12509,0.883307,0.352665,0.633605,0.14944,0.208269
18,2.83869,0.67223,3.9611,0.91102,1.61697,0.0132719,0.547112,0.0553067,0.0047148,2.188,0.895442,0.337056,0.641741,0.142979,0.174381
19,2.74973,0.614499,4.00222,0.939981,1.69357,0.0106524,0.529246,0.0503449,0.00364179,2.24764,0.906041,0.321869,0.64817,0.136369,0.146022
20,2.66354,0.561731,4.04071,0.966144,1.76787,0.00853468,0.510986,0.0457648,0.00281671,2.30434,0.915286,0.307151,0.653111,0.129719,0.122288
21,2.58005,0.513492,4.07669,0.989708,1.84006,0.00682659,0.492529,0.0415485,0.00218121,2.35836,0.923333,0.292933,0.656753,0.123112,0.102422
22,2.49919,0.469387,4.11029,1.01087,1.91026,0.0054519,0.474037,0.0376766,0.00169099,2.40993,0.930312,0.279235,0.659257,0.116615,0.0857933
23,2.42088,0.429059,4.14164,1.0298,1.97862,0.00434771,0.45564,0.034129,0.00131231,2.45925,0.936336,0.266068,0.660765,0.110277,0.0718725
24,2.34504,0.392182,4.17085,1.04667,2.04525,0.00346242,0.437442,0.030885,0.00101941,2.5065,0.9415,0.253436,0.661398,0.104134,0.0602182
25,2.2716,0.358461,4.19804,1.06165,2.11024,0.00275383,0.419528,0.027924,0.000792585,2.55184,0.945889,0.241335,0.661262,0.0982133,0.0504606
26,2.20046,0.327625,4.22333,1.07488,2.1737,0.00218757,0.401963,0.025226,0.000616739,2.5954,0.949575,0.229759,0.660449,0.0925315,0.0422902
27,2.13155,0.299428,4.24682,1.0865,2.2357,0.00173572,0.384801,0.0227713,0.000480274,2.63731,0.952621,0.218697,0.659038,0.0871,0.0354483
28,2.06479,0.273645,4.26861,1.09664,2.29631,0.00137566,0.36808,0.0205412,0.000374272,2.67766,0.955083,0.208138,0.6571,0.0819242,0.0297182
29,2.0001,0.250073,4.28881,1.10542,2.35559,0.00108912,0.351831,0.0185177,0.000291861,2.71657,0.957011,0.198067,0.654697,0.0770053,0.0249187
30,1.93741,0.228521,4.30752,1.11295,2.4136,0.000861371,0.336074,0.0166838,0.000227738,2.75412,0.958449,0.188467,0.651881,0.0723414,0.0208981
31,1.87665,0.20882,4.32482,1.11933,2.47038,0.000680569,0.320824,0.0150236,0.000177809,2.79038,0.959436,0.179322,0.6487,0.0679279,0.0175295
32,1.81774,0.190811,4.34081,1.12465,2.52599,0.000537198,0.30609,0.0135222,0.000138903,2.82543,0.960008,0.170616,0.645196,0.0637584,0.0147067
33,1.76062,0.174351,4.35557,1.12901,2.58045,0.000423632,0.291875,0.0121654,0.000108568,2.85933,0.960197,0.16233,0.641406,0.059825,0.012341
34,1.70523,0.159307,4.36918,1.13248,2.63379,0.00033377,0.278179,0.0109405,8.48998e-05,2.89214,0.960033,0.154447,0.637363,0.0561189,0.0103578
35,1.65151,0.14556,4.38173,1.13514,2.68606,0.000262737,0.265,0.00983549,6.64234e-05,2.92392,0.959542,0.146949,0.633095,0.0526306,0.0086952
36,1.5994,0.132998,4.39327,1.13706,2.73727,0.000206641,0.252332,0.00883924,5.19919e-05,2.95472,0.958749,0.139821,0.628628,0.0493503,0.00730096
37,1.54885,0.12152,4.40389,1.13829,2.78746,0.000162385,0.240166,0.00794165,4.07138e-05,2.98458,0.957677,0.133044,0.623987,0.046268,0.00613157
38,1.4998,0.111034,4.41364,1.1389,2.83663,0.000127501,0.228494,0.0071334,3.18957e-05,3.01355,0.956347,0.126603,0.619191,0.0433736,0.00515056
39,1.4522,0.101454,4.42259,1.13893,2.88482,0.000100029,0.217304,0.00640597,2.49978e-05,3.04166,0.954777,0.120482,0.614259,0.0406571,0.00432743
40,1.40601,0.092702,4.4308,1.13844,2.93204,7.84128e-05,0.206584,0.00575158,1.96005e-05,3.06896,0.952987,0.114666,0.609208,0.0381089,0.00363662
41,1.36119,0.0847076,4.43833,1.13747,2.9783,6.14137e-05,0.196313,0.00516315,1.53804e-05,3.09548,0.950991,0.10915,0.604054,0.0357194,0.00305673
42,1.31769,0.0774053,4.44521,1.13606,3.02363,4.80582e-05,0.186479,0.00463423,1.20778e-05,3.12124,0.948807,0.103916,0.598809,0.0334795,0.00256986
43,1.27547,0.0707353,4.45151,1.13425,3.06803,3.75751e-05,0.177072,0.00415896,9.4913e-06,3.14629,0.946448,0.0989503,0.593488,0.0313804,0.00216099
44,1.23449,0.064643,4.45727,1.13207,3.11153,2.93542e-05,0.168077,0.00373202,7.46392e-06,3.17066,0.943928,0.0942382,0.588101,0.0294137,0.00181755
45,1.19472,0.0590785,4.46253,1.12955,3.15413,2.2913e-05,0.159482,0.0033486,5.87357e-06,3.19436,0.94126,0.0897662,0.582658,0.0275714,0.00152902
46,1.15611,0.053996,4.46732,1.12673,3.19584,1.78706e-05,0.151274,0.00300435,4.62511e-06,3.21742,0.938455,0.0855215,0.577169,0.0258458,0.00128655
47,1.11864,0.0493539,4.47169,1.12362,3.23669,1.39267e-05,0.14344,0.00269534,3.64432e-06,3.23988,0.935524,0.0814918,0.571643,0.0242297,0.00108276
48,1.08228,0.0451139,4.47568,1.12025,3.27668,1.08447e-05,0.135967,0.00241799,2.87325e-06,3.26174,0.932478,0.0776657,0.566088,0.0227163,0.00091144
49,1.04698,0.0412411,4.47931,1.11664,3.31583,8.43807e-06,0.128842,0.00216912,2.26664e-06,3.28304,0.929327,0.0740321,0.560511,0.0212992,0.000767381
50,1.01273,0.0377036,4.48261,1.11282,3.35414,6.56049e-06,0.122052,0.00194582,1.78909e-06,3.3038,0.926079,0.0705806,0.554919,0.0199722,0.000646221
51,0.979495,0.0344723,4.48561,1.1088,3.39162,5.09682e-06,0.115585,0.0017455,1.4129e-06,3.32403,0.922744,0.0673017,0.549318,0.0187297,0.0005443
52,0.947242,0.0315206,4.48834,1.1046,3.4283,3.95672e-06,0.109427,0.0015658,1.11638e-06,3.34375,0.919329,0.0641858,0.543713,0.0175662,0.000458545
53,0.915947,0.0288241,4.49083,1.10023,3.46417,3.06937e-06,0.103566,0.00140462,8.82505e-07,3.36299,0.915842,0.0612244,0.538111,0.0164767,0.000386377
54,0.885585,0.0263607,4.49309,1.09571,3.49926,2.37927e-06,0.0979908,0.00126005,6.97942e-07,3.38175,0.912289,0.0584091,0.532515,0.0154565,0.00032563
55,0.85613,0.02411,4.49514,1.09106,3.53356,1.84299e-06,0.0926893,0.00113039,5.52212e-07,3.40006,0.908679,0.0557322,0.526931,0.014501,0.000274488
56,0.827557,0.0220536,4.49701,1.08627,3.5671,1.42657e-06,0.0876501,0.00101411,4.37085e-07,3.41793,0.905016,0.0531862,0.521362,0.0136062,0.000231422
57,0.799845,0.0201745,4.49872,1.08138,3.59989,1.10345e-06,0.0828621,0.00090983,3.4609e-07,3.43538,0.901306,0.0507643,0.515813,0.0127682,0.00019515
58,0.772968,0.0184574,4.50027,1.07637,3.63193,8.52923e-07,0.0783144,0.000816308,2.74135e-07,3.45242,0.897556,0.0484599,0.510287,0.0119832,0.000164595
59,0.746906,0.0168881,4.50169,1.07128,3.66324,6.58818e-07,0.0739965,0.000732437,2.1721e-07,3.46906,0.893769,0.0462667,0.504787,0.0112478,0.000138849
60,0.721637,0.0154538,4.50299,1.06609,3.69383,5.08538e-07,0.0698984,0.000657221,1.72157e-07,3.48532,0.889952,0.0441789,0.499316,0.0105589,0.000117153
61,0.697139,0.0141427,4.50418,1.06083,3.72371,3.92273e-07,0.0660102,0.000589764,1.36487e-07,3.50121,0.886107,0.0421911,0.493877,0.0099135,9.88654e-05
