step,railCost
0,37.3887
1,35.9014
2,34.5577
3,33.7871
4,33.2687
5,32.8898
6,32.5955
7,32.3603
8,32.1686
9,32.0098
10,31.8774
11,31.7664
12,31.6725
13,31.5923
14,31.5234
15,31.4636
16,31.4113
17,31.3653
18,31.3244
19,31.2878
20,31.2547
21,31.2247
22,31.1971
23,31.1717
24,31.148
25,31.1258
26,31.1048
27,31.0849
28,31.0659
29,31.0477
30,31.0301
31,31.0131
32,30.9965
33,30.9804
34,30.9647
35,30.9493
36,30.9342
37,30.9194
38,30.9048
39,30.8905
40,30.8764
41,30.8625
42,30.8488
43,30.8353
44,30.822
45,30.8089
46,30.7959
47,30.7832
48,30.7706
49,30.7582
50,30.746
51,30.7339
52,30.7221
53,30.7104
54,30.6989
55,30.6875
56,30.6764
57,30.6654
58,30.6546
59,30.644
60,30.6335
61,30.6232
62,30.6131
63,30.6031
64,30.5934
65,30.5838
66,30.5743
67,30.565
68,30.5559
69,30.547
70,30.5382
71,30.5296
72,30.5211
73,30.5128
74,30.5047
75,30.4967
76,30.4888
77,30.4811
78,30.4735
79,30.4661
80,30.4589
81,30.4517
82,30.4447
83,30.4379
84,30.4311
85,30.4245
86,30.4181
87,30.4117
88,30.4055
89,30.3994
90,30.3934
91,30.3876
92,30.3818
93,30.3762
94,30.3706
95,30.3652
96,30.3599
97,30.3547
98,30.3496
99,30.3446
100,30.3396
101,30.3348
102,30.3301
103,30.3254
104,30.3209
105,30.3164
106,30.312
107,30.3077
108,30.3035
109,30.2994
110,30.2953
111,30.2914
112,30.2874
113,30.2836
114,30.2798
115,30.2762
116,30.2725
117,30.269
118,30.2655
119,30.262
120,30.2587
121,30.2554
122,30.2521
123,30.2489
124,30.2458
125,30.2427
126,30.2397
127,30.2368
128,30.2338
129,30.231
130,30.2282
131,30.2254
132,30.2227
133,30.22
134,30.2174
135,30.2148
136,30.2123
137,30.2098
138,30.2074
139,30.205
140,30.2026
141,30.2003
142,30.198
143,30.1957
144,30.1935
145,30.1913
146,30.1892
147,30.1871
148,30.185
149,30.183
150,30.181
151,30.179
152,30.1771
153,30.1752
154,30.1733
155,30.1714
156,30.1696
157,30.1678
158,30.166
159,30.1643
160,30.1626
161,30.1609
162,30.1593
163,30.1576
164,30.156
165,30.1544
166,30.1529
167,30.1513
168,30.1498
169,30.1483
170,30.1468
171,30.1454
172,30.1439
173,30.1425
174,30.1412
175,30.1398
176,30.1384
177,30.1371
178,30.1358
179,30.1345
180,30.1332
181,30.132
182,30.1307
183,30.1295
184,30.1283
185,30.1271
186,30.1259
187,30.1248
188,30.1236
189,30.1225
190,30.1214
191,30.1203
192,30.1192
193,30.1181
194,30.1171
195,30.1161
196,30.115
197,30.114
198,30.113
199,30.112
200,30.1111
201,30.1101
202,30.1091
203,30.1082
204,30.1073
205,30.1064
206,30.1055
207,30.1046
208,30.1037
209,30.1028
210,30.102
211,30.1011
212,30.1003
213,30.0994
214,30.0986
215,30.0978
216,30.097
217,30.0962
218,30.0955
219,30.0947
220,30.0939
221,30.0932
222,30.0924
223,30.0917
224,30.091
225,30.0903
226,30.0895
227,30.0888
228,30.0882
229,30.0875
230,30.0868
231,30.0861
232,30.0855
233,30.0848
234,30.0842
235,30.0835
236,30.0829
237,30.0823
238,30.0816
239,30.081
240,30.0804
