step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55105,0,0,8.21402,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03466e-77,0,0,7.7888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1956,0,0,7.57108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336178,0,0,8.44074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7532,0,0,7.30858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092859,0,0,8.72266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9995,0,0,7.18849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160924,0,0,8.8549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0751,0,0,7.14487,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232558,0,0,8.90345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0543,0,0,7.14473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305503,0,0,8.90361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9934,0,0,7.15867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37855,0,0,8.88806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.908,0,0,7.18188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450804,0,0,8.86224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8084,0,0,7.21108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521701,0,0,8.82986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7011,0,0,7.24401,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59088,0,0,8.79351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5907,0,0,7.27907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65811,0,0,8.75497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.481,0,0,7.31514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723249,0,0,8.7155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3752,0,0,7.35149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786205,0,0,8.67592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2736,0,0,7.38766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846913,0,0,8.63671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1764,0,0,7.42334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905352,0,0,8.59822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0836,0,0,7.45829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961531,0,0,8.5607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9953,0,0,7.49231,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01548,0,0,8.52433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9112,0,0,7.52531,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06725,0,0,8.48921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8314,0,0,7.55718,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1169,0,0,8.45543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7556,0,0,7.58787,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16448,0,0,8.42302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
