step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0,0,0,0,0,0,0,0,2.70841,12.2916,0,0,0,0,0,0,0,2.70841,9.58318,0,0,0,0,0,0,2.38723e-61,2.70841,0,0,0,0,0,0,0,4.77447e-61,5.41682,0,1.76384e-127,5.00024,4.58294,0,0,0,2.38723e-61,0,0,0,0,0,0,0,0,7.1617e-61,0,2.19915e-173,4.99976,0.417058,9.85098e-115,5.00024,0,0,0,0,0,0,0,4.58294,0,0,0,0,0,0,7.1617e-61,0,4.99976,0,0,0,0,0,0,0,5,5.00024
1,0,0,0,0,0,0,0,0,3.16747,11.8325,0,0,0,0,0,0,0,3.0554,8.77714,0,0,0,0,0,0,0.112069,3.0554,0,0,0,0,0,0,0,0.224139,5.88666,0,1.63333e-127,4.80023,3.97691,0,0,0,0.112069,0,0,0,0,0,0,0,0,0.336208,0,0.0916385,5.19977,0.595245,9.16141e-115,4.80023,0,0,0,0,0,0,0,3.97691,0,0,0,0,0,0,0.427847,0,5.19977,0,0,0,0,0,0,0,4.57215,4.80023
2,0,0,0,0,0,0,0,0,3.42668,11.5733,0,0,0,0,0,0,0,3.55414,8.01918,0,0,0,0,0,0,0.176103,3.25058,0,0,0,0,0,0,0,0.530467,6.27425,0,0.0232922,4.66195,3.33394,0,0,0,0.176103,0,0,0,0,0,0,0,0,0.70657,0,0.254923,5.33805,0.704565,0.00937142,4.65258,0,0,0,0,0,0,0,3.33394,0,0,0,0,0,0,0.961493,0,5.34742,0,0,0,0,0,0,0,4.03851,4.65258
3,0,0,0,0,0,0,0,0,3.46754,11.5325,0,0,0,0,0,0,0,3.98901,7.54345,0,0,0,0,0,0,0.202101,3.26544,0,0,0,0,0,0,0,0.813007,6.44144,0,0.103856,4.60707,2.83252,0,0,0,0.202101,0,0,0,0,0,0,0,0,1.01511,0,0.409674,5.39293,0.742694,0.0566394,4.55043,0,0,0,0,0,0,0,2.83252,0,0,0,0,0,0,1.42478,0,5.44957,0,0,0,0,0,0,0,3.57522,4.55043
4,0,0,0,0,0,0,0,0,3.39016,11.6098,0,0,0,0,0,0,0,4.37543,7.23441,0,0,0,0,0,0,0.20558,3.18458,0,0,0,0,0,0,0,1.06962,6.49039,0,0.222852,4.59018,2.42138,0,0,0,0.20558,0,0,0,0,0,0,0,0,1.2752,0,0.550643,5.40982,0.752779,0.131337,4.45884,0,0,0,0,0,0,0,2.42138,0,0,0,0,0,0,1.82584,0,5.54116,0,0,0,0,0,0,0,3.17416,4.45884
5,0,0,0,0,0,0,0,0,3.26173,11.7383,0,0,0,0,0,0,0,4.71105,7.02722,0,0,0,0,0,0,0.196877,3.06485,0,0,0,0,0,0,0,1.29567,6.48023,0,0.348061,4.59242,2.08674,0,0,0,0.196877,0,0,0,0,0,0,0,0,1.49255,0,0.670059,5.40758,0.750653,0.21578,4.37664,0,0,0,0,0,0,0,2.08674,0,0,0,0,0,0,2.16261,0,5.62336,0,0,0,0,0,0,0,2.83739,4.37664
6,0,0,0,0,0,0,0,0,3.11014,11.8899,0,0,0,0,0,0,0,5.01385,6.87601,0,0,0,0,0,0,0.181194,2.92894,0,0,0,0,0,0,0,1.49758,6.44522,0,0.474598,4.60011,1.8013,0,0,0,0.181194,0,0,0,0,0,0,0,0,1.67877,0,0.776779,5.39989,0.743149,0.30661,4.2935,0,0,0,0,0,0,0,1.8013,0,0,0,0,0,0,2.45555,0,5.7065,0,0,0,0,0,0,0,2.54445,4.2935
7,0,0,0,0,0,0,0,0,2.94876,12.0512,0,0,0,0,0,0,0,5.29133,6.75991,0,0,0,0,0,0,0.161732,2.78703,0,0,0,0,0,0,0,1.67865,6.3997,0,0.599448,4.60788,1.55259,0,0,0,0.161732,0,0,0,0,0,0,0,0,1.84038,0,0.874249,5.39212,0.732782,0.4025,4.20538,0,0,0,0,0,0,0,1.55259,0,0,0,0,0,0,2.71463,0,5.79462,0,0,0,0,0,0,0,2.28537,4.20538
8,0,0,0,0,0,0,0,0,2.76942,12.2306,0,0,0,0,0,0,0,5.58308,6.6475,0,0,0,0,0,0,0.137328,2.63209,0,0,0,0,0,0,0,1.85132,6.36385,0,0.747414,4.5986,1.30149,0,0,0,0.137328,0,0,0,0,0,0,0,0,1.98865,0,0.988143,5.4014,0.72172,0.514069,4.08453,0,0,0,0,0,0,0,1.30149,0,0,0,0,0,0,2.97679,0,5.91547,0,0,0,0,0,0,0,2.02321,4.08453
9,0,0,0,0,0,0,0,0,2.58518,12.4148,0,0,0,0,0,0,0,5.85869,6.55613,0,0,0,0,0,0,0.113457,2.47173,0,0,0,0,0,0,0,2.00564,6.32478,0,0.895518,4.58398,1.07662,0,0,0,0.113457,0,0,0,0,0,0,0,0,2.11909,0,1.0971,5.41602,0.707182,0.63242,3.95157,0,0,0,0,0,0,0,1.07662,0,0,0,0,0,0,3.2162,0,6.04843,0,0,0,0,0,0,0,1.7838,3.95157
10,0,0,0,0,0,0,0,0,2.40748,12.5925,0,0,0,0,0,0,0,6.1033,6.48922,0,0,0,0,0,0,0.0927896,2.31469,0,0,0,0,0,0,0,2.13858,6.27941,0,1.02911,4.57039,0.889722,0,0,0,0.0927896,0,0,0,0,0,0,0,0,2.23137,0,1.18988,5.42961,0.689027,0.749617,3.82077,0,0,0,0,0,0,0,0.889722,0,0,0,0,0,0,3.42125,0,6.17923,0,0,0,0,0,0,0,1.57875,3.82077
11,0,0,0,0,0,0,0,0,2.23837,12.7616,0,0,0,0,0,0,0,6.32298,6.43864,0,0,0,0,0,0,0.0751763,2.1632,0,0,0,0,0,0,0,2.25357,6.23261,0,1.14925,4.5557,0.733698,0,0,0,0.0751763,0,0,0,0,0,0,0,0,2.32875,0,1.26939,5.4443,0.66816,0.864625,3.69107,0,0,0,0,0,0,0,0.733698,0,0,0,0,0,0,3.59814,0,6.30893,0,0,0,0,0,0,0,1.40186,3.69107
12,0,0,0,0,0,0,0,0,2.07857,12.9214,0,0,0,0,0,0,0,6.52184,6.39959,0,0,0,0,0,0,0.0603736,2.0182,0,0,0,0,0,0,0,2.35338,6.18665,0,1.25703,4.53923,0.603331,0,0,0,0.0603736,0,0,0,0,0,0,0,0,2.41376,0,1.33775,5.46077,0.645165,0.976999,3.56223,0,0,0,0,0,0,0,0.603331,0,0,0,0,0,0,3.7515,0,6.43777,0,0,0,0,0,0,0,1.2485,3.56223
13,0,0,0,0,0,0,0,0,1.92815,13.0718,0,0,0,0,0,0,0,6.70287,6.36897,0,0,0,0,0,0,0.0480878,1.88007,0,0,0,0,0,0,0,2.44031,6.14263,0,1.3535,4.52095,0.494515,0,0,0,0.0480878,0,0,0,0,0,0,0,0,2.4884,0,1.39658,5.47905,0.620503,1.08659,3.43437,0,0,0,0,0,0,0,0.494515,0,0,0,0,0,0,3.88498,0,6.56563,0,0,0,0,0,0,0,1.11502,3.43437
14,0,0,0,0,0,0,0,0,1.78691,13.2131,0,0,0,0,0,0,0,6.8684,6.34469,0,0,0,0,0,0,0.0380056,1.7489,0,0,0,0,0,0,0,2.51629,6.10101,0,1.43968,4.50112,0.403893,0,0,0,0.0380056,0,0,0,0,0,0,0,0,2.55429,0,1.44724,5.49888,0.594577,1.19339,3.30773,0,0,0,0,0,0,0,0.403893,0,0,0,0,0,0,4.00153,0,6.69227,0,0,0,0,0,0,0,0.99847,3.30773
15,0,0,0,0,0,0,0,0,1.64696,13.353,0,0,0,0,0,0,0,7.03269,6.32035,0,0,0,0,0,0,0.0292238,1.61774,0,0,0,0,0,0,0,2.58417,6.06625,0,1.52662,4.47138,0.322345,0,0,0,0.0292238,0,0,0,0,0,0,0,0,2.6134,0,1.49803,5.52862,0.566224,1.30424,3.16714,0,0,0,0,0,0,0,0.322345,0,0,0,0,0,0,4.11143,0,6.83286,0,0,0,0,0,0,0,0.88857,3.16714
16,0,0,0,0,0,0,0,0,1.51393,13.4861,0,0,0,0,0,0,0,7.18487,6.30119,0,0,0,0,0,0,0.0221696,1.49176,0,0,0,0,0,0,0,2.64355,6.03309,0,1.60611,4.44031,0.254772,0,0,0,0.0221696,0,0,0,0,0,0,0,0,2.66572,0,1.54296,5.55969,0.53655,1.41445,3.02586,0,0,0,0,0,0,0,0.254772,0,0,0,0,0,0,4.20868,0,6.97414,0,0,0,0,0,0,0,0.791322,3.02586
17,0,0,0,0,0,0,0,0,1.38804,13.612,0,0,0,0,0,0,0,7.32576,6.2862,0,0,0,0,0,0,0.0165999,1.37144,0,0,0,0,0,0,0,2.69558,6.00162,0,1.67833,4.40846,0.199412,0,0,0,0.0165999,0,0,0,0,0,0,0,0,2.71218,0,1.58243,5.59154,0.505977,1.52373,2.88473,0,0,0,0,0,0,0,0.199412,0,0,0,0,0,0,4.29461,0,7.11527,0,0,0,0,0,0,0,0.705389,2.88473
18,0,0,0,0,0,0,0,0,1.26425,13.7357,0,0,0,0,0,0,0,7.46397,6.27177,0,0,0,0,0,0,0.0120529,1.2522,0,0,0,0,0,0,0,2.74146,5.97472,0,1.75013,4.36971,0.151925,0,0,0,0.0120529,0,0,0,0,0,0,0,0,2.75351,0,1.62111,5.63029,0.473449,1.63668,2.73304,0,0,0,0,0,0,0,0.151925,0,0,0,0,0,0,4.37463,0,7.26696,0,0,0,0,0,0,0,0.625374,2.73304
19,0,0,0,0,0,0,0,0,1.14794,13.8521,0,0,0,0,0,0,0,7.59086,6.26121,0,0,0,0,0,0,0.0086268,1.13931,0,0,0,0,0,0,0,2.78166,5.94851,0,1.81461,4.33216,0.114433,0,0,0,0.0086268,0,0,0,0,0,0,0,0,2.79029,0,1.65459,5.66784,0.440692,1.74864,2.58352,0,0,0,0,0,0,0,0.114433,0,0,0,0,0,0,4.44488,0,7.41648,0,0,0,0,0,0,0,0.555125,2.58352
20,0,0,0,0,0,0,0,0,1.04203,13.958,0,0,0,0,0,0,0,7.7032,6.25477,0,0,0,0,0,0,0.00616281,1.03587,0,0,0,0,0,0,0,2.81728,5.92179,0,1.86858,4.3,0.0861965,0,0,0,0.00616281,0,0,0,0,0,0,0,0,2.82344,0,1.68125,5.7,0.409111,1.85658,2.44342,0,0,0,0,0,0,0,0.0861965,0,0,0,0,0,0,4.50469,0,7.55658,0,0,0,0,0,0,0,0.495308,2.44342
21,0,0,0,0,0,0,0,0,0.945813,14.0542,0,0,0,0,0,0,0,7.8035,6.25069,0,0,0,0,0,0,0.00439502,0.941418,0,0,0,0,0,0,0,2.84934,5.89558,0,1.91349,4.27228,0.0649176,0,0,0,0.00439502,0,0,0,0,0,0,0,0,2.85374,0,1.70235,5.72772,0.378998,1.96055,2.31172,0,0,0,0,0,0,0,0.0649176,0,0,0,0,0,0,4.55608,0,7.68828,0,0,0,0,0,0,0,0.443916,2.31172
22,0,0,0,0,0,0,0,0,0.858516,14.1415,0,0,0,0,0,0,0,7.89365,6.24784,0,0,0,0,0,0,0.00312938,0.855387,0,0,0,0,0,0,0,2.87863,5.8704,0,1.95059,4.24837,0.0488795,0,0,0,0.00312938,0,0,0,0,0,0,0,0,2.88176,0,1.71884,5.75163,0.350521,2.0607,2.18766,0,0,0,0,0,0,0,0.0488795,0,0,0,0,0,0,4.6006,0,7.81234,0,0,0,0,0,0,0,0.399401,2.18766
23,0,0,0,0,0,0,0,0,0.779379,14.2206,0,0,0,0,0,0,0,7.9751,6.24552,0,0,0,0,0,0,0.00222498,0.777154,0,0,0,0,0,0,0,2.90574,5.84651,0,1.98092,4.22781,0.0367931,0,0,0,0.00222498,0,0,0,0,0,0,0,0,2.90797,0,1.73148,5.77219,0.323762,2.1572,2.07061,0,0,0,0,0,0,0,0.0367931,0,0,0,0,0,0,4.63944,0,7.92939,0,0,0,0,0,0,0,0.360555,2.07061
24,0,0,0,0,0,0,0,0,0.707674,14.2923,0,0,0,0,0,0,0,8.04901,6.24331,0,0,0,0,0,0,0.0015798,0.706094,0,0,0,0,0,0,0,2.93113,5.82397,0,2.00536,4.21026,0.0276873,0,0,0,0.0015798,0,0,0,0,0,0,0,0,2.93271,0,1.74086,5.78974,0.298741,2.25023,1.96003,0,0,0,0,0,0,0,0.0276873,0,0,0,0,0,0,4.67357,0,8.03997,0,0,0,0,0,0,0,0.326428,1.96003
25,0,0,0,0,0,0,0,0,0.642719,14.3573,0,0,0,0,0,0,0,8.11632,6.24096,0,0,0,0,0,0,0.00112028,0.641599,0,0,0,0,0,0,0,2.95515,5.80277,0,2.02468,4.19544,0.0208296,0,0,0,0.00112028,0,0,0,0,0,0,0,0,2.95627,0,1.74746,5.80456,0.275435,2.33997,1.85548,0,0,0,0,0,0,0,0.0208296,0,0,0,0,0,0,4.70374,0,8.14452,0,0,0,0,0,0,0,0.296265,1.85548
26,0,0,0,0,0,0,0,0,0.583885,14.4161,0,0,0,0,0,0,0,8.1778,6.23832,0,0,0,0,0,0,0.000793448,0.583092,0,0,0,0,0,0,0,2.97807,5.78282,0,2.03953,4.18312,0.0156667,0,0,0,0.000793448,0,0,0,0,0,0,0,0,2.97887,0,1.75167,5.81688,0.253795,2.42657,1.75655,0,0,0,0,0,0,0,0.0156667,0,0,0,0,0,0,4.73054,0,8.24345,0,0,0,0,0,0,0,0.269461,1.75655
27,0,0,0,0,0,0,0,0,0.530594,14.4694,0,0,0,0,0,0,0,8.23408,6.23533,0,0,0,0,0,0,0.000561314,0.530033,0,0,0,0,0,0,0,3.0001,5.76401,0,2.05045,4.17309,0.0117812,0,0,0,0.000561314,0,0,0,0,0,0,0,0,3.00066,0,1.75381,5.82691,0.233749,2.51021,1.66288,0,0,0,0,0,0,0,0.0117812,0,0,0,0,0,0,4.75447,0,8.33712,0,0,0,0,0,0,0,0.24553,1.66288
28,0,0,0,0,0,0,0,0,0.482318,14.5177,0,0,0,0,0,0,0,8.28572,6.23196,0,0,0,0,0,0,0.000396648,0.481921,0,0,0,0,0,0,0,3.02139,5.74625,0,2.05794,4.16517,0.00885793,0,0,0,0.000396648,0,0,0,0,0,0,0,0,3.02179,0,1.75414,5.83483,0.215217,2.59101,1.57416,0,0,0,0,0,0,0,0.00885793,0,0,0,0,0,0,4.77592,0,8.42584,0,0,0,0,0,0,0,0.224075,1.57416
29,0,0,0,0,0,0,0,0,0.438577,14.5614,0,0,0,0,0,0,0,8.33319,6.22823,0,0,0,0,0,0,0.000279983,0.438297,0,0,0,0,0,0,0,3.04207,5.72942,0,2.0624,4.15918,0.0066592,0,0,0,0.000279983,0,0,0,0,0,0,0,0,3.04235,0,1.75288,5.84082,0.198111,2.6691,1.49007,0,0,0,0,0,0,0,0.0066592,0,0,0,0,0,0,4.79523,0,8.50993,0,0,0,0,0,0,0,0.20477,1.49007
30,0,0,0,0,0,0,0,0,0.398935,14.6011,0,0,0,0,0,0,0,8.3769,6.22416,0,0,0,0,0,0,0.000197423,0.398737,0,0,0,0,0,0,0,3.06223,5.71341,0,2.06419,4.15497,0.0050058,0,0,0,0.000197423,0,0,0,0,0,0,0,0,3.06243,0,1.75022,5.84503,0.18234,2.7446,1.41036,0,0,0,0,0,0,0,0.0050058,0,0,0,0,0,0,4.81265,0,8.58964,0,0,0,0,0,0,0,0.187346,1.41036
31,0,0,0,0,0,0,0,0,0.362997,14.637,0,0,0,0,0,0,0,8.41722,6.21979,0,0,0,0,0,0,0.000139064,0.362858,0,0,0,0,0,0,0,3.08195,5.69812,0,2.06363,4.15239,0.0037627,0,0,0,0.000139064,0,0,0,0,0,0,0,0,3.08209,0,1.74633,5.84761,0.167814,2.81761,1.33478,0,0,0,0,0,0,0,0.0037627,0,0,0,0,0,0,4.82842,0,8.66522,0,0,0,0,0,0,0,0.171576,1.33478
32,0,0,0,0,0,0,0,0,0.330408,14.6696,0,0,0,0,0,0,0,8.45446,6.21514,0,0,0,0,0,0,9.78567e-05,0.33031,0,0,0,0,0,0,0,3.10128,5.68348,0,2.061,4.15131,0.00282823,0,0,0,9.78567e-05,0,0,0,0,0,0,0,0,3.10138,0,1.74135,5.84869,0.154443,2.88822,1.26309,0,0,0,0,0,0,0,0.00282823,0,0,0,0,0,0,4.84273,0,8.73691,0,0,0,0,0,0,0,0.157272,1.26309
33,0,0,0,0,0,0,0,0,0.300844,14.6992,0,0,0,0,0,0,0,8.48891,6.21025,0,0,0,0,0,0,6.87912e-05,0.300775,0,0,0,0,0,0,0,3.12027,5.66941,0,2.05654,4.15159,0.00212582,0,0,0,6.87912e-05,0,0,0,0,0,0,0,0,3.12034,0,1.73539,5.84841,0.142144,2.95651,1.19508,0,0,0,0,0,0,0,0.00212582,0,0,0,0,0,0,4.85573,0,8.80492,0,0,0,0,0,0,0,0.14427,1.19508
34,0,0,0,0,0,0,0,0,0.274014,14.726,0,0,0,0,0,0,0,8.52083,6.20516,0,0,0,0,0,0,4.83113e-05,0.273966,0,0,0,0,0,0,0,3.13894,5.65585,0,2.05045,4.15311,0.00159789,0,0,0,4.83113e-05,0,0,0,0,0,0,0,0,3.13899,0,1.72858,5.84689,0.130834,3.02256,1.13055,0,0,0,0,0,0,0,0.00159789,0,0,0,0,0,0,4.86757,0,8.86945,0,0,0,0,0,0,0,0.132432,1.13055
35,0,0,0,0,0,0,0,0,0.249656,14.7503,0,0,0,0,0,0,0,8.55045,6.19989,0,0,0,0,0,0,3.38957e-05,0.249622,0,0,0,0,0,0,0,3.15733,5.64274,0,2.04293,4.15577,0.00120111,0,0,0,3.38957e-05,0,0,0,0,0,0,0,0,3.15736,0,1.721,5.84423,0.120438,3.08644,1.06933,0,0,0,0,0,0,0,0.00120111,0,0,0,0,0,0,4.87836,0,8.93067,0,0,0,0,0,0,0,0.121639,1.06933
36,0,0,0,0,0,0,0,0,0.227533,14.7725,0,0,0,0,0,0,0,8.57798,6.19448,0,0,0,0,0,0,2.37589e-05,0.22751,0,0,0,0,0,0,0,3.17545,5.63004,0,2.03413,4.15945,0.000902909,0,0,0,2.37589e-05,0,0,0,0,0,0,0,0,3.17548,0,1.71274,5.84055,0.110883,3.14822,1.01123,0,0,0,0,0,0,0,0.000902909,0,0,0,0,0,0,4.88821,0,8.98877,0,0,0,0,0,0,0,0.111786,1.01123
37,0,0,0,0,0,0,0,0,0.207432,14.7926,0,0,0,0,0,0,0,8.60362,6.18895,0,0,0,0,0,0,1.66378e-05,0.207416,0,0,0,0,0,0,0,3.19332,5.61771,0,2.02422,4.16405,0.000678788,0,0,0,1.66378e-05,0,0,0,0,0,0,0,0,3.19334,0,1.70388,5.83595,0.102102,3.20795,0.956107,0,0,0,0,0,0,0,0.000678788,0,0,0,0,0,0,4.89722,0,9.04389,0,0,0,0,0,0,0,0.102781,0.956107
38,0,0,0,0,0,0,0,0,0.189161,14.8108,0,0,0,0,0,0,0,8.62753,6.18331,0,0,0,0,0,0,1.16403e-05,0.189149,0,0,0,0,0,0,0,3.21095,5.60573,0,2.01331,4.16949,0.00051034,0,0,0,1.16403e-05,0,0,0,0,0,0,0,0,3.21096,0,1.69449,5.83051,0.0940331,3.26569,0.9038,0,0,0,0,0,0,0,0.00051034,0,0,0,0,0,0,4.90546,0,9.0962,0,0,0,0,0,0,0,0.0945434,0.9038
39,0,0,0,0,0,0,0,0,0.172545,14.8275,0,0,0,0,0,0,0,8.64987,6.17759,0,0,0,0,0,0,8.13631e-06,0.172537,0,0,0,0,0,0,0,3.22835,5.59406,0,2.00153,4.17567,0.00038373,0,0,0,8.13631e-06,0,0,0,0,0,0,0,0,3.22836,0,1.68464,5.82433,0.0866182,3.3215,0.854172,0,0,0,0,0,0,0,0.00038373,0,0,0,0,0,0,4.913,0,9.14583,0,0,0,0,0,0,0,0.0870019,0.854172
