step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,49.979,30.0121,30.0121,60.3585,59.979,3,3,17.3203,7.32035,3,17.3203,7.32035,46.6667,36.6667,26.6667
1,42.1942,33.4589,33.4589,54.5154,52.1942,3.05052,3.05052,19.7892,9.78923,3.05052,19.7892,9.78923,39.8457,29.8457,19.8457
2,38.8333,34.7182,34.7182,51.97,48.8333,3.1395,3.1395,20.6261,10.6261,3.1395,20.6261,10.6261,36.8778,26.8778,16.8778
3,36.7952,35.2856,35.2856,50.3094,46.7952,3.24169,3.24169,20.9956,10.9956,3.24169,20.9956,10.9956,35.0194,25.0194,15.0194
4,35.4677,35.4714,35.4714,49.1192,45.4677,3.34922,3.34922,21.109,11.109,3.34922,21.109,11.109,33.7568,23.7568,13.7568
5,34.5578,35.4401,35.4401,48.2091,44.5578,3.4587,3.4587,21.0779,11.0779,3.4587,21.0779,11.0779,32.8468,22.8468,12.8468
6,33.8636,35.3255,35.3255,47.4701,43.8636,3.56832,3.56832,20.9868,10.9868,3.56832,20.9868,10.9868,32.1315,22.1315,12.1315
7,33.3221,35.1586,35.1586,46.8547,43.3221,3.67673,3.67673,20.8589,10.8589,3.67673,20.8589,10.8589,31.555,21.555,11.555
8,32.8916,34.9604,34.9604,46.3314,42.8916,3.7831,3.7831,20.7095,10.7095,3.7831,20.7095,10.7095,31.0805,21.0805,11.0805
9,32.5433,34.7449,34.7449,45.8788,42.5433,3.88689,3.88689,20.5488,10.5488,3.88689,20.5488,10.5488,30.6827,20.6827,10.6827
10,32.2572,34.5214,34.5214,45.4818,42.2572,3.98775,3.98775,20.3833,10.3833,3.98775,20.3833,10.3833,30.3437,20.3437,10.3437
11,32.0172,34.2973,34.2973,45.1282,42.0172,4.08547,4.08547,20.2186,10.2186,4.08547,20.2186,10.2186,30.0495,20.0495,10.0495
12,31.8104,34.079,34.079,44.8071,41.8104,4.17991,4.17991,20.0599,10.0599,4.17991,20.0599,10.0599,29.788,19.788,9.78796
13,31.6309,33.8676,33.8676,44.5141,41.6309,4.27098,4.27098,19.9075,9.90749,4.27098,19.9075,9.90749,29.554,19.554,9.554
14,31.474,33.6639,33.6639,44.2457,41.474,4.35864,4.35864,19.7617,9.7617,4.35864,19.7617,9.7617,29.3435,19.3435,9.34351
15,31.3362,33.4683,33.4683,43.9989,41.3362,4.44291,4.44291,19.6226,9.62258,4.44291,19.6226,9.62258,29.1531,19.1531,9.15313
16,31.2143,33.2811,33.2811,43.7711,41.2143,4.52384,4.52384,19.4901,9.49007,4.52384,19.4901,9.49007,28.9801,18.9801,8.98011
17,31.106,33.1022,33.1022,43.5604,41.106,4.60149,4.60149,19.364,9.36405,4.60149,19.364,9.36405,28.8222,18.8222,8.82218
18,31.0092,32.9317,32.9317,43.3648,41.0092,4.67596,4.67596,19.2443,9.24432,4.67596,19.2443,9.24432,28.6774,18.6774,8.67744
19,30.9222,32.7693,32.7693,43.183,40.9222,4.74734,4.74734,19.1306,9.13065,4.74734,19.1306,9.13065,28.5443,18.5443,8.5443
20,30.8437,32.6148,32.6148,43.0134,40.8437,4.81573,4.81573,19.0228,9.02279,4.81573,19.0228,9.02279,28.4214,18.4214,8.42143
21,30.7724,32.4679,32.4679,42.8551,40.7724,4.88124,4.88124,18.9205,8.92049,4.88124,18.9205,8.92049,28.3077,18.3077,8.30768
22,30.7076,32.3284,32.3284,42.707,40.7076,4.94397,4.94397,18.8235,8.82347,4.94397,18.8235,8.82347,28.2021,18.2021,8.20208
23,30.6482,32.1959,32.1959,42.5682,40.6482,5.00405,5.00405,18.7315,8.73147,5.00405,18.7315,8.73147,28.1038,18.1038,8.10381
24,30.5937,32.0701,32.0701,42.438,40.5937,5.06156,5.06156,18.6442,8.64422,5.06156,18.6442,8.64422,28.0121,18.0121,8.01214
25,30.5435,31.9507,31.9507,42.3157,40.5435,5.11663,5.11663,18.5615,8.56147,5.11663,18.5615,8.56147,27.9265,17.9265,7.92645
26,30.497,31.8373,31.8373,42.2006,40.497,5.16934,5.16934,18.483,8.48297,5.16934,18.483,8.48297,27.8462,17.8462,7.8462
27,30.4539,31.7298,31.7298,42.0922,40.4539,5.21981,5.21981,18.4085,8.40849,5.21981,18.4085,8.40849,27.7709,17.7709,7.77091
28,30.4138,31.6277,31.6277,41.99,40.4138,5.26812,5.26812,18.3378,8.3378,5.26812,18.3378,8.3378,27.7002,17.7002,7.70016
29,30.3763,31.5307,31.5307,41.8936,40.3763,5.31438,5.31438,18.2707,8.2707,5.31438,18.2707,8.2707,27.6336,17.6336,7.63357
