step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0,0,0,0,0,0,0,0,2.46769,7.53231,0,0,0,0,0,0,0,2.46769,5.06463,0,0,0,0,0,0,0,2.46769,0,0,0,0,0,0,0,0,4.93537,0,1.8161e-107,5.06463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93537,0,8.88142e-97,5.06463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93537,0,0,0,0,0,0,0,0,5.06463
1,0,0,0,0,0,0,0,0,2.56881,7.43119,0,0,0,0,0,0,0,2.56881,4.86238,0,0,0,0,0,0,0,2.56881,0,0,0,0,0,0,0,0,5.13762,0,1.68633e-107,4.86238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13762,0,8.26031e-97,4.86238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13762,0,0,0,0,0,0,0,0,4.86238
2,0,0,0,0,0,0,0,0,2.61128,7.38872,0,0,0,0,0,0,0,2.61128,4.77743,0,0,0,0,0,0,0,2.61128,0,0,0,0,0,0,0,0,5.22257,0,1.59062e-107,4.77743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22257,0,7.86819e-97,4.77743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22257,0,0,0,0,0,0,0,0,4.77743
3,0,0,0,0,0,0,0,0,2.63094,7.36906,0,0,0,0,0,0,0,2.63094,4.73811,0,0,0,0,0,0,0,2.63094,0,0,0,0,0,0,0,0,5.26189,0,1.50986e-107,4.73811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26189,0,7.56739e-97,4.73811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26189,0,0,0,0,0,0,0,0,4.73811
4,0,0,0,0,0,0,0,0,2.6381,7.3619,0,0,0,0,0,0,0,2.6381,4.72381,0,0,0,0,0,0,0,2.6381,0,0,0,0,0,0,0,0,5.27619,0,1.43878e-107,4.72381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27619,0,7.31752e-97,4.72381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27619,0,0,0,0,0,0,0,0,4.72381
5,0,0,0,0,0,0,0,0,2.63809,7.36191,0,0,0,0,0,0,0,2.63809,4.72382,0,0,0,0,0,0,0,2.63809,0,0,0,0,0,0,0,0,5.27618,0,1.37461e-107,4.72382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27618,0,7.09805e-97,4.72382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27618,0,0,0,0,0,0,0,0,4.72382
6,0,0,0,0,0,0,0,0,2.63576,7.36424,0,0,0,0,0,0,0,2.63576,4.72848,0,0,0,0,0,0,0,2.63576,0,0,0,0,0,0,0,0,5.27152,0,1.31572e-107,4.72848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27152,0,6.89763e-97,4.72848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27152,0,0,0,0,0,0,0,0,4.72848
7,0,0,0,0,0,0,0,0,2.63191,7.36809,0,0,0,0,0,0,0,2.63191,4.73619,0,0,0,0,0,0,0,2.63191,0,0,0,0,0,0,0,0,5.26381,0,1.26112e-107,4.73619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26381,0,6.71087e-97,4.73619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26381,0,0,0,0,0,0,0,0,4.73619
8,0,0,0,0,0,0,0,0,2.62707,7.37293,0,0,0,0,0,0,0,2.62707,4.74585,0,0,0,0,0,0,0,2.62707,0,0,0,0,0,0,0,0,5.25415,0,1.2101e-107,4.74585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25415,0,6.53419e-97,4.74585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25415,0,0,0,0,0,0,0,0,4.74585
9,0,0,0,0,0,0,0,0,2.62164,7.37836,0,0,0,0,0,0,0,2.62164,4.75672,0,0,0,0,0,0,0,2.62164,0,0,0,0,0,0,0,0,5.24328,0,1.16215e-107,4.75672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24328,0,6.3652e-97,4.75672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24328,0,0,0,0,0,0,0,0,4.75672
