step,stayUtil
0,13
1,168.38
2,221.816
3,250.585
4,261.252
5,271.479
6,281.317
7,317.953
8,337.346
9,341.996
10,346.581
11,351.103
12,355.566
13,359.972
14,384.613
15,395.18
16,405.463
17,432.708
18,444.161
19,444.161
20,444.161
21,444.161
22,444.161
23,444.161
24,444.161
25,444.161
26,444.161
27,444.161
28,444.161
29,444.161
30,444.161
31,444.161
32,444.161
33,444.161
34,444.161
35,444.161
36,444.161
37,444.161
38,444.161
39,444.161
40,444.161
41,444.161
42,444.161
43,444.161
44,444.161
45,444.161
46,444.161
47,444.161
48,444.161
49,444.161
50,444.161
51,444.161
52,444.161
53,444.161
54,444.161
55,444.161
56,444.161
57,444.161
58,444.161
59,444.161
60,444.161
61,444.161
62,444.161
63,444.161
64,444.161
65,444.161
66,444.161
67,444.161
68,444.161
69,444.161
70,444.161
71,444.161
72,444.161
73,444.161
74,444.161
75,444.161
76,444.161
77,444.161
78,444.161
79,444.161
80,444.161
81,444.161
82,444.161
83,444.161
84,444.161
85,444.161
86,444.161
87,444.161
88,444.161
89,444.161
90,444.161
91,444.161
92,444.161
93,444.161
94,444.161
95,444.161
96,444.161
97,444.161
98,444.161
99,444.161
100,444.161
101,444.161
102,444.161
103,444.161
104,444.161
105,444.161
106,444.161
107,444.161
108,444.161
109,444.161
110,444.161
111,444.161
112,444.161
113,444.161
114,444.161
115,444.161
116,444.161
117,444.161
118,444.161
119,444.161
120,444.161
121,444.161
122,444.161
123,444.161
124,444.161
125,444.161
126,444.161
127,444.161
128,444.161
129,444.161
130,444.161
131,444.161
132,444.161
133,444.161
134,444.161
135,444.161
136,444.161
137,444.161
138,444.161
139,444.161
140,444.161
141,444.161
142,444.161
143,444.161
144,444.161
145,444.161
146,444.161
147,444.161
148,444.161
149,444.161
150,444.161
151,444.161
152,444.161
153,444.161
154,444.161
155,444.161
156,444.161
157,444.161
158,444.161
159,444.161
160,444.161
161,444.161
162,444.161
163,444.161
164,444.161
165,444.161
166,444.161
167,444.161
168,444.161
169,444.161
170,444.161
171,444.161
172,444.161
173,444.161
174,444.161
175,444.161
176,444.161
177,444.161
178,444.161
179,444.161
180,444.161
181,444.161
182,444.161
183,444.161
184,444.161
185,444.161
186,444.161
187,444.161
188,444.161
189,444.161
190,444.161
191,444.161
192,444.161
193,444.161
194,444.161
195,444.161
196,444.161
197,444.161
198,444.161
199,444.161
200,444.161
201,444.161
202,444.161
203,444.161
204,444.161
205,444.161
206,444.161
207,444.161
208,444.161
209,444.161
210,444.161
211,444.161
212,444.161
213,444.161
214,444.161
215,444.161
216,444.161
217,444.161
218,444.161
219,444.161
220,444.161
221,444.161
222,444.161
223,444.161
224,444.161
225,444.161
226,444.161
227,444.161
228,444.161
229,444.161
230,444.161
231,444.161
232,444.161
233,444.161
234,444.161
235,444.161
236,444.161
237,444.161
238,444.161
239,444.161
240,444.161
241,444.161
242,444.161
243,444.161
244,444.161
245,444.161
246,444.161
247,444.161
248,444.161
249,444.161
250,444.161
251,444.161
252,444.161
253,444.161
254,444.161
255,444.161
256,444.161
257,444.161
258,444.161
259,444.161
260,444.161
261,444.161
262,444.161
263,444.161
264,444.161
265,444.161
266,444.161
267,444.161
268,444.161
269,444.161
270,444.161
271,444.161
272,444.161
273,444.161
274,444.161
275,444.161
276,444.161
277,444.161
278,444.161
279,444.161
280,444.161
281,444.161
282,444.161
283,444.161
284,444.161
285,444.161
286,444.161
287,444.161
288,444.161
289,444.161
290,444.161
291,444.161
292,444.161
293,444.161
294,444.161
295,444.161
296,444.161
297,444.161
298,444.161
299,444.161
300,444.161
301,444.161
302,444.161
303,444.161
304,444.161
305,444.161
306,444.161
307,444.161
308,444.161
309,444.161
310,444.161
311,444.161
312,444.161
313,444.161
314,444.161
315,444.161
316,444.161
317,444.161
318,444.161
319,444.161
320,444.161
321,444.161
322,444.161
323,444.161
324,444.161
325,444.161
326,444.161
327,444.161
328,444.161
329,444.161
330,444.161
331,444.161
332,444.161
333,444.161
334,444.161
335,444.161
336,444.161
337,444.161
338,444.161
339,444.161
340,444.161
341,444.161
342,444.161
343,444.161
344,444.161
345,444.161
346,444.161
347,444.161
348,444.161
349,444.161
350,444.161
351,444.161
352,444.161
353,444.161
354,444.161
355,444.161
356,444.161
357,444.161
358,444.161
359,444.161
360,444.161
361,444.161
362,444.161
363,444.161
364,444.161
365,444.161
366,444.161
367,444.161
368,444.161
369,444.161
370,444.161
371,444.161
372,444.161
373,444.161
374,444.161
375,444.161
376,444.161
377,444.161
378,444.161
379,444.161
380,444.161
381,444.161
382,444.161
383,444.161
384,444.161
385,444.161
386,444.161
387,444.161
388,444.161
389,444.161
390,444.161
391,444.161
392,444.161
393,444.161
394,444.161
395,444.161
396,444.161
397,444.161
398,444.161
399,444.161
400,444.161
401,444.161
402,444.161
403,444.161
404,444.161
405,444.161
406,444.161
407,444.161
408,444.161
409,444.161
410,444.161
411,444.161
412,444.161
413,444.161
414,444.161
415,444.161
416,444.161
417,444.161
418,444.161
419,444.161
420,444.161
421,444.161
422,444.161
423,444.161
424,444.161
425,444.161
426,444.161
427,444.161
428,444.161
429,444.161
430,444.161
431,444.161
432,444.161
433,444.161
434,444.161
435,444.161
436,444.161
437,444.161
438,444.161
439,444.161
440,444.161
441,444.161
442,444.161
443,444.161
444,444.161
445,444.161
446,444.161
447,444.161
448,444.161
449,444.161
450,444.161
451,444.161
452,444.161
453,444.161
454,444.161
455,444.161
456,444.161
457,444.161
458,444.161
459,444.161
460,444.161
461,444.161
462,444.161
463,444.161
464,444.161
465,444.161
466,444.161
467,444.161
468,444.161
469,444.161
470,444.161
471,444.161
472,444.161
473,444.161
474,444.161
475,444.161
476,444.161
477,444.161
478,444.161
479,444.161
480,444.161
481,444.161
482,444.161
483,444.161
484,444.161
485,444.161
486,444.161
487,444.161
488,444.161
489,444.161
490,444.161
491,444.161
492,444.161
493,444.161
494,444.161
495,444.161
496,444.161
497,444.161
498,444.161
499,444.161
500,444.161
