step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0,0,0,0,0,0,0,0,2.73096,12.269,0,0,0,0,0,0,0,2.73096,9.53807,0,0,0,0,0,0,2.68719e-39,2.73096,0,0,0,0,0,0,0,5.37437e-39,5.46193,0,1.64118e-107,5.06443,4.47365,0,0,0,2.68719e-39,0,0,0,0,0,0,0,0,8.06156e-39,0,1.49481e-159,4.93557,0.526354,8.10676e-97,5.06443,0,0,0,0,0,0,0,4.47365,0,0,0,0,0,0,8.06156e-39,0,4.93557,0,0,0,0,0,0,0,5,5.06443
1,0,0,0,0,0,0,0,0,3.17336,11.8266,0,0,0,0,0,0,0,3.06521,8.76143,0,0,0,0,0,0,0.108156,3.06521,0,0,0,0,0,0,0,0.216311,5.9141,0,1.52391e-107,4.86219,3.89924,0,0,0,0.108156,0,0,0,0,0,0,0,0,0.324467,0,0.0836418,5.13781,0.692647,7.53983e-97,4.86219,0,0,0,0,0,0,0,3.89924,0,0,0,0,0,0,0.408109,0,5.13781,0,0,0,0,0,0,0,4.59189,4.86219
2,0,0,0,0,0,0,0,0,3.38928,11.6107,0,0,0,0,0,0,0,3.20957,8.40115,0,0,0,0,0,0,0.179713,3.20957,0,0,0,0,0,0,0,0.359426,6.05971,0,1.43741e-107,4.77725,3.62389,0,0,0,0.179713,0,0,0,0,0,0,0,0,0.539139,0,0.0782159,5.22275,0.758751,7.18192e-97,4.77725,0,0,0,0,0,0,0,3.62389,0,0,0,0,0,0,0.617355,0,5.22275,0,0,0,0,0,0,0,4.38265,4.77725
3,0,0,0,0,0,0,0,0,3.53455,11.4655,0,0,0,0,0,0,0,3.298,8.16746,0,0,0,0,0,0,0.236548,3.298,0,0,0,0,0,0,0,0.473095,6.1229,0,1.36441e-107,4.73794,3.42951,0,0,0,0.236548,0,0,0,0,0,0,0,0,0.709643,0,0.0722554,5.26206,0.78859,6.90737e-97,4.73794,0,0,0,0,0,0,0,3.42951,0,0,0,0,0,0,0.781898,0,5.26206,0,0,0,0,0,0,0,4.2181,4.73794
4,0,0,0,0,0,0,0,0,3.63976,11.3602,0,0,0,0,0,0,0,3.35543,8.00481,0,0,0,0,0,0,0.284337,3.35543,0,0,0,0,0,0,0,0.568674,6.14218,0,1.30018e-107,4.72365,3.28116,0,0,0,0.284337,0,0,0,0,0,0,0,0,0.85301,0,0.0665302,5.27635,0.799296,6.67931e-97,4.72365,0,0,0,0,0,0,0,3.28116,0,0,0,0,0,0,0.919541,0,5.27635,0,0,0,0,0,0,0,4.08046,4.72365
5,0,0,0,0,0,0,0,0,3.72019,11.2798,0,0,0,0,0,0,0,3.39432,7.8855,0,0,0,0,0,0,0.32587,3.39432,0,0,0,0,0,0,0,0.65174,6.13689,0,1.24219e-107,4.72367,3.16183,0,0,0,0.32587,0,0,0,0,0,0,0,0,0.977609,0,0.0611659,5.27633,0.7994,6.47899e-97,4.72367,0,0,0,0,0,0,0,3.16183,0,0,0,0,0,0,1.03878,0,5.27633,0,0,0,0,0,0,0,3.96122,4.72367
6,0,0,0,0,0,0,0,0,3.78615,11.2139,0,0,0,0,0,0,0,3.42343,7.79042,0,0,0,0,0,0,0.362722,3.42343,0,0,0,0,0,0,0,0.725443,6.12141,0,1.18897e-107,4.72833,3.06209,0,0,0,0.362722,0,0,0,0,0,0,0,0,1.08816,0,0.0562061,5.27167,0.793541,6.29607e-97,4.72833,0,0,0,0,0,0,0,3.06209,0,0,0,0,0,0,1.14437,0,5.27167,0,0,0,0,0,0,0,3.85563,4.72833
7,0,0,0,0,0,0,0,0,3.84143,11.1586,0,0,0,0,0,0,0,3.44562,7.71296,0,0,0,0,0,0,0.395808,3.44562,0,0,0,0,0,0,0,0.791617,6.09962,0,1.13962e-107,4.73605,2.97691,0,0,0,0.395808,0,0,0,0,0,0,0,0,1.18742,0,0.0516473,5.26395,0.784018,6.12561e-97,4.73605,0,0,0,0,0,0,0,2.97691,0,0,0,0,0,0,1.23907,0,5.26395,0,0,0,0,0,0,0,3.76093,4.73605
8,0,0,0,0,0,0,0,0,3.88859,11.1114,0,0,0,0,0,0,0,3.46281,7.6486,0,0,0,0,0,0,0.425779,3.46281,0,0,0,0,0,0,0,0.851558,6.07406,0,1.09351e-107,4.74572,2.90288,0,0,0,0.425779,0,0,0,0,0,0,0,0,1.27734,0,0.0474717,5.25428,0.772306,5.96435e-97,4.74572,0,0,0,0,0,0,0,2.90288,0,0,0,0,0,0,1.32481,0,5.25428,0,0,0,0,0,0,0,3.67519,4.74572
9,0,0,0,0,0,0,0,0,3.92944,11.0706,0,0,0,0,0,0,0,3.47633,7.59423,0,0,0,0,0,0,0.453115,3.47633,0,0,0,0,0,0,0,0.90623,6.04643,0,1.05018e-107,4.75659,2.83764,0,0,0,0.453115,0,0,0,0,0,0,0,0,1.35935,0,0.0436546,5.24341,0.759364,5.81011e-97,4.75659,0,0,0,0,0,0,0,2.83764,0,0,0,0,0,0,1.403,0,5.24341,0,0,0,0,0,0,0,3.597,4.75659
10,0,0,0,0,0,0,0,0,3.9653,11.0347,0,0,0,0,0,0,0,3.48711,7.54759,0,0,0,0,0,0,0.478185,3.48711,0,0,0,0,0,0,0,0.95637,6.01785,0,1.00928e-107,4.76814,2.77945,0,0,0,0.478185,0,0,0,0,0,0,0,0,1.43455,0,0.0401688,5.23186,0.745824,5.6614e-97,4.76814,0,0,0,0,0,0,0,2.77945,0,0,0,0,0,0,1.47472,0,5.23186,0,0,0,0,0,0,0,3.52528,4.76814
11,0,0,0,0,0,0,0,0,3.9972,11.0028,0,0,0,0,0,0,0,3.49592,7.50688,0,0,0,0,0,0,0.501279,3.49592,0,0,0,0,0,0,0,1.00256,5.98928,0,1.57485e-06,4.77999,2.72689,0,0,0,0.501279,0,0,0,0,0,0,0,0,1.50384,0,0.0369849,5.22001,0.732291,5.5172e-97,4.77999,0,0,0,0,0,0,0,2.72689,0,0,0,0,0,0,1.54082,0,5.22001,0,0,0,0,0,0,0,3.45918,4.77999
12,0,0,0,0,0,0,0,0,4.02606,10.9739,0,0,0,0,0,0,0,3.50343,7.4705,0,0,0,0,0,0,0.52263,3.50343,0,0,0,0,0,0,0,1.04526,5.96161,0,7.69402e-06,4.7919,2.6786,0,0,0,0.52263,0,0,0,0,0,0,0,0,1.56789,0,0.0340728,5.2081,0.71944,5.37685e-97,4.7919,0,0,0,0,0,0,0,2.6786,0,0,0,0,0,0,1.60196,0,5.2081,0,0,0,0,0,0,0,3.39804,4.7919
13,0,0,0,0,0,0,0,0,4.05231,10.9477,0,0,0,0,0,0,0,3.50988,7.43781,0,0,0,0,0,0,0.542423,3.50988,0,0,0,0,0,0,0,1.08485,5.93492,0,1.63588e-05,4.80372,2.63408,0,0,0,0.542423,0,0,0,0,0,0,0,0,1.62727,0,0.031409,5.19628,0.707245,5.23995e-97,4.80372,0,0,0,0,0,0,0,2.63408,0,0,0,0,0,0,1.65868,0,5.19628,0,0,0,0,0,0,0,3.34132,4.80372
14,0,0,0,0,0,0,0,0,4.07627,10.9237,0,0,0,0,0,0,0,3.51546,7.40827,0,0,0,0,0,0,0.560816,3.51546,0,0,0,0,0,0,0,1.12163,5.90928,0,2.62195e-05,4.81534,2.5929,0,0,0,0.560816,0,0,0,0,0,0,0,0,1.68245,0,0.0289712,5.18466,0.695675,5.1062e-97,4.81534,0,0,0,0,0,0,0,2.5929,0,0,0,0,0,0,1.71142,0,5.18466,0,0,0,0,0,0,0,3.28858,4.81534
15,0,0,0,0,0,0,0,0,4.09824,10.9018,0,0,0,0,0,0,0,3.5203,7.38146,0,0,0,0,0,0,0.577947,3.5203,0,0,0,0,0,0,0,1.15589,5.8847,0,3.63797e-05,4.8267,2.55472,0,0,0,0.577947,0,0,0,0,0,0,0,0,1.73384,0,0.0267391,5.1733,0.6847,4.97539e-97,4.8267,0,0,0,0,0,0,0,2.55472,0,0,0,0,0,0,1.76058,0,5.1733,0,0,0,0,0,0,0,3.23942,4.8267
16,0,0,0,0,0,0,0,0,4.11847,10.8815,0,0,0,0,0,0,0,3.52453,7.357,0,0,0,0,0,0,0.593933,3.52453,0,0,0,0,0,0,0,1.18787,5.8612,0,4.62584e-05,4.83773,2.51922,0,0,0,0.593933,0,0,0,0,0,0,0,0,1.7818,0,0.0246942,5.16227,0.674286,4.84735e-97,4.83773,0,0,0,0,0,0,0,2.51922,0,0,0,0,0,0,1.80649,0,5.16227,0,0,0,0,0,0,0,3.19351,4.83773
17,0,0,0,0,0,0,0,0,4.13714,10.8629,0,0,0,0,0,0,0,3.52826,7.33461,0,0,0,0,0,0,0.608878,3.52826,0,0,0,0,0,0,0,1.21776,5.83876,0,5.54943e-05,4.84841,2.48615,0,0,0,0.608878,0,0,0,0,0,0,0,0,1.82663,0,0.0228195,5.15159,0.664402,4.72197e-97,4.84841,0,0,0,0,0,0,0,2.48615,0,0,0,0,0,0,1.84945,0,5.15159,0,0,0,0,0,0,0,3.15055,4.84841
18,0,0,0,0,0,0,0,0,4.15442,10.8456,0,0,0,0,0,0,0,3.53155,7.31402,0,0,0,0,0,0,0.622872,3.53155,0,0,0,0,0,0,0,1.24574,5.81736,0,6.38774e-05,4.85869,2.45527,0,0,0,0.622872,0,0,0,0,0,0,0,0,1.86862,0,0.0210996,5.14131,0.655017,4.59917e-97,4.85869,0,0,0,0,0,0,0,2.45527,0,0,0,0,0,0,1.88972,0,5.14131,0,0,0,0,0,0,0,3.11028,4.85869
19,0,0,0,0,0,0,0,0,4.17048,10.8295,0,0,0,0,0,0,0,3.53448,7.29504,0,0,0,0,0,0,0.635997,3.53448,0,0,0,0,0,0,0,1.27199,5.79697,0,7.13021e-05,4.86858,2.42639,0,0,0,0.635997,0,0,0,0,0,0,0,0,1.90799,0,0.0195206,5.13142,0.646101,4.47888e-97,4.86858,0,0,0,0,0,0,0,2.42639,0,0,0,0,0,0,1.92751,0,5.13142,0,0,0,0,0,0,0,3.07249,4.86858
20,0,0,0,0,0,0,0,0,4.18543,10.8146,0,0,0,0,0,0,0,3.5371,7.27747,0,0,0,0,0,0,0.648323,3.5371,0,0,0,0,0,0,0,1.29665,5.77756,0,7.77328e-05,4.87806,2.39933,0,0,0,0.648323,0,0,0,0,0,0,0,0,1.94497,0,0.0180698,5.12194,0.637626,4.36106e-97,4.87806,0,0,0,0,0,0,0,2.39933,0,0,0,0,0,0,1.96304,0,5.12194,0,0,0,0,0,0,0,3.03696,4.87806
21,0,0,0,0,0,0,0,0,4.19937,10.8006,0,0,0,0,0,0,0,3.53946,7.26117,0,0,0,0,0,0,0.659915,3.53946,0,0,0,0,0,0,0,1.31983,5.75909,0,8.31801e-05,4.88713,2.37395,0,0,0,0.659915,0,0,0,0,0,0,0,0,1.97974,0,0.0167359,5.11287,0.629565,4.24568e-97,4.88713,0,0,0,0,0,0,0,2.37395,0,0,0,0,0,0,1.99648,0,5.11287,0,0,0,0,0,0,0,3.00352,4.88713
22,0,0,0,0,0,0,0,0,4.21241,10.7876,0,0,0,0,0,0,0,3.54158,7.24601,0,0,0,0,0,0,0.670827,3.54158,0,0,0,0,0,0,0,1.34165,5.74151,0,8.76848e-05,4.8958,2.35012,0,0,0,0.670827,0,0,0,0,0,0,0,0,2.01248,0,0.0155084,5.1042,0.621893,4.13271e-97,4.8958,0,0,0,0,0,0,0,2.35012,0,0,0,0,0,0,2.02799,0,5.1042,0,0,0,0,0,0,0,2.97201,4.8958
23,0,0,0,0,0,0,0,0,4.22462,10.7754,0,0,0,0,0,0,0,3.54351,7.23187,0,0,0,0,0,0,0.681113,3.54351,0,0,0,0,0,0,0,1.36223,5.72479,0,9.13056e-05,4.90408,2.3277,0,0,0,0.681113,0,0,0,0,0,0,0,0,2.04334,0,0.0143782,5.09592,0.614586,4.02213e-97,4.90408,0,0,0,0,0,0,0,2.3277,0,0,0,0,0,0,2.05772,0,5.09592,0,0,0,0,0,0,0,2.94228,4.90408
24,0,0,0,0,0,0,0,0,4.23608,10.7639,0,0,0,0,0,0,0,3.54527,7.21865,0,0,0,0,0,0,0.690817,3.54527,0,0,0,0,0,0,0,1.38163,5.7089,0,9.4111e-05,4.91197,2.30659,0,0,0,0.690817,0,0,0,0,0,0,0,0,2.07245,0,0.0133367,5.08803,0.607622,3.91392e-97,4.91197,0,0,0,0,0,0,0,2.30659,0,0,0,0,0,0,2.08579,0,5.08803,0,0,0,0,0,0,0,2.91421,4.91197
25,0,0,0,0,0,0,0,0,4.24685,10.7531,0,0,0,0,0,0,0,3.54687,7.20628,0,0,0,0,0,0,0.699982,3.54687,0,0,0,0,0,0,0,1.39996,5.69378,0,9.61742e-05,4.91948,2.2867,0,0,0,0.699982,0,0,0,0,0,0,0,0,2.09995,0,0.0123763,5.08052,0.60098,3.80806e-97,4.91948,0,0,0,0,0,0,0,2.2867,0,0,0,0,0,0,2.11232,0,5.08052,0,0,0,0,0,0,0,2.88768,4.91948
26,0,0,0,0,0,0,0,0,4.25699,10.743,0,0,0,0,0,0,0,3.54834,7.19467,0,0,0,0,0,0,0.708645,3.54834,0,0,0,0,0,0,0,1.41729,5.6794,0,9.75689e-05,4.92663,2.26794,0,0,0,0.708645,0,0,0,0,0,0,0,0,2.12593,0,0.0114901,5.07337,0.59464,3.70454e-97,4.92663,0,0,0,0,0,0,0,2.26794,0,0,0,0,0,0,2.13742,0,5.07337,0,0,0,0,0,0,0,2.86258,4.92663
27,0,0,0,0,0,0,0,0,4.26654,10.7335,0,0,0,0,0,0,0,3.5497,7.18376,0,0,0,0,0,0,0.71684,3.5497,0,0,0,0,0,0,0,1.43368,5.66572,0,9.8367e-05,4.93343,2.25022,0,0,0,0.71684,0,0,0,0,0,0,0,0,2.15052,0,0.0106719,5.06657,0.588585,3.60334e-97,4.93343,0,0,0,0,0,0,0,2.25022,0,0,0,0,0,0,2.16119,0,5.06657,0,0,0,0,0,0,0,2.83881,4.93343
28,0,0,0,0,0,0,0,0,4.27555,10.7244,0,0,0,0,0,0,0,3.55096,7.17349,0,0,0,0,0,0,0.724599,3.55096,0,0,0,0,0,0,0,1.4492,5.65271,0,9.86372e-05,4.9399,2.23349,0,0,0,0.724599,0,0,0,0,0,0,0,0,2.1738,0,0.00991591,5.0601,0.582796,3.50443e-97,4.9399,0,0,0,0,0,0,0,2.23349,0,0,0,0,0,0,2.18371,0,5.0601,0,0,0,0,0,0,0,2.81629,4.9399
29,0,0,0,0,0,0,0,0,4.28407,10.7159,0,0,0,0,0,0,0,3.55212,7.16381,0,0,0,0,0,0,0.73195,3.55212,0,0,0,0,0,0,0,1.4639,5.64033,0,9.84436e-05,4.94604,2.21767,0,0,0,0.73195,0,0,0,0,0,0,0,0,2.19585,0,0.00921701,5.05396,0.57726,3.40781e-97,4.94604,0,0,0,0,0,0,0,2.21767,0,0,0,0,0,0,2.20507,0,5.05396,0,0,0,0,0,0,0,2.79493,4.94604
30,0,0,0,0,0,0,0,0,4.29212,10.7079,0,0,0,0,0,0,0,3.5532,7.15469,0,0,0,0,0,0,0.73892,3.5532,0,0,0,0,0,0,0,1.47784,5.62855,0,9.78459e-05,4.95188,2.20271,0,0,0,0.73892,0,0,0,0,0,0,0,0,2.21676,0,0.00857052,5.04812,0.57196,3.31345e-97,4.95188,0,0,0,0,0,0,0,2.20271,0,0,0,0,0,0,2.22533,0,5.04812,0,0,0,0,0,0,0,2.77467,4.95188
