step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.54644,0,0,8.2075,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07964e-77,0,0,7.79516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1925,0,0,7.56508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336892,0,0,8.44708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7504,0,0,7.30308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930145,0,0,8.72867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9968,0,0,7.1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16115,0,0,8.86055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0724,0,0,7.14012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232841,0,0,8.90876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0517,0,0,7.14019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30583,0,0,8.90868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9909,0,0,7.15429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378913,0,0,8.89295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9057,0,0,7.17764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451193,0,0,8.86695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8061,0,0,7.20699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522109,0,0,8.83439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.699,0,0,7.24006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591303,0,0,8.79786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5886,0,0,7.27526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658543,0,0,8.75915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
