step,railCost
0,37.3887
1,35.9014
2,34.7042
3,33.9576
4,33.4278
5,33.0296
6,32.7133
7,32.4555
8,32.2344
9,32.0516
10,31.9023
11,31.7791
12,31.6768
13,31.5915
14,31.5199
15,31.4616
16,31.4137
17,31.3746
18,31.3454
19,31.3228
20,31.3037
21,31.2871
22,31.2721
23,31.2582
24,31.2449
25,31.2319
26,31.2188
27,31.2056
28,31.192
29,31.178
30,31.1633
31,31.148
32,31.1321
33,31.1157
34,31.0989
35,31.0817
36,31.0642
37,31.0464
38,31.0285
39,31.0104
40,30.9923
41,30.9742
42,30.9561
43,30.9381
44,30.9202
45,30.9024
46,30.8849
47,30.8675
48,30.8504
49,30.8335
50,30.8169
51,30.8006
52,30.7846
53,30.7688
54,30.7534
55,30.7383
56,30.7236
57,30.7091
58,30.695
59,30.6812
60,30.6677
61,30.6545
62,30.6417
63,30.6291
64,30.6169
65,30.605
66,30.5933
67,30.582
68,30.5709
69,30.5602
70,30.5497
71,30.5394
72,30.5294
73,30.5197
74,30.5103
75,30.501
76,30.492
77,30.4833
78,30.4747
79,30.4664
80,30.4583
81,30.4503
82,30.4426
83,30.4351
84,30.4277
85,30.4206
86,30.4136
87,30.4068
88,30.4001
89,30.3936
90,30.3873
91,30.3811
92,30.375
93,30.3691
94,30.3634
95,30.3578
96,30.3523
97,30.3469
98,30.3416
99,30.3365
100,30.3315
101,30.3266
102,30.3218
103,30.3171
104,30.3125
105,30.308
106,30.3036
107,30.2993
108,30.2951
109,30.291
110,30.2869
111,30.283
112,30.2791
113,30.2753
114,30.2716
115,30.268
116,30.2644
117,30.2609
118,30.2575
119,30.2541
120,30.2509
121,30.2476
122,30.2445
123,30.2414
124,30.2383
125,30.2353
126,30.2324
127,30.2295
128,30.2267
129,30.2239
130,30.2212
131,30.2185
132,30.2159
133,30.2133
134,30.2108
135,30.2083
136,30.2059
137,30.2035
138,30.2011
139,30.1988
140,30.1965
141,30.1943
142,30.1921
143,30.1899
144,30.1878
145,30.1857
146,30.1837
147,30.1816
148,30.1796
149,30.1777
150,30.1758
151,30.1739
152,30.172
153,30.1702
154,30.1684
155,30.1666
156,30.1649
157,30.1631
158,30.1614
159,30.1598
160,30.1581
161,30.1565
162,30.1549
163,30.1533
164,30.1518
165,30.1503
166,30.1488
167,30.1473
168,30.1458
169,30.1444
170,30.143
171,30.1416
172,30.1402
173,30.1389
174,30.1375
175,30.1362
176,30.1349
177,30.1337
178,30.1324
179,30.1312
180,30.1299
181,30.1287
182,30.1275
183,30.1264
184,30.1252
185,30.1241
186,30.1229
187,30.1218
188,30.1207
189,30.1196
190,30.1186
191,30.1175
192,30.1165
193,30.1154
194,30.1144
195,30.1134
196,30.1124
197,30.1115
198,30.1105
199,30.1095
200,30.1086
201,30.1077
202,30.1068
203,30.1059
204,30.105
205,30.1041
206,30.1032
207,30.1023
208,30.1015
209,30.1007
210,30.0998
211,30.099
212,30.0982
213,30.0974
214,30.0966
215,30.0958
216,30.0951
217,30.0943
218,30.0935
219,30.0928
220,30.0921
221,30.0913
222,30.0906
223,30.0899
224,30.0892
225,30.0885
226,30.0878
227,30.0871
228,30.0865
229,30.0858
230,30.0852
231,30.0845
232,30.0839
233,30.0832
234,30.0826
235,30.082
236,30.0814
237,30.0808
238,30.0802
239,30.0796
