step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5.00024,2.49988,2.49988,1.76384e-127,9.85098e-115,2.38723e-61,2.38723e-61,1.09958e-173,0.208529,2.38723e-61,1.09958e-173,0.208529,1.13635e-322,5.52498e-167,4.58294
1,4.80023,2.59989,2.59989,1.63333e-127,9.16141e-115,0.112069,0.112069,0.0458192,0.297623,0.112069,0.0458192,0.297623,7.90505e-323,4.35238e-167,3.97691
2,4.65258,2.60926,2.72879,1.57678e-127,0.00937142,0.176103,0.235353,0.0920206,0.313941,0.295114,0.147374,0.38286,0.0155281,0.00776406,3.33394
3,4.55043,2.53682,2.83959,0.0165211,0.0566394,0.202101,0.336946,0.112801,0.27887,0.476061,0.238024,0.435339,0.0588494,0.0284854,2.83252
4,4.45884,2.41206,2.94045,0.0573062,0.131337,0.20558,0.420834,0.119896,0.231788,0.648786,0.318378,0.467814,0.112369,0.0531767,2.42138
5,4.37664,2.26866,3.03185,0.10707,0.21578,0.196877,0.488297,0.118891,0.189005,0.807377,0.386229,0.485596,0.16494,0.076052,2.08674
6,4.2935,2.1193,3.11798,0.162604,0.30661,0.181194,0.542673,0.114907,0.152063,0.954906,0.446359,0.494605,0.215514,0.0964809,1.8013
7,4.20538,1.97024,3.19998,0.221897,0.4025,0.161732,0.585766,0.109959,0.121059,1.09289,0.500857,0.497604,0.263432,0.114119,1.55259
8,4.08453,1.81247,3.29249,0.296437,0.514069,0.137328,0.618665,0.107964,0.0929908,1.23265,0.561136,0.496796,0.319043,0.131933,1.30149
9,3.95157,1.65616,3.38424,0.375613,0.63242,0.113457,0.640052,0.105474,0.0700401,1.36559,0.618142,0.490721,0.373485,0.14642,1.07662
10,3.82077,1.5094,3.46875,0.451467,0.749617,0.0927896,0.651434,0.101326,0.0525357,1.48715,0.667212,0.480195,0.421344,0.156297,0.889722
11,3.69107,1.37299,3.54766,0.523657,0.864625,0.0751763,0.654672,0.096258,0.0392781,1.5989,0.70984,0.466586,0.463295,0.162296,0.733698
12,3.56223,1.24696,3.62183,0.591987,0.976999,0.0603736,0.651278,0.0906805,0.0292839,1.70211,0.747095,0.450812,0.499971,0.16507,0.603331
13,3.43437,1.13094,3.69175,0.656358,1.08659,0.0480878,0.642507,0.0848443,0.0217761,1.7978,0.779791,0.433529,0.531949,0.165198,0.494515
14,3.30773,1.02441,3.75772,0.716743,1.19339,0.0380056,0.629418,0.0789151,0.0161526,1.88687,0.808575,0.415237,0.559746,0.163187,0.403893
15,3.16714,0.922006,3.82669,0.779928,1.30424,0.0292238,0.610677,0.0733557,0.0116995,1.97349,0.837413,0.395094,0.587266,0.159431,0.322345
16,3.02586,0.827212,3.89226,0.840221,1.41445,0.0221696,0.588446,0.0677123,0.00839309,2.0551,0.863438,0.374071,0.611807,0.154086,0.254772
17,2.88473,0.739898,3.95431,0.897331,1.52373,0.0165999,0.563514,0.0620637,0.00596486,2.13207,0.886854,0.352532,0.633515,0.14748,0.199412
18,2.73304,0.656898,4.01753,0.955861,1.63668,0.0120529,0.534646,0.0565368,0.00412117,2.20681,0.909941,0.329693,0.654636,0.139635,0.151925
19,2.58193,0.580735,4.07685,1.01118,1.7493,0.00860341,0.504049,0.05105,0.00280713,2.2776,0.930757,0.306683,0.673323,0.130987,0.114138
20,2.43943,0.51288,4.12925,1.06013,1.8583,0.00611778,0.473668,0.0457222,0.00191104,2.34354,0.948288,0.284561,0.688526,0.122067,0.0856005
21,2.30469,0.452585,4.1757,1.10331,1.96371,0.00433454,0.4439,0.0406861,0.00130041,2.40524,0.963086,0.263514,0.700727,0.113139,0.0640744
22,2.17709,0.399103,4.21694,1.14127,2.0656,0.00306042,0.415025,0.0360139,0.000884509,2.46321,0.975577,0.243639,0.710333,0.104394,0.0478645
23,2.05612,0.351728,4.25356,1.17448,2.1641,0.00215359,0.387234,0.0317388,0.000601333,2.51786,0.986095,0.224977,0.717691,0.0959627,0.0356817
24,1.94135,0.309809,4.28606,1.20342,2.25936,0.00151053,0.360652,0.0278683,0.000408594,2.56955,0.994907,0.207526,0.723094,0.0879348,0.026545
25,1.83241,0.272748,4.31485,1.22849,2.3515,0.00105613,0.335354,0.0243932,0.000277461,2.61856,1.00223,0.191263,0.726794,0.0803641,0.0197075
26,1.72898,0.240007,4.34028,1.25006,2.44067,0.000736129,0.311378,0.0212944,0.000188282,2.66513,1.00824,0.176145,0.729005,0.0732795,0.0146018
27,1.63076,0.211104,4.36267,1.26847,2.52699,0.000511517,0.288734,0.0185465,0.000127669,2.70948,1.01308,0.162122,0.72991,0.0666908,0.0107976
28,1.53749,0.185603,4.38232,1.28403,2.61057,0.000354369,0.267409,0.0161212,8.64962e-05,2.75177,1.01689,0.149136,0.729667,0.0605943,0.00796902
29,1.44891,0.163118,4.39948,1.297,2.6915,0.000244768,0.247378,0.0139889,5.85494e-05,2.79218,1.01976,0.137126,0.728414,0.0549768,0.00587029
30,1.35987,0.14275,4.41621,1.30947,2.7717,0.000165793,0.227769,0.0120799,3.89314e-05,2.83136,1.02233,0.125573,0.726797,0.0496386,0.00424975
31,1.2759,0.124878,4.43036,1.31949,2.84938,0.000112012,0.209519,0.0104161,2.58687e-05,2.86881,1.02402,0.114954,0.724305,0.0447735,0.00307223
32,1.19706,0.109247,4.4421,1.32717,2.92442,7.55988e-05,0.192625,0.00897336,1.72033e-05,2.90461,1.02488,0.105239,0.720997,0.0403632,0.00222098
33,1.123,0.0955816,4.45177,1.33276,2.99689,5.0971e-05,0.177002,0.0077251,1.145e-05,2.93888,1.02502,0.0963546,0.716974,0.0363713,0.0016056
34,1.05339,0.0836363,4.45963,1.33651,3.06683,3.43317e-05,0.162569,0.00664708,7.62705e-06,2.97173,1.02453,0.0882323,0.712323,0.0327628,0.00116074
35,0.987941,0.0731962,4.46595,1.33861,3.13431,2.31012e-05,0.149246,0.0057174,5.08456e-06,3.00327,1.02347,0.0808079,0.707123,0.0295043,0.00083914
36,0.926389,0.0640723,4.47092,1.33923,3.19938,1.55291e-05,0.136956,0.00491654,3.39227e-06,3.03356,1.02191,0.074022,0.701444,0.0265642,0.000606656
37,0.868494,0.0560985,4.47475,1.33855,3.2621,1.04288e-05,0.125626,0.00422722,2.26496e-06,3.0627,1.01991,0.0678196,0.695349,0.0239132,0.000438594
38,0.814035,0.0491293,4.47759,1.33671,3.32254,6.99684e-06,0.115189,0.0036343,1.51341e-06,3.09076,1.01752,0.0621499,0.688895,0.0215243,0.000317101
39,0.762807,0.0430375,4.47958,1.33382,3.38075,4.68977e-06,0.105578,0.00312452,1.01198e-06,3.1178,1.01479,0.0569667,0.682131,0.0193724,0.000229273
40,0.714622,0.0377117,4.48086,1.33001,3.43679,3.14042e-06,0.0967339,0.00268637,6.77167e-07,3.14389,1.01175,0.0522274,0.675103,0.0174348,0.00016578
41,0.669304,0.0330548,4.48154,1.32538,3.49073,2.10077e-06,0.0885957,0.00230987,4.53609e-07,3.16908,1.00845,0.0478961,0.667853,0.0156905,0.000119878
42,0.626688,0.0289818,4.48171,1.32001,3.54262,1.40379e-06,0.081109,0.00198639,3.04256e-07,3.19342,1.00492,0.0439387,0.660418,0.0141207,8.66919e-05
43,0.586622,0.0254187,4.48146,1.31399,3.59251,9.37054e-07,0.0742254,0.00170847,2.04338e-07,3.21695,1.00119,0.0403217,0.652829,0.0127082,6.2698e-05
44,0.548961,0.0223007,4.48087,1.30739,3.64048,6.24838e-07,0.0678995,0.00146968,1.37403e-07,3.23974,0.99728,0.0370144,0.645118,0.0114373,4.53492e-05
45,0.513569,0.0195715,4.48,1.30028,3.68658,4.16214e-07,0.0620889,0.00126451,9.2504e-08,3.2618,0.993218,0.0339892,0.637312,0.010294,3.28042e-05
46,0.480319,0.0171818,4.47891,1.29272,3.73087,2.7696e-07,0.0567543,0.0010882,6.23472e-08,3.28319,0.989025,0.031221,0.629434,0.00926547,2.37321e-05
47,0.44909,0.0150888,4.47766,1.28476,3.7734,1.84108e-07,0.051859,0.000936668,4.20672e-08,3.30393,0.98472,0.0286869,0.621507,0.00834034,1.7171e-05
48,0.419769,0.0132551,4.47629,1.27645,3.81423,1.22261e-07,0.0473688,0.000806412,2.84129e-08,3.32407,0.98032,0.0263663,0.613549,0.0075082,1.24254e-05
49,0.392247,0.0116479,4.47484,1.26784,3.85342,8.11091e-08,0.0432521,0.000694423,1.9209e-08,3.34362,0.975841,0.0242402,0.60558,0.00675969,8.99265e-06
50,0.366422,0.0102388,4.47334,1.25897,3.89103,5.37552e-08,0.0394794,0.000598119,1.29983e-08,3.36263,0.971296,0.0222917,0.597613,0.00608641,6.50918e-06
51,0.342199,0.00900306,4.47183,1.24986,3.92711,3.55915e-08,0.0360235,0.000515284,8.80306e-09,3.38111,0.966697,0.0205052,0.589664,0.00548078,4.7123e-06
52,0.319486,0.00791887,4.47032,1.24057,3.96171,2.35424e-08,0.0328591,0.000444019,5.96647e-09,3.39909,0.962055,0.0188666,0.581746,0.00493598,3.412e-06
53,0.298196,0.00696735,4.46884,1.2311,3.99489,1.55576e-08,0.0299628,0.000382693,4.0468e-09,3.41659,0.95738,0.0173631,0.573868,0.00444588,2.47093e-06
54,0.278247,0.00613197,4.46742,1.2215,4.0267,1.02712e-08,0.027313,0.000329907,2.74656e-09,3.43364,0.952681,0.0159831,0.566042,0.00400495,1.78974e-06
55,0.259561,0.00539831,4.46606,1.21179,4.05719,6.77481e-09,0.0248896,0.000284462,1.86519e-09,3.45026,0.947964,0.014716,0.558276,0.00360824,1.29658e-06
56,0.242064,0.00475376,4.46478,1.202,4.08641,4.4645e-09,0.0226741,0.000245327,1.26733e-09,3.46646,0.943236,0.0135521,0.550578,0.00325128,9.39492e-07
57,0.225687,0.00418731,4.46359,1.19213,4.11441,2.93936e-09,0.0206495,0.000211618,8.61507e-10,3.48227,0.938505,0.0124827,0.542955,0.00293006,6.80886e-07
58,0.210363,0.00368934,4.4625,1.18221,4.14124,1.9335e-09,0.0188,0.000182575,5.85884e-10,3.49769,0.933774,0.0114998,0.535413,0.00264098,4.93567e-07
59,0.19603,0.00325142,4.46152,1.17226,4.16694,1.27073e-09,0.0171111,0.000157548,3.98587e-10,3.51275,0.929048,0.0105961,0.527957,0.00238078,3.57859e-07
60,0.182628,0.00286619,4.46065,1.1623,4.19156,8.3441e-10,0.0155694,0.000135976,2.71252e-10,3.52746,0.924332,0.00976502,0.520591,0.00214657,2.59521e-07
