step,sumCost
0,115.414
1,62.2375
2,27.1549
3,-0.394676
4,-21.2825
5,-41.4739
6,-61.4029
7,-99.6269
8,-130.142
9,-150.28
10,-169.101
11,-186.779
12,-203.451
13,-219.23
14,-255.228
15,-277.673
16,-299.664
17,-340.802
18,-367.825
19,-380.235
20,-391.666
21,-402.262
22,-412.14
23,-421.396
24,-430.109
25,-438.344
26,-446.154
27,-453.585
28,-460.676
29,-487.761
30,-514.306
31,-523.247
32,-527.47
33,-531.373
34,-534.987
35,-538.339
36,-541.452
37,-544.347
38,-547.042
39,-549.553
40,-551.896
41,-554.083
42,-556.125
43,-558.035
44,-559.82
45,-561.492
46,-563.056
47,-564.522
48,-565.895
49,-567.182
50,-568.39
51,-569.522
52,-570.585
53,-571.584
54,-572.521
55,-573.402
56,-574.229
57,-575.008
58,-575.74
59,-576.429
60,-577.077
61,-577.688
62,-578.263
63,-578.806
64,-579.317
65,-579.8
66,-580.255
67,-580.686
68,-581.093
69,-581.477
70,-581.841
71,-582.186
72,-582.512
73,-582.822
74,-583.116
75,-583.394
76,-583.659
77,-583.911
78,-584.151
79,-584.379
80,-584.596
81,-584.804
82,-585.002
83,-585.19
84,-585.371
85,-585.544
86,-585.709
87,-585.868
88,-586.02
89,-586.165
90,-586.305
91,-586.44
92,-586.569
93,-586.694
94,-586.814
95,-586.93
96,-587.041
97,-587.149
98,-587.253
99,-587.354
100,-587.451
101,-587.545
102,-587.636
103,-587.725
104,-587.811
105,-587.894
106,-587.974
107,-588.053
108,-588.129
109,-588.203
110,-588.276
111,-588.346
112,-588.414
113,-588.481
114,-588.546
115,-588.609
116,-588.671
117,-588.731
118,-588.79
119,-588.848
120,-588.904
121,-588.959
122,-589.013
123,-589.066
124,-589.117
125,-589.167
126,-589.217
127,-589.265
128,-589.312
129,-589.359
130,-589.404
131,-589.449
132,-589.493
133,-589.535
134,-589.577
135,-589.619
136,-589.659
137,-589.699
138,-589.738
139,-589.776
140,-589.814
141,-589.851
142,-589.887
143,-589.923
144,-589.958
145,-589.993
146,-590.027
147,-590.06
148,-590.093
149,-590.125
150,-590.157
151,-590.188
152,-590.219
153,-590.249
154,-590.279
155,-590.309
156,-590.338
157,-590.366
158,-590.394
159,-590.422
160,-590.449
161,-590.476
162,-590.502
163,-590.528
164,-590.554
165,-590.579
166,-590.604
167,-590.628
168,-590.652
169,-590.676
170,-590.7
171,-590.723
172,-590.746
173,-590.768
174,-590.79
175,-590.812
176,-590.834
177,-590.855
178,-590.876
179,-590.897
180,-590.917
181,-590.938
182,-590.958
183,-590.977
184,-590.997
185,-591.016
186,-591.035
187,-591.053
188,-591.072
189,-591.09
190,-591.108
191,-591.126
192,-591.143
193,-591.161
194,-591.178
195,-591.195
196,-591.211
197,-591.228
198,-591.244
199,-591.26
200,-591.276
201,-591.292
202,-591.307
203,-591.323
204,-591.338
205,-591.353
206,-591.367
207,-591.382
208,-591.397
209,-591.411
210,-591.425
211,-591.439
212,-591.453
213,-591.466
214,-591.48
215,-591.493
216,-591.506
217,-591.519
218,-591.532
219,-591.545
220,-591.558
221,-591.57
222,-591.582
223,-591.595
224,-591.607
225,-591.619
226,-591.63
227,-591.642
228,-591.654
229,-591.665
230,-591.676
231,-591.687
232,-591.699
233,-591.71
234,-591.72
235,-591.731
236,-591.742
237,-591.752
238,-591.763
239,-591.773
240,-591.783
241,-591.793
242,-591.803
243,-591.813
244,-591.823
245,-591.833
246,-591.842
247,-591.852
248,-591.861
249,-591.87
250,-591.88
251,-591.889
252,-591.898
253,-591.907
254,-591.916
255,-591.924
256,-591.933
257,-591.942
258,-591.95
259,-591.959
260,-591.967
261,-591.975
262,-591.983
263,-591.992
264,-592
265,-592.008
266,-592.016
267,-592.023
268,-592.031
269,-592.039
270,-592.047
271,-592.054
272,-592.062
273,-592.069
274,-592.076
275,-592.084
276,-592.091
277,-592.098
278,-592.105
279,-592.112
280,-592.119
281,-592.126
282,-592.133
283,-592.14
284,-592.146
285,-592.153
286,-592.16
287,-592.166
288,-592.173
289,-592.179
290,-592.185
291,-592.192
292,-592.198
293,-592.204
294,-592.21
295,-592.217
296,-592.223
297,-592.229
298,-592.235
299,-592.241
300,-592.246
301,-592.252
302,-592.258
303,-592.264
304,-592.269
305,-592.275
306,-592.281
307,-592.286
308,-592.292
309,-592.297
310,-592.303
311,-592.308
312,-592.313
313,-592.318
314,-592.324
315,-592.329
316,-592.334
317,-592.339
318,-592.344
319,-592.349
320,-592.354
321,-592.359
322,-592.364
323,-592.369
324,-592.374
325,-592.379
326,-592.383
327,-592.388
328,-592.393
329,-592.397
330,-592.402
331,-592.407
332,-592.411
333,-592.416
334,-592.42
335,-592.425
336,-592.429
337,-592.434
338,-592.438
339,-592.442
340,-592.446
341,-592.451
342,-592.455
343,-592.459
344,-592.463
345,-592.467
346,-592.472
347,-592.476
348,-592.48
349,-592.484
350,-592.488
351,-592.492
352,-592.496
353,-592.499
354,-592.503
355,-592.507
356,-592.511
357,-592.515
358,-592.519
359,-592.522
360,-592.526
361,-592.53
362,-592.533
363,-592.537
364,-592.541
365,-592.544
366,-592.548
367,-592.551
368,-592.555
369,-592.558
370,-592.562
371,-592.565
372,-592.569
373,-592.572
374,-592.575
375,-592.579
376,-592.582
377,-592.585
378,-592.589
379,-592.592
380,-592.595
381,-592.598
382,-592.601
383,-592.605
384,-592.608
385,-592.611
386,-592.614
387,-592.617
388,-592.62
389,-592.623
390,-592.626
391,-592.629
392,-592.632
393,-592.635
394,-592.638
395,-592.641
396,-592.644
397,-592.647
398,-592.65
399,-592.653
400,-592.656
401,-592.658
402,-592.661
403,-592.664
404,-592.667
405,-592.669
406,-592.672
407,-592.675
408,-592.678
409,-592.68
410,-592.683
411,-592.686
412,-592.688
413,-592.691
414,-592.694
415,-592.696
416,-592.699
417,-592.701
418,-592.704
419,-592.706
420,-592.709
421,-592.711
422,-592.714
423,-592.716
424,-592.719
425,-592.721
426,-592.724
427,-592.726
428,-592.728
429,-592.731
430,-592.733
431,-592.735
432,-592.738
433,-592.74
434,-592.742
435,-592.745
436,-592.747
437,-592.749
438,-592.752
439,-592.754
440,-592.756
441,-592.758
442,-592.76
443,-592.763
444,-592.765
445,-592.767
446,-592.769
447,-592.771
448,-592.773
449,-592.775
450,-592.778
451,-592.78
452,-592.782
453,-592.784
454,-592.786
455,-592.788
456,-592.79
457,-592.792
458,-592.794
459,-592.796
460,-592.798
461,-592.8
462,-592.802
463,-592.804
464,-592.806
465,-592.808
466,-592.81
467,-592.812
468,-592.813
469,-592.815
470,-592.817
471,-592.819
472,-592.821
473,-592.823
474,-592.825
475,-592.827
476,-592.828
477,-592.83
478,-592.832
479,-592.834
480,-592.836
481,-592.837
482,-592.839
483,-592.841
484,-592.843
485,-592.844
486,-592.846
487,-592.848
488,-592.849
489,-592.851
490,-592.853
491,-592.855
492,-592.856
493,-592.858
494,-592.86
495,-592.861
496,-592.863
497,-592.864
498,-592.866
499,-592.868
500,-592.869
