step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0,0,0,0,0,0,0,0,0.262942,4.73706,0,0,0,0,0,0,0,0.262942,4.47412,0,0,0,0,0,0,2.51909e-39,0.262942,0,0,0,0,0,0,0,5.03818e-39,0.525883,0,5.70003e-154,0,4.47412,0,0,0,2.51909e-39,0,0,0,0,0,0,0,0,7.55726e-39,0,1.17073e-159,0,0.525883,0,0,0,0,0,0,0,0,0,4.47412,0,0,0,0,0,0,7.55726e-39,0,0,0,0,0,0,0,0,0,5,0
1,0,0,0,0,0,0,0,0,0.604294,4.39571,0,0,0,0,0,0,0,0.496123,3.89958,0,0,0,0,0,0,0.108172,0.496123,0,0,0,0,0,0,0,0.216344,0.775901,0,4.51207e-154,0,3.89958,0,0,0,0.108172,0,0,0,0,0,0,0,0,0.324516,0,0.0836746,0,0.692227,0,0,0,0,0,0,0,0,0,3.89958,0,0,0,0,0,0,0.40819,0,0,0,0,0,0,0,0,0,4.59181,0
2,0,0,0,0,0,0,0,0,0.777775,4.22223,0,0,0,0,0,0,0,0.598041,3.62418,0,0,0,0,0,0,0.179734,0.598041,0,0,0,0,0,0,0,0.359468,0.836613,0,3.83245e-154,0,3.62418,0,0,0,0.179734,0,0,0,0,0,0,0,0,0.539202,0,0.0782562,0,0.758357,0,0,0,0,0,0,0,0,0,3.62418,0,0,0,0,0,0,0.617458,0,0,0,0,0,0,0,0,0,4.38254,0
3,0,0,0,0,0,0,0,0,0.903397,4.0966,0,0,0,0,0,0,0,0.666826,3.42978,0,0,0,0,0,0,0.236571,0.666826,0,0,0,0,0,0,0,0.473142,0.86051,0,3.34868e-154,0,3.42978,0,0,0,0.236571,0,0,0,0,0,0,0,0,0.709713,0,0.0722928,0,0.788218,0,0,0,0,0,0,0,0,0,3.42978,0,0,0,0,0,0,0.782006,0,0,0,0,0,0,0,0,0,4.21799,0
4,0,0,0,0,0,0,0,0,1.00148,3.99852,0,0,0,0,0,0,0,0.717114,3.28141,0,0,0,0,0,0,0.284361,0.717114,0,0,0,0,0,0,0,0.568722,0.865506,0,2.97552e-154,0,3.28141,0,0,0,0.284361,0,0,0,0,0,0,0,0,0.853083,0,0.0665648,0,0.798941,0,0,0,0,0,0,0,0,0,3.28141,0,0,0,0,0,0,0.919648,0,0,0,0,0,0,0,0,0,4.08035,0
5,0,0,0,0,0,0,0,0,1.08192,3.91808,0,0,0,0,0,0,0,0.756024,3.16206,0,0,0,0,0,0,0.325894,0.756024,0,0,0,0,0,0,0,0.651789,0.86026,0,2.67255e-154,0,3.16206,0,0,0,0.325894,0,0,0,0,0,0,0,0,0.977683,0,0.0611979,0,0.799062,0,0,0,0,0,0,0,0,0,3.16206,0,0,0,0,0,0,1.03888,0,0,0,0,0,0,0,0,0,3.96112,0
6,0,0,0,0,0,0,0,0,1.15022,3.84978,0,0,0,0,0,0,0,0.787473,3.06231,0,0,0,0,0,0,0.362746,0.787473,0,0,0,0,0,0,0,0.725492,0.849454,0,2.41801e-154,0,3.06231,0,0,0,0.362746,0,0,0,0,0,0,0,0,1.08824,0,0.0562357,0,0.793218,0,0,0,0,0,0,0,0,0,3.06231,0,0,0,0,0,0,1.14447,0,0,0,0,0,0,0,0,0,3.85553,0
7,0,0,0,0,0,0,0,0,1.20936,3.79064,0,0,0,0,0,0,0,0.813524,2.97712,0,0,0,0,0,0,0.395832,0.813524,0,0,0,0,0,0,0,0.791665,0.835383,0,2.19973e-154,0,2.97712,0,0,0,0.395832,0,0,0,0,0,0,0,0,1.1875,0,0.0516746,0,0.783709,0,0,0,0,0,0,0,0,0,2.97712,0,0,0,0,0,0,1.23917,0,0,0,0,0,0,0,0,0,3.76083,0
8,0,0,0,0,0,0,0,0,1.26136,3.73864,0,0,0,0,0,0,0,0.835555,2.90309,0,0,0,0,0,0,0.425803,0.835555,0,0,0,0,0,0,0,0.851605,0.819506,0,2.00962e-154,0,2.90309,0,0,0,0.425803,0,0,0,0,0,0,0,0,1.27741,0,0.0474969,0,0.772009,0,0,0,0,0,0,0,0,0,2.90309,0,0,0,0,0,0,1.3249,0,0,0,0,0,0,0,0,0,3.6751,0
9,0,0,0,0,0,0,0,0,1.30765,3.69235,0,0,0,0,0,0,0,0.854516,2.83783,0,0,0,0,0,0,0.453138,0.854516,0,0,0,0,0,0,0,0.906276,0.802756,0,1.84206e-154,0,2.83783,0,0,0,0.453138,0,0,0,0,0,0,0,0,1.35941,0,0.0436779,0,0.759078,0,0,0,0,0,0,0,0,0,2.83783,0,0,0,0,0,0,1.40309,0,0,0,0,0,0,0,0,0,3.59691,0
