step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5.06414,2.46793,2.46793,1.38546e-107,6.96269e-97,2.51909e-39,2.51909e-39,5.85363e-160,0.262942,2.51909e-39,5.85363e-160,0.262942,1.13635e-322,5.70003e-154,4.47412
1,4.86192,2.56904,2.56904,1.28644e-107,6.47576e-97,0.108172,0.108172,0.0418373,0.346113,0.108172,0.0418373,0.346113,7.90505e-323,4.51207e-154,3.89958
2,4.777,2.6115,2.6115,1.21341e-107,6.16838e-97,0.179734,0.179734,0.0391281,0.379178,0.179734,0.0391281,0.379178,6.42285e-323,3.83245e-154,3.62418
3,4.73771,2.63115,2.63115,1.15178e-107,5.9326e-97,0.236571,0.236571,0.0361464,0.394109,0.236571,0.0361464,0.394109,6.42285e-323,3.34868e-154,3.42978
4,4.72343,2.63829,2.63829,1.09755e-107,5.73674e-97,0.284361,0.284361,0.0332824,0.399471,0.284361,0.0332824,0.399471,6.42285e-323,2.97552e-154,3.28141
5,4.72346,2.63827,2.63827,1.04859e-107,5.5647e-97,0.325894,0.325894,0.0305989,0.399531,0.325894,0.0305989,0.399531,6.42285e-323,2.67255e-154,3.16206
6,4.72813,2.63594,2.63594,1.00366e-107,5.40761e-97,0.362746,0.362746,0.0281178,0.396609,0.362746,0.0281178,0.396609,6.42285e-323,2.41801e-154,3.06231
7,4.73585,2.63208,2.63208,9.61994e-108,5.26122e-97,0.395832,0.395832,0.0258373,0.391854,0.395832,0.0258373,0.391854,6.42285e-323,2.19973e-154,2.97712
8,4.74553,2.62724,2.62724,9.23066e-108,5.12273e-97,0.425803,0.425803,0.0237484,0.386004,0.425803,0.0237484,0.386004,6.42285e-323,2.00962e-154,2.90309
9,4.75641,2.6218,2.6218,8.86486e-108,4.99027e-97,0.453138,0.453138,0.0218389,0.379539,0.453138,0.0218389,0.379539,6.42285e-323,1.84206e-154,2.83783
10,4.76796,2.61602,2.61602,8.5196e-108,4.86255e-97,0.478207,0.478207,0.0200951,0.372774,0.478207,0.0200951,0.372774,6.42285e-323,1.69299e-154,2.77964
11,4.77982,2.61009,2.61009,8.19264e-108,4.73872e-97,0.501301,0.501301,0.0185024,0.36601,0.501301,0.0185024,0.36601,6.42285e-323,1.55513e-06,2.72707
12,4.79173,2.60413,2.60413,7.88221e-108,4.61818e-97,0.522651,0.522651,0.0170456,0.359585,0.522651,0.0170456,0.359585,6.42285e-323,7.65933e-06,2.67878
13,4.80356,2.59822,2.59822,7.58697e-108,4.50061e-97,0.542443,0.542443,0.015713,0.353487,0.542443,0.015713,0.353487,6.42285e-323,1.63127e-05,2.63425
14,4.81519,2.59241,2.59241,7.30575e-108,4.38574e-97,0.560836,0.560836,0.0144935,0.3477,0.560836,0.0144935,0.3477,6.42285e-323,2.6165e-05,2.59308
15,4.82655,2.58672,2.58672,7.03752e-108,4.27339e-97,0.577966,0.577966,0.0133769,0.34221,0.577966,0.0133769,0.34221,6.42285e-323,3.63188e-05,2.55489
16,4.83759,2.58121,2.58121,6.7814e-108,4.16342e-97,0.593951,0.593951,0.0123539,0.337001,0.593951,0.0123539,0.337001,6.42285e-323,4.61929e-05,2.51939
17,4.84826,2.57587,2.57587,6.53659e-108,4.05574e-97,0.608896,0.608896,0.0114161,0.332057,0.608896,0.0114161,0.332057,6.42285e-323,5.54254e-05,2.48631
18,4.85856,2.57072,2.57072,6.30237e-108,3.95027e-97,0.62289,0.62289,0.0105557,0.327363,0.62289,0.0105557,0.327363,6.42285e-323,6.38064e-05,2.45543
19,4.86845,2.56578,2.56578,6.07811e-108,3.84696e-97,0.636015,0.636015,0.00976578,0.322904,0.636015,0.00976578,0.322904,6.42285e-323,7.12298e-05,2.42655
20,4.87793,2.56103,2.56103,5.86322e-108,3.74577e-97,0.648341,0.648341,0.00904001,0.318666,0.648341,0.00904001,0.318666,6.42285e-323,7.76598e-05,2.39949
