step,railRevenue
0,427.491
1,377.047
2,340.269
3,319.703
4,305.927
5,295.785
6,302.756
7,296.194
8,290.536
9,285.846
10,282.004
11,278.826
12,276.182
13,288.973
14,287.122
15,285.622
16,299.399
17,298.41
18,297.688
19,297.147
20,296.693
21,296.302
22,295.951
23,295.624
24,295.309
25,294.996
26,294.677
27,294.349
28,309.006
29,308.649
30,308.328
31,323.028
32,322.703
33,322.387
34,322.027
35,336.631
36,336.204
37,335.75
38,350.276
39,349.784
40,349.279
41,363.765
42,363.244
43,377.72
44,377.194
45,376.668
46,391.145
47,390.626
48,405.112
49,404.604
50,404.103
51,418.611
52,418.127
53,417.652
54,417.187
55,416.731
56,431.286
57,430.85
58,430.425
59,430.01
60,429.605
61,429.21
62,428.825
63,443.45
64,443.085
65,442.73
66,442.383
67,442.046
68,441.718
69,441.398
70,441.087
71,455.784
72,455.489
73,470.203
74,469.923
75,484.651
76,484.386
77,484.128
78,483.877
79,498.633
80,498.394
81,498.162
82,497.936
83,497.715
84,497.5
85,497.291
86,497.087
87,511.887
88,511.693
89,526.503
90,541.318
91,541.138
92,540.962
93,540.79
94,555.622
95,555.458
96,555.297
97,555.141
98,209.988
99,299.839
100,299.692
101,299.55
102,314.41
103,314.274
104,314.14
105,329.009
106,328.881
107,328.756
108,343.634
109,343.514
110,358.397
111,358.282
112,358.169
113,373.059
114,372.951
115,387.845
116,387.742
117,387.64
118,402.541
119,402.443
120,402.347
121,402.253
122,402.161
123,417.071
124,416.983
125,416.896
126,416.81
127,416.727
128,416.645
129,416.564
130,431.485
131,431.407
132,431.331
133,431.256
134,431.182
135,431.11
136,431.039
137,430.969
138,430.9
139,430.833
140,445.767
141,445.701
142,460.637
143,460.574
144,475.513
145,475.452
146,475.392
147,475.333
148,490.275
149,490.218
150,490.162
151,490.107
152,490.052
153,489.999
154,489.946
155,504.895
156,504.844
157,519.793
158,519.744
159,534.695
160,534.647
161,549.6
162,549.554
163,549.508
164,549.463
165,549.418
166,204.375
167,294.332
168,294.289
169,294.247
170,309.206
171,309.165
172,309.125
173,324.086
174,324.047
175,324.008
176,338.97
177,338.933
178,353.896
179,353.86
180,353.824
181,368.789
182,368.754
183,383.72
184,383.686
185,383.652
186,383.619
187,398.587
188,398.555
189,398.523
190,398.492
191,413.461
192,413.43
193,413.4
194,413.371
195,413.341
196,413.312
197,428.284
198,428.256
199,428.228
200,428.2
201,428.173
202,428.146
203,428.12
204,428.094
205,428.068
206,428.042
207,428.017
208,427.992
209,427.968
210,442.943
211,442.919
212,457.896
213,457.872
214,472.849
215,472.826
216,472.804
217,472.781
218,487.759
219,487.737
220,487.716
221,487.695
222,487.673
223,487.653
224,487.632
225,502.612
226,502.592
227,517.572
228,517.552
229,532.533
230,532.513
231,547.494
232,547.475
233,547.457
234,547.438
235,547.42
236,202.402
237,292.384
238,292.367
239,292.349
240,307.332
241,307.315
242,307.298
243,322.282
244,322.265
245,322.249
246,337.233
247,337.217
248,352.201
249,352.185
250,352.17
251,367.154
252,367.139
253,382.124
254,382.109
255,382.094
256,382.08
257,397.065
258,397.051
259,397.037
260,397.023
261,412.009
262,411.995
263,411.982
264,411.968
265,411.955
266,411.942
267,426.929
268,426.916
269,426.903
270,426.891
271,426.878
272,426.866
273,426.853
274,426.841
275,426.829
276,426.817
277,426.805
278,426.793
279,441.782
280,441.77
281,456.759
282,456.748
283,471.736
284,471.725
285,471.714
286,471.704
287,486.693
288,486.682
289,486.672
290,486.661
291,486.651
292,486.64
293,486.63
294,486.62
295,501.61
296,501.6
297,516.59
298,531.581
299,531.571
300,531.561
301,531.552
302,546.542
303,546.533
304,546.524
305,546.515
306,201.506
307,291.497
308,291.488
309,291.479
310,306.47
311,306.461
312,306.453
313,321.444
314,321.436
315,321.427
316,336.419
317,336.411
318,351.403
319,351.394
320,351.386
321,366.378
322,366.37
323,381.363
324,381.355
325,381.347
326,396.339
327,396.332
328,396.324
329,396.317
330,396.309
331,411.302
332,411.295
333,411.288
334,411.28
335,411.273
336,411.266
337,411.259
338,426.252
339,426.245
340,426.239
341,426.232
342,426.225
343,426.218
344,426.212
345,426.205
346,426.199
347,426.192
348,441.186
349,441.179
350,456.173
351,456.167
352,471.161
353,471.154
354,471.148
355,471.142
356,486.136
357,486.13
358,486.124
359,486.118
360,486.113
361,486.107
362,486.101
363,501.095
364,501.09
365,516.084
366,516.078
367,531.073
368,531.067
369,546.062
370,546.057
371,546.051
372,546.046
373,546.041
374,201.035
375,291.03
376,291.025
377,291.02
378,306.015
379,306.009
380,306.004
381,320.999
382,320.994
383,320.99
384,335.985
385,335.98
386,350.975
387,350.97
388,350.965
389,365.961
390,365.956
391,380.951
392,380.947
393,380.942
394,380.938
395,395.933
396,395.929
397,395.924
398,395.92
399,410.915
400,410.911
401,410.907
402,410.902
403,410.898
404,410.894
405,425.89
406,425.885
407,425.881
408,425.877
409,425.873
410,425.869
411,425.865
412,425.861
413,425.857
414,425.853
415,425.849
416,425.845
417,425.841
418,440.837
419,440.833
420,455.83
421,455.826
422,470.822
423,470.818
424,470.815
425,470.811
426,485.807
427,485.804
428,485.8
429,485.796
430,485.793
431,485.789
432,485.786
433,500.782
434,500.779
435,515.775
436,515.772
437,530.768
438,530.765
439,545.762
440,545.758
441,545.755
442,545.752
443,545.748
444,200.745
445,290.742
446,290.739
447,290.735
448,305.732
449,305.729
450,305.726
451,320.723
452,320.72
453,320.717
454,335.714
455,335.711
456,350.708
457,350.705
458,350.702
459,365.699
460,365.696
461,380.693
462,380.69
463,380.687
464,380.684
465,395.681
466,395.678
467,395.675
468,395.673
469,410.67
470,410.667
471,410.664
472,410.662
473,410.659
474,410.656
475,425.653
476,425.651
477,425.648
478,425.645
479,425.643
480,425.64
481,425.638
482,425.635
483,425.632
484,425.63
485,425.627
486,425.625
487,440.622
488,440.62
489,455.617
490,455.615
491,470.612
492,470.61
493,470.608
494,470.605
495,485.603
496,485.6
497,485.598
498,485.596
499,485.593
500,485.591
