step,storeRevenue
0,372.133
1,550.569
2,653.006
3,717.797
4,717.797
5,717.797
6,761.168
7,791.164
8,812.248
9,812.248
10,812.248
11,812.248
12,812.248
13,827.052
14,837.261
15,837.261
16,843.996
17,848.032
18,850.012
19,850.012
20,850.012
21,850.012
22,850.012
23,850.012
24,850.012
25,850.012
26,850.012
27,850.012
28,850.238
29,850.238
30,849.017
31,846.582
32,843.114
33,843.114
34,843.114
35,839.019
36,834.125
37,834.125
38,828.53
39,822.314
40,822.314
41,815.545
42,808.813
43,801.581
44,793.896
45,793.896
46,785.797
47,777.317
48,769.398
49,761.079
50,761.079
51,752.392
52,743.363
53,743.363
54,743.363
55,743.363
56,734.016
57,725.718
58,725.718
59,725.718
60,725.718
61,725.718
62,725.718
63,717.041
64,717.041
65,708.011
66,708.011
67,708.011
68,708.011
69,708.011
70,708.011
71,698.651
72,698.651
73,688.983
74,680.817
75,672.256
76,663.325
77,663.325
78,663.325
79,654.046
80,644.44
81,644.44
82,644.44
83,644.44
84,644.44
85,644.44
86,644.44
87,636.731
88,636.731
89,628.596
90,611.141
91,601.865
92,601.865
93,601.865
94,594.8
95,587.276
96,587.276
97,587.276
98,587.276
99,843.114
100,843.114
101,843.114
102,839.019
103,834.125
104,834.125
105,828.53
106,822.314
107,822.314
108,815.545
109,808.813
110,801.581
111,793.896
112,793.896
113,785.797
114,777.317
115,769.398
116,761.079
117,761.079
118,752.392
119,743.363
120,743.363
121,743.363
122,743.363
123,734.016
124,725.718
125,725.718
126,725.718
127,725.718
128,725.718
129,725.718
130,717.041
131,717.041
132,708.011
133,708.011
134,708.011
135,708.011
136,708.011
137,708.011
138,708.011
139,708.011
140,698.651
141,698.651
142,688.983
143,680.817
144,672.256
145,663.325
146,663.325
147,663.325
148,654.046
149,644.44
150,644.44
151,644.44
152,644.44
153,644.44
154,644.44
155,636.731
156,636.731
157,628.596
158,620.059
159,611.141
160,601.865
161,594.8
162,587.276
163,587.276
164,587.276
165,587.276
166,587.276
167,843.114
168,843.114
169,843.114
170,839.019
171,834.125
172,834.125
173,828.53
174,822.314
175,822.314
176,815.545
177,808.813
178,801.581
179,793.896
180,793.896
181,785.797
182,777.317
183,769.398
184,761.079
185,761.079
186,761.079
187,752.392
188,743.363
189,743.363
190,743.363
191,734.016
192,725.718
193,725.718
194,725.718
195,725.718
196,725.718
197,717.041
198,717.041
199,708.011
200,708.011
201,708.011
202,708.011
203,708.011
204,708.011
205,708.011
206,708.011
207,708.011
208,708.011
209,708.011
210,698.651
211,698.651
212,688.983
213,680.817
214,672.256
215,663.325
216,663.325
217,663.325
218,654.046
219,644.44
220,644.44
221,644.44
222,644.44
223,644.44
224,644.44
225,636.731
226,636.731
227,628.596
228,620.059
229,611.141
230,601.865
231,594.8
232,587.276
233,587.276
234,587.276
235,587.276
236,587.276
237,843.114
238,843.114
239,843.114
240,839.019
241,834.125
242,834.125
243,828.53
244,822.314
245,822.314
