step,railRevenue
0,459.55
1,390.704
2,366.74
3,352.846
4,343.499
5,336.628
6,346.178
7,341.677
8,337.817
9,334.47
10,331.547
11,328.96
12,326.648
13,339.563
14,337.668
15,335.903
16,349.274
17,347.766
18,346.341
19,345.011
20,343.783
21,342.646
22,341.589
23,340.607
24,339.69
25,338.834
26,338.033
27,337.282
28,351.577
29,350.914
30,350.273
31,364.652
32,364.068
33,363.499
34,362.961
35,377.45
36,376.966
37,376.492
38,391.036
39,390.596
40,390.158
41,404.735
42,404.325
43,418.918
44,418.525
45,418.134
46,432.756
47,432.391
48,447.027
49,446.678
50,446.331
51,460.999
52,460.681
53,460.366
54,460.065
55,459.777
56,474.501
57,474.237
58,473.974
59,473.724
60,473.486
61,473.258
62,488.041
63,487.832
64,487.623
65,487.415
66,487.218
67,487.032
68,486.854
69,486.685
70,486.524
71,486.371
72,486.224
73,486.083
74,485.947
75,485.816
76,500.688
77,500.564
78,515.436
79,515.306
80,530.168
81,530.031
82,529.888
83,529.749
84,544.613
85,544.479
86,544.343
87,544.212
88,544.085
89,543.963
90,543.844
91,558.729
92,558.617
93,573.502
94,573.384
95,588.259
96,588.134
97,603.005
98,602.879
99,602.751
100,602.627
101,602.508
102,602.392
103,602.28
104,617.17
105,617.064
106,631.955
107,646.843
108,646.734
109,646.628
110,646.527
111,661.43
112,661.336
113,661.244
114,661.156
115,661.07
116,660.987
117,675.905
118,675.826
119,690.749
120,690.674
121,705.6
122,705.528
123,720.458
124,720.389
125,720.322
126,720.256
127,720.191
128,720.128
129,735.066
130,735.005
131,734.946
132,734.887
133,734.83
134,734.773
135,734.718
136,734.663
137,734.609
138,734.556
139,734.503
140,734.452
141,734.401
142,734.351
143,734.302
144,734.254
145,734.206
146,734.159
147,734.113
148,734.067
149,734.022
150,748.978
151,748.934
152,763.891
153,763.848
154,778.806
155,778.765
156,778.724
157,778.684
158,793.644
159,793.604
160,793.566
161,793.527
162,793.489
163,793.452
164,808.415
165,808.379
166,808.343
167,808.307
168,823.272
169,823.237
170,838.203
171,838.168
172,853.135
173,853.102
174,868.069
175,868.036
176,868.004
177,882.972
178,882.94
179,882.909
180,897.878
181,897.848
182,897.817
183,897.787
184,912.758
185,912.728
186,912.699
187,912.67
188,912.642
189,927.614
190,927.586
191,927.558
192,927.53
193,927.503
194,942.476
195,942.449
196,942.423
197,942.396
198,942.37
199,942.344
200,957.319
201,957.293
202,957.268
203,957.243
204,957.218
205,957.194
206,972.169
207,972.145
208,972.121
209,972.097
210,972.073
211,987.05
212,987.027
213,987.004
214,986.981
215,986.958
216,1001.94
217,1001.91
218,1001.89
219,1001.87
220,1016.85
221,1016.82
222,1016.8
223,1031.78
224,1031.76
225,1031.74
226,1046.72
227,1046.7
228,1061.68
229,1061.66
230,1061.64
231,1061.62
232,1061.6
233,1061.58
234,1061.56
235,1061.54
236,1061.52
237,1061.5
238,1061.48
239,1061.46
240,1061.44
241,1061.42
242,1061.4
243,1061.38
244,1076.36
245,1076.34
246,1076.33
247,1091.31
248,1091.29
249,1091.27
250,1091.25
251,1106.24
252,1106.22
253,1106.2
254,1121.18
255,1121.17
256,1121.15
257,1121.13
258,1121.11
259,1121.1
260,1136.08
261,1136.06
262,1136.05
263,1151.03
264,1151.01
265,1151
266,1150.98
267,1150.96
268,1150.95
269,1150.93
270,1150.92
271,1150.9
272,1150.88
273,1150.87
274,1150.85
275,1150.84
276,1150.82
277,1150.81
278,1150.79
279,1150.78
280,1150.76
281,1150.75
282,1150.73
283,1150.72
284,1150.7
285,1165.69
286,1165.67
287,1165.66
288,1180.64
289,1180.63
290,1180.61
291,1180.6
292,1180.59
293,1180.57
294,1180.56
295,1180.54
296,1180.53
297,1180.52
298,1180.5
299,1180.49
300,1180.47
301,1180.46
302,1195.45
303,1195.43
304,1195.42
305,1210.41
306,1210.39
307,1210.38
308,1210.37
309,1210.35
310,1210.34
311,1225.33
312,1225.32
313,1225.3
314,1225.29
315,1225.28
316,1225.27
317,1240.25
318,1240.24
319,1240.23
320,1240.22
321,1240.2
322,1240.19
323,1240.18
324,1240.17
325,1240.15
326,1240.14
327,1255.13
328,1255.12
329,1255.11
330,1255.1
331,1255.08
332,1255.07
333,1255.06
334,1255.05
335,1255.04
336,1255.03
337,1270.01
338,1270
339,1269.99
340,1269.98
341,1269.97
342,1269.96
343,1269.95
344,1269.94
345,1284.92
346,1284.91
347,1284.9
348,1284.89
349,1284.88
350,1284.87
351,1284.86
352,1299.85
353,1299.84
354,1299.83
355,1299.82
356,1299.81
357,1314.8
358,1314.79
359,249.776
360,624.765
361,624.755
362,639.745
363,639.735
364,654.725
365,654.715
366,654.705
367,654.695
368,654.685
369,654.675
370,654.665
371,654.655
372,669.645
373,669.636
374,684.626
375,684.616
376,699.607
377,699.597
378,714.588
379,714.578
380,714.569
381,714.559
382,714.55
383,714.54
384,729.531
385,729.522
386,729.513
387,729.504
388,729.494
389,729.485
390,729.476
391,729.467
392,729.458
393,729.449
394,729.44
395,729.431
396,729.423
397,729.414
398,729.405
399,729.396
400,729.388
401,729.379
402,729.37
403,729.362
404,729.353
405,744.345
406,744.336
407,759.328
408,759.319
409,774.311
410,774.303
411,774.294
412,774.286
413,789.278
414,789.27
415,789.261
416,789.253
417,789.245
418,789.237
419,804.229
420,804.221
421,804.213
422,804.205
423,819.197
424,819.189
425,834.181
426,834.174
427,849.166
428,849.158
429,864.15
430,864.143
431,864.135
432,879.127
433,879.12
434,879.112
435,894.105
436,894.097
437,894.09
438,894.082
439,909.075
440,909.067
441,909.06
442,909.053
443,909.045
444,924.038
445,924.031
446,924.024
447,924.016
448,924.009
449,939.002
450,938.995
451,938.988
452,938.981
453,938.974
454,938.967
455,953.96
456,953.953
457,953.946
458,953.939
459,953.932
460,953.925
461,968.919
462,968.912
463,968.905
464,968.898
465,968.892
466,983.885
467,983.878
468,983.872
469,983.865
470,983.858
471,998.852
472,998.845
473,998.839
474,998.832
475,1013.83
476,1013.82
477,1013.81
478,1028.81
479,1028.8
480,1028.79
481,1043.79
482,1043.78
483,1058.78
484,1058.77
485,1058.76
486,1058.76
487,1058.75
488,1058.74
489,1058.74
490,1058.73
491,1058.73
492,1058.72
493,1058.71
494,1058.71
495,1058.7
496,1058.7
497,1058.69
498,1058.68
499,1073.68
500,1073.67
501,1073.67
502,1088.66
503,1088.66
504,1088.65
505,1088.64
506,1103.64
507,1103.63
508,1103.63
509,1118.62
510,1118.62
511,1118.61
512,1118.6
513,1118.6
514,1118.59
515,1133.59
516,1133.58
517,1133.58
518,1148.57
519,1148.57
520,1148.56
521,1148.56
522,1148.55
523,1148.54
524,1148.54
525,1148.53
526,1148.53
527,1148.52
528,1148.52
529,1148.51
530,1148.51
531,1148.5
532,1148.5
533,1148.49
534,1148.49
535,1148.48
536,1148.48
537,1148.47
538,1148.47
539,1148.46
540,1163.46
541,1163.45
542,1163.45
543,1178.44
544,1178.44
545,1178.43
546,1178.43
547,1178.42
548,1178.42
549,1178.41
550,1178.41
551,1178.4
552,1178.4
553,1178.39
554,1178.39
555,1178.38
556,1178.38
557,1193.37
558,1193.37
559,1193.37
560,1208.36
561,1208.36
562,1208.35
563,1208.35
564,1208.34
565,1208.34
566,1223.33
567,1223.33
568,1223.32
569,1223.32
570,1223.32
571,1223.31
572,1238.31
573,1238.3
574,1238.3
575,1238.29
576,1238.29
577,1238.29
578,1238.28
579,1238.28
580,1238.27
581,1238.27
582,1253.26
583,1253.26
584,1253.26
585,1253.25
586,1253.25
587,1253.24
588,1253.24
589,1253.23
590,1253.23
591,1253.23
592,1268.22
593,1268.22
594,1268.21
595,1268.21
596,1268.21
597,1268.2
598,1268.2
599,1268.19
600,1283.19
601,1283.19
602,1283.18
603,1283.18
604,1283.17
605,1283.17
606,1283.17
607,1298.16
608,1298.16
609,1298.16
610,1298.15
611,1298.15
612,1313.14
613,1313.14
614,248.137
615,623.133
616,623.129
617,638.126
618,638.122
619,653.118
620,653.115
621,653.111
622,653.107
623,653.104
624,653.1
625,653.097
626,653.093
627,668.09
628,668.086
629,683.083
630,683.079
631,698.076
632,698.072
633,713.069
634,713.065
635,713.062
636,713.058
637,713.055
638,713.052
639,728.048
640,728.045
641,728.042
642,728.038
643,728.035
644,728.032
645,728.028
646,728.025
647,728.022
648,728.018
649,728.015
650,728.012
651,728.009
652,728.006
653,728.002
654,727.999
655,727.996
656,727.993
657,727.99
658,727.987
659,727.984
660,742.981
661,742.977
662,757.974
663,757.971
664,772.968
665,772.965
666,772.962
667,772.959
668,787.956
669,787.953
670,787.95
671,787.947
672,787.944
673,787.941
674,802.938
675,802.936
676,802.933
677,802.93
678,817.927
679,817.924
680,832.921
681,832.918
682,847.916
683,847.913
684,862.91
685,862.907
686,862.904
687,877.902
688,877.899
689,877.896
690,892.893
691,892.891
692,892.888
693,892.885
694,907.882
695,907.88
696,907.877
697,907.874
698,907.872
