step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,0,10,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
1,0,0.5,9.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
2,0,1,9,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
3,0,1.5,8.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
4,0,2,8,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
5,0,2.5,7.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
6,0,3,7,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
7,0,3.5,6.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
8,0,4,6,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
9,0,4.5,5.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
10,0,5,5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
11,0,5.5,4.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
12,0,6,4,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
13,0,6.5,3.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
14,0,7,3,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
15,0,7.5,2.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
16,0,8,2,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
17,0,8.5,1.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
18,0,9,1,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
19,0,9.5,0.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
20,0,10,0,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
21,0.5,0,9.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
22,0.5,0.5,9,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
23,0.5,1,8.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
24,0.5,1.5,8,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
25,0.5,2,7.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
26,0.5,2.5,7,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
27,0.5,3,6.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
28,0.5,3.5,6,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
29,0.5,4,5.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
30,0.5,4.5,5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
31,0.5,5,4.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
32,0.5,5.5,4,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
33,0.5,6,3.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
34,0.5,6.5,3,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
35,0.5,7,2.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
36,0.5,7.5,2,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
37,0.5,8,1.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
38,0.5,8.5,1,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
39,0.5,9,0.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
40,0.5,9.5,0,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
41,1,0,9,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
42,1,0.5,8.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
43,1,1,8,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
44,1,1.5,7.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
45,1,2,7,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
46,1,2.5,6.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
47,1,3,6,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
48,1,3.5,5.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
49,1,4,5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
50,1,4.5,4.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
51,1,5,4,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
52,1,5.5,3.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
53,1,6,3,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
54,1,6.5,2.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
55,1,7,2,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
56,1,7.5,1.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
57,1,8,1,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
58,1,8.5,0.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
59,1,9,0,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
60,1.5,0,8.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
61,1.5,0.5,8,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
62,1.5,1,7.5,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
63,1.5,1.5,7,0,0,2.10579e-07,0.00531316,5.431e-35,0.00016956,2.57943,2.46154e-27,0.36637,5.92879e-323,2.4975e-27,2.04872
