step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,0,10,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
1,0,0.5,9.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
2,0,1,9,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
3,0,1.5,8.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
4,0,2,8,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
5,0,2.5,7.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
6,0,3,7,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
7,0,3.5,6.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
8,0,4,6,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
9,0,4.5,5.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
10,0,5,5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
11,0,5.5,4.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
12,0,6,4,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
13,0,6.5,3.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
14,0,7,3,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
15,0,7.5,2.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
16,0,8,2,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
17,0,8.5,1.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
18,0,9,1,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
19,0,9.5,0.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
20,0,10,0,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
21,0.5,0,9.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
22,0.5,0.5,9,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
23,0.5,1,8.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
24,0.5,1.5,8,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
25,0.5,2,7.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
26,0.5,2.5,7,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
27,0.5,3,6.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
28,0.5,3.5,6,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
29,0.5,4,5.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
30,0.5,4.5,5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
31,0.5,5,4.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
32,0.5,5.5,4,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
33,0.5,6,3.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
34,0.5,6.5,3,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
35,0.5,7,2.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
36,0.5,7.5,2,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
37,0.5,8,1.5,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
38,0.5,8.5,1,0,0,0.672803,0.672803,6.77508e-36,0.243886,0.672803,6.77508e-36,0.243886,5.92879e-323,1.08694e-322,2.49382
