step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.0819,0,-2.54814,0.488116,0.978116,-0.0135307,-0.00393262,-2.46924e-36,-0.0681193,0.00497271,-2.32552e-36,-0.0639804,0.0226478,0.0479659,0.0739767
1,1.08296,-0.131649,-2.41967,0.489177,0.979177,-0.0135307,-0.00393262,-2.46924e-36,-0.0681193,0.00497271,-2.32552e-36,-0.0639804,0.0226478,0.0479659,0.0739767
2,1.08402,-0.263299,-2.2912,0.490238,0.980238,-0.0135307,-0.00393262,-2.46924e-36,-0.0681193,0.00497271,-2.32552e-36,-0.0639804,0.0226478,0.0479659,0.0739767
3,1.08509,-0.394948,-2.16273,0.491298,0.981298,-0.0135307,-0.00393262,-2.46924e-36,-0.0681193,0.00497271,-2.32552e-36,-0.0639804,0.0226478,0.0479659,0.0739767
4,1.08615,-0.526598,-2.03427,0.492359,0.982359,-0.0135307,-0.00393262,-2.46924e-36,-0.0681193,0.00497271,-2.32552e-36,-0.0639804,0.0226478,0.0479659,0.0739767
5,1.08721,-0.658247,-1.9058,0.49342,0.98342,-0.0135307,-0.00393262,-2.46924e-36,-0.0681193,0.00497271,-2.32552e-36,-0.0639804,0.0226478,0.0479659,0.0739767
6,1.08827,-0.789897,-1.77733,0.49448,0.98448,-0.0135307,-0.00393262,-2.46924e-36,-0.0681193,0.00497271,-2.32552e-36,-0.0639804,0.0226478,0.0479659,0.0739767
7,1.08933,-0.921546,-1.64886,0.495541,0.985541,-0.0135307,-0.00393262,-2.46924e-36,-0.0681193,0.00497271,-2.32552e-36,-0.0639804,0.0226478,0.0479659,0.0739767
8,1.09039,-1.0532,-1.5204,0.496602,0.986602,-0.0135307,-0.00393262,-2.46924e-36,-0.0681193,0.00497271,-2.32552e-36,-0.0639804,0.0226478,0.0479659,0.0739767
9,1.09145,-1.18484,-1.39193,0.497662,0.987662,-0.0135307,-0.00393262,-2.46924e-36,-0.0681193,0.00497271,-2.32552e-36,-0.0639804,0.0226478,0.0479659,0.0739767
10,1.09251,-1.31649,-1.26346,0.498723,0.988723,-0.0135307,-0.00393262,-2.46924e-36,-0.0681193,0.00497271,-2.32552e-36,-0.0639804,0.0226478,0.0479659,0.0739767
