step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.07947,0,-2.54084,0.485686,0.975686,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
1,1.08053,-0.131285,-2.41274,0.486747,0.976747,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
2,1.08159,-0.26257,-2.28464,0.487807,0.977807,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
3,1.08265,-0.393855,-2.15654,0.488868,0.978868,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
4,1.08372,-0.525139,-2.02843,0.489929,0.979929,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
5,1.08478,-0.656424,-1.90033,0.490989,0.980989,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
6,1.08584,-0.787709,-1.77223,0.49205,0.98205,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
7,1.0869,-0.918994,-1.64412,0.49311,0.98311,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
8,1.08796,-1.05028,-1.51602,0.494171,0.984171,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
9,1.08902,-1.18156,-1.38792,0.495232,0.985232,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
10,1.09008,-1.31285,-1.25982,0.496292,0.986292,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
11,1.09114,-1.44413,-1.13171,0.497353,0.987353,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
12,1.0922,-1.57542,-1.00361,0.498414,0.988414,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
13,1.09326,-1.7067,-0.875507,0.499474,0.989474,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
14,1.09432,-1.83799,-0.747404,0.500535,0.990535,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
15,1.09538,-1.96927,-0.619301,0.501596,0.991596,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
16,1.09644,-2.10056,-0.491198,0.502656,0.992656,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
17,1.0975,-2.23184,-0.363095,0.503717,0.993717,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
18,1.09856,-2.36313,-0.234993,0.504778,0.994778,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
19,1.09963,-2.49441,-0.10689,0.505838,0.995838,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
20,1.10069,-2.6257,0.0212132,0.506899,0.996899,0.0123729,0.012921,-1.93526e-35,-4.5982e-05,-0.0755991,-8.30138e-28,-0.0939131,0.0174577,0.0480881,0.0787185
21,0.923285,0,-2.15276,0.404788,0.824688,0.010593,0.0111587,-1.75904e-35,-4.04805e-05,-0.0688407,-7.50271e-28,-0.082026,0.0124214,0.0430518,0.0736822
22,0.924346,-0.117546,-2.0384,0.405849,0.825749,0.010593,0.0111587,-1.75904e-35,-4.04805e-05,-0.0688407,-7.50271e-28,-0.082026,0.0124214,0.0430518,0.0736822
23,0.925407,-0.235092,-1.92403,0.406909,0.826809,0.010593,0.0111587,-1.75904e-35,-4.04805e-05,-0.0688407,-7.50271e-28,-0.082026,0.0124214,0.0430518,0.0736822
