step,0,1,2,3,4,5,6,7,8,9,10
0,10,5.46823,4.53177,5.46823,4.53062,0.00115324,5.46823,4.53062,0.00115324,9.99885,0.00115324
1,10,5.40068,4.59932,5.40068,4.51824,0.0810779,5.40068,4.51824,0.0810779,9.91892,0.0810779
2,10,5.3375,4.6625,5.3375,4.50438,0.158115,5.3375,4.50438,0.158115,9.84189,0.158115
3,10,5.27826,4.72174,5.27826,4.48934,0.2324,5.27826,4.48934,0.2324,9.7676,0.2324
4,10,5.2226,4.7774,5.2226,4.47334,0.304058,5.2226,4.47334,0.304058,9.69594,0.304058
5,10,5.17019,4.82981,5.17019,4.45661,0.373201,5.17019,4.45661,0.373201,9.6268,0.373201
6,10,5.12076,4.87924,5.12076,4.43931,0.439933,5.12076,4.43931,0.439933,9.56007,0.439933
7,10,5.07405,4.92595,5.07405,4.4216,0.504351,5.07405,4.4216,0.504351,9.49565,0.504351
8,10,5.02986,4.97014,5.02986,4.4036,0.566544,5.02986,4.4036,0.566544,9.43346,0.566544
9,10,4.98798,5.01202,4.98798,4.38542,0.626599,4.98798,4.38542,0.626599,9.3734,0.626599
10,10,4.94825,5.05175,4.94825,4.36715,0.684595,4.94825,4.36715,0.684595,9.3154,0.684595
11,10,4.91052,5.08948,4.91052,4.34887,0.740609,4.91052,4.34887,0.740609,9.25939,0.740609
12,10,4.87463,5.12537,4.87463,4.33065,0.794713,4.87463,4.33065,0.794713,9.20529,0.794713
13,10,4.84048,5.15952,4.84048,4.31254,0.846976,4.84048,4.31254,0.846976,9.15302,0.846976
14,10,4.80795,5.19205,4.80795,4.29459,0.897465,4.80795,4.29459,0.897465,9.10253,0.897465
15,10,4.77692,5.22308,4.77692,4.27683,0.946243,4.77692,4.27683,0.946243,9.05376,0.946243
16,10,4.74732,5.25268,4.74732,4.25931,0.99337,4.74732,4.25931,0.99337,9.00663,0.99337
17,10,4.71906,5.28094,4.71906,4.24204,1.03891,4.71906,4.24204,1.03891,8.96109,1.03891
18,10,4.69205,5.30795,4.69205,4.22505,1.08291,4.69205,4.22505,1.08291,8.91709,1.08291
19,10,4.66623,5.33377,4.66623,4.20835,1.12542,4.66623,4.20835,1.12542,8.87458,1.12542
20,10,4.64153,5.35847,4.64153,4.19196,1.16651,4.64153,4.19196,1.16651,8.83349,1.16651
21,10,4.61788,5.38212,4.61788,4.1759,1.20622,4.61788,4.1759,1.20622,8.79378,1.20622
22,10,4.59524,5.40476,4.59524,4.16017,1.24459,4.59524,4.16017,1.24459,8.75541,1.24459
23,10,4.57355,5.42645,4.57355,4.14477,1.28168,4.57355,4.14477,1.28168,8.71832,1.28168
24,10,4.55275,5.44725,4.55275,4.12971,1.31753,4.55275,4.12971,1.31753,8.68247,1.31753
25,10,4.53282,5.46718,4.53282,4.115,1.35218,4.53282,4.115,1.35218,8.64782,1.35218
26,10,4.51369,5.48631,4.51369,4.10063,1.38568,4.51369,4.10063,1.38568,8.61432,1.38568
27,10,4.49534,5.50466,4.49534,4.0866,1.41805,4.49534,4.0866,1.41805,8.58195,1.41805
28,10,4.47773,5.52227,4.47773,4.07292,1.44935,4.47773,4.07292,1.44935,8.55065,1.44935
29,10,4.46082,5.53918,4.46082,4.05957,1.47961,4.46082,4.05957,1.47961,8.52039,1.47961
30,10,4.44457,5.55543,4.44457,4.04656,1.50887,4.44457,4.04656,1.50887,8.49113,1.50887
31,10,4.42896,5.57104,4.42896,4.03388,1.53715,4.42896,4.03388,1.53715,8.46285,1.53715
32,10,4.41397,5.58603,4.41397,4.02154,1.5645,4.41397,4.02154,1.5645,8.4355,1.5645
33,10,4.39955,5.60045,4.39955,4.00951,1.59094,4.39955,4.00951,1.59094,8.40906,1.59094
34,10,4.38569,5.61431,4.38569,3.9978,1.61651,4.38569,3.9978,1.61651,8.38349,1.61651
35,10,4.37236,5.62764,4.37236,3.98641,1.64123,4.37236,3.98641,1.64123,8.35877,1.64123
36,10,4.35954,5.64046,4.35954,3.97532,1.66514,4.35954,3.97532,1.66514,8.33486,1.66514
37,10,4.34721,5.65279,4.34721,3.96453,1.68826,4.34721,3.96453,1.68826,8.31174,1.68826
38,10,4.33534,5.66466,4.33534,3.95403,1.71062,4.33534,3.95403,1.71062,8.28938,1.71062
39,10,4.32392,5.67608,4.32392,3.94383,1.73225,4.32392,3.94383,1.73225,8.26775,1.73225
40,10,4.31293,5.68707,4.31293,3.93391,1.75317,4.31293,3.93391,1.75317,8.24683,1.75317
41,10,4.30235,5.69765,4.30235,3.92426,1.7734,4.30235,3.92426,1.7734,8.2266,1.7734
42,10,4.29215,5.70785,4.29215,3.91488,1.79297,4.29215,3.91488,1.79297,8.20703,1.79297
43,10,4.28234,5.71766,4.28234,3.90577,1.81189,4.28234,3.90577,1.81189,8.18811,1.81189
44,10,4.27288,5.72712,4.27288,3.89692,1.8302,4.27288,3.89692,1.8302,8.1698,1.8302
45,10,4.26377,5.73623,4.26377,3.88832,1.84792,4.26377,3.88832,1.84792,8.15208,1.84792
46,10,4.25499,5.74501,4.25499,3.87996,1.86505,4.25499,3.87996,1.86505,8.13495,1.86505
47,10,4.24653,5.75347,4.24653,3.87184,1.88163,4.24653,3.87184,1.88163,8.11837,1.88163
48,10,4.23838,5.76162,4.23838,3.86396,1.89766,4.23838,3.86396,1.89766,8.10234,1.89766
49,10,4.23052,5.76948,4.23052,3.8563,1.91318,4.23052,3.8563,1.91318,8.08682,1.91318
50,10,4.22294,5.77706,4.22294,3.84886,1.92819,4.22294,3.84886,1.92819,8.07181,1.92819
51,10,4.21564,5.78436,4.21564,3.84164,1.94272,4.21564,3.84164,1.94272,8.05728,1.94272
52,10,4.2086,5.7914,4.2086,3.83463,1.95677,4.2086,3.83463,1.95677,8.04323,1.95677
