step,0,1,2,3,4,5,6,7,8,9,10
0,10,5.46823,4.53177,5.46823,4.53062,0.00115324,5.46823,4.53062,0.00115324,9.99885,0.00115324
1,10,5.40068,4.59932,5.40068,4.51824,0.0810779,5.40068,4.51824,0.0810779,9.91892,0.0810779
2,10,5.33169,4.66831,5.33169,4.5047,0.163608,5.33169,4.5047,0.163608,9.83639,0.163608
3,10,5.26514,4.73486,5.26514,4.48987,0.244994,5.26514,4.48987,0.244994,9.75501,0.244994
4,10,5.20168,4.79832,5.20168,4.47391,0.324413,5.20168,4.47391,0.324413,9.67559,0.324413
5,10,5.14168,4.85832,5.14168,4.457,0.401321,5.14168,4.457,0.401321,9.59868,0.401321
6,10,5.08483,4.91517,5.08483,4.43936,0.475808,5.08483,4.43936,0.475808,9.52419,0.475808
7,10,5.03088,4.96912,5.03088,4.42117,0.547958,5.03088,4.42117,0.547958,9.45204,0.547958
8,10,4.97865,5.02135,4.97865,4.4026,0.618759,4.97865,4.4026,0.618759,9.38124,0.618759
9,10,4.92859,5.07141,4.92859,4.38373,0.687676,4.92859,4.38373,0.687676,9.31232,0.687676
10,10,4.88105,5.11895,4.88105,4.36466,0.754291,4.88105,4.36466,0.754291,9.24571,0.754291
11,10,4.83584,5.16416,4.83584,4.34548,0.818689,4.83584,4.34548,0.818689,9.18131,0.818689
12,10,4.79277,5.20723,4.79277,4.32628,0.880952,4.79277,4.32628,0.880952,9.11905,0.880952
13,10,4.75171,5.24829,4.75171,4.30713,0.941159,4.75171,4.30713,0.941159,9.05884,0.941159
14,10,4.71252,5.28748,4.71252,4.28809,0.999384,4.71252,4.28809,0.999384,9.00062,0.999384
15,10,4.67441,5.32559,4.67441,4.26925,1.05634,4.67441,4.26925,1.05634,8.94366,1.05634
16,10,4.63778,5.36222,4.63778,4.2506,1.11162,4.63778,4.2506,1.11162,8.88838,1.11162
17,10,4.60253,5.39747,4.60253,4.23219,1.16528,4.60253,4.23219,1.16528,8.83472,1.16528
18,10,4.56804,5.43196,4.56804,4.21406,1.21789,4.56804,4.21406,1.21789,8.78211,1.21789
19,10,4.5347,5.4653,4.5347,4.19621,1.26909,4.5347,4.19621,1.26909,8.73091,1.26909
20,10,4.50282,5.49718,4.50282,4.17864,1.31853,4.50282,4.17864,1.31853,8.68147,1.31853
21,10,4.47231,5.52769,4.47231,4.16139,1.3663,4.47231,4.16139,1.3663,8.6337,1.3663
22,10,4.4431,5.5569,4.4431,4.14446,1.41244,4.4431,4.14446,1.41244,8.58756,1.41244
23,10,4.41511,5.58489,4.41511,4.12787,1.45702,4.41511,4.12787,1.45702,8.54298,1.45702
24,10,4.38827,5.61173,4.38827,4.11164,1.50009,4.38827,4.11164,1.50009,8.49991,1.50009
25,10,4.36253,5.63747,4.36253,4.09576,1.54171,4.36253,4.09576,1.54171,8.45829,1.54171
26,10,4.33782,5.66218,4.33782,4.08024,1.58194,4.33782,4.08024,1.58194,8.41806,1.58194
27,10,4.31409,5.68591,4.31409,4.06509,1.62082,4.31409,4.06509,1.62082,8.37918,1.62082
28,10,4.29129,5.70871,4.29129,4.05031,1.6584,4.29129,4.05031,1.6584,8.3416,1.6584
29,10,4.26938,5.73062,4.26938,4.03589,1.69473,4.26938,4.03589,1.69473,8.30527,1.69473
30,10,4.24787,5.75213,4.24787,4.02185,1.73027,4.24787,4.02185,1.73027,8.26973,1.73027
31,10,4.22678,5.77322,4.22678,4.00817,1.76505,4.22678,4.00817,1.76505,8.23495,1.76505
32,10,4.2064,5.7936,4.2064,3.99484,1.79876,4.2064,3.99484,1.79876,8.20124,1.79876
33,10,4.18633,5.81367,4.18633,3.98187,1.8318,4.18633,3.98187,1.8318,8.1682,1.8318
34,10,4.16689,5.83311,4.16689,3.96923,1.86388,4.16689,3.96923,1.86388,8.13612,1.86388
35,10,4.14804,5.85196,4.14804,3.95693,1.89503,4.14804,3.95693,1.89503,8.10497,1.89503
36,10,4.12977,5.87023,4.12977,3.94495,1.92527,4.12977,3.94495,1.92527,8.07473,1.92527
37,10,4.11171,5.88829,4.11171,3.93331,1.95499,4.11171,3.93331,1.95499,8.04501,1.95499
38,10,4.09415,5.90585,4.09415,3.92197,1.98388,4.09415,3.92197,1.98388,8.01612,1.98388
39,10,4.07709,5.92291,4.07709,3.91094,2.01197,4.07709,3.91094,2.01197,7.98803,2.01197
40,10,4.06018,5.93982,4.06018,3.90022,2.0396,4.06018,3.90022,2.0396,7.9604,2.0396
41,10,4.04373,5.95627,4.04373,3.88978,2.06648,4.04373,3.88978,2.06648,7.93352,2.06648
42,10,4.02772,5.97228,4.02772,3.87964,2.09265,4.02772,3.87964,2.09265,7.90735,2.09265
43,10,4.01184,5.98816,4.01184,3.86977,2.11839,4.01184,3.86977,2.11839,7.88161,2.11839
44,10,3.99638,6.00362,3.99638,3.86017,2.14345,3.99638,3.86017,2.14345,7.85655,2.14345
45,10,3.98105,6.01895,3.98105,3.85084,2.16811,3.98105,3.85084,2.16811,7.83189,2.16811
46,10,3.96612,6.03388,3.96612,3.84177,2.19211,3.96612,3.84177,2.19211,7.80789,2.19211
47,10,3.95159,6.04841,3.95159,3.83294,2.21547,3.95159,3.83294,2.21547,7.78453,2.21547
48,10,3.93719,6.06281,3.93719,3.82436,2.23844,3.93719,3.82436,2.23844,7.76156,2.23844
49,10,3.92319,6.07681,3.92319,3.81602,2.26079,3.92319,3.81602,2.26079,7.73921,2.26079
50,10,3.90933,6.09067,3.90933,3.80791,2.28276,3.90933,3.80791,2.28276,7.71724,2.28276
51,10,3.89587,6.10413,3.89587,3.80002,2.30411,3.89587,3.80002,2.30411,7.69589,2.30411
52,10,3.88279,6.11721,3.88279,3.79236,2.32486,3.88279,3.79236,2.32486,7.67514,2.32486
