step,0,1,2,3,4,5,6,7,8,9,10
0,0,10.5685,0,0,7.56848,0,0,0,1,0,0
1,0,10.3336,0,0,7.53264,0,0,0,1.0021,0,0
2,0,10.0966,0,0,7.49354,0,0,0,1.00857,0,0
3,0,9.87094,0,0,7.45085,0,0,0,1.01921,0,0
4,0,9.6584,0,0,7.40507,0,0,0,1.03368,0,0
5,0,9.45979,0,0,7.35676,0,0,0,1.05154,0,0
6,0,10.2738,0,0,8.30655,0,0,0,2.07245,0,0
7,0,10.0991,0,0,8.25495,0,0,0,2.09608,0,0
8,0,9.93181,0,0,8.20251,0,0,0,2.12252,0,0
9,0,9.77313,0,0,8.14947,0,0,0,2.15133,0,0
10,0,9.6239,0,0,8.09607,0,0,0,2.18207,0,0
11,0,9.4833,0,0,8.04261,0,0,0,2.21448,0,0
12,0,9.35061,0,0,7.98933,0,0,0,2.24834,0,0
13,0,10.2252,0,0,8.93643,0,0,0,3.28345,0,0
14,0,10.1065,0,0,8.88408,0,0,0,3.31961,0,0
15,0,9.99204,0,0,8.83247,0,0,0,3.35707,0,0
16,0,10.8829,0,0,9.78164,0,0,0,4.39542,0,0
17,0,10.7786,0,0,9.73167,0,0,0,4.43452,0,0
18,0,10.6775,0,0,9.68266,0,0,0,4.47465,0,0
19,0,10.5803,0,0,9.63461,0,0,0,4.51539,0,0
20,0,10.4881,0,0,9.58754,0,0,0,4.55633,0,0
21,0,10.4005,0,0,9.54149,0,0,0,4.59737,0,0
22,0,10.3172,0,0,9.4965,0,0,0,4.63839,0,0
23,0,10.2378,0,0,9.45259,0,0,0,4.67933,0,0
24,0,10.1622,0,0,9.40978,0,0,0,4.72009,0,0
25,0,10.0901,0,0,9.36808,0,0,0,4.7606,0,0
26,0,10.0213,0,0,9.32748,0,0,0,4.80081,0,0
27,0,9.95564,0,0,9.28799,0,0,0,4.84066,0,0
28,0,10.8929,0,0,10.2496,0,0,0,5.88009,0,0
29,0,10.8328,0,0,10.2123,0,0,0,5.91907,0,0
30,0,10.7742,0,0,10.1761,0,0,0,5.95803,0,0
31,0,11.717,0,0,11.1409,0,0,0,6.99693,0,0
32,0,11.662,0,0,11.1068,0,0,0,7.03537,0,0
33,0,11.6081,0,0,11.0737,0,0,0,7.07376,0,0
34,0,11.5562,0,0,11.0415,0,0,0,7.11169,0,0
35,0,12.506,0,0,12.0103,0,0,0,8.14916,0,0
36,0,12.4576,0,0,11.9801,0,0,0,8.18614,0,0
37,0,12.41,0,0,11.9507,0,0,0,8.22303,0,0
38,0,13.3639,0,0,12.9222,0,0,0,9.25944,0,0
39,0,13.3192,0,0,12.8945,0,0,0,9.29537,0,0
40,0,13.2752,0,0,12.8677,0,0,0,9.33119,0,0
41,0,14.2326,0,0,13.8417,0,0,0,10.3665,0,0
42,0,14.1912,0,0,13.8165,0,0,0,10.4013,0,0
43,0,15.1504,0,0,14.792,0,0,0,11.436,0,0
44,0,15.1107,0,0,14.7683,0,0,0,11.4702,0,0
45,0,15.0716,0,0,14.7453,0,0,0,11.5042,0,0
46,0,16.0336,0,0,15.7229,0,0,0,12.5377,0,0
47,0,15.9968,0,0,15.7013,0,0,0,12.5707,0,0
48,0,16.9605,0,0,16.6802,0,0,0,13.6034,0,0
49,0,16.9253,0,0,16.6598,0,0,0,13.6356,0,0
50,0,16.8905,0,0,16.6401,0,0,0,13.6675,0,0
51,0,17.8569,0,0,17.6209,0,0,0,14.6989,0,0
52,0,17.8243,0,0,17.6022,0,0,0,14.7296,0,0
53,0,17.7923,0,0,17.5842,0,0,0,14.76,0,0
54,0,17.7613,0,0,17.5666,0,0,0,14.7899,0,0
55,0,17.7313,0,0,17.5496,0,0,0,14.819,0,0
56,0,18.7023,0,0,18.5331,0,0,0,15.8476,0,0
57,0,18.6743,0,0,18.5171,0,0,0,15.8755,0,0
58,0,18.6467,0,0,18.5016,0,0,0,15.9031,0,0
59,0,18.6201,0,0,18.4865,0,0,0,15.9301,0,0
60,0,18.5943,0,0,18.4719,0,0,0,15.9564,0,0
61,0,18.5695,0,0,18.4578,0,0,0,15.9821,0,0
62,0,19.5456,0,0,19.444,0,0,0,17.0071,0,0
63,0,19.5224,0,0,19.4307,0,0,0,17.0316,0,0
64,0,19.4995,0,0,19.4178,0,0,0,17.0557,0,0
65,0,19.477,0,0,19.4053,0,0,0,17.0796,0,0
66,0,19.4553,0,0,19.3932,0,0,0,17.1028,0,0
67,0,19.4344,0,0,19.3814,0,0,0,17.1254,0,0
68,0,19.4143,0,0,19.37,0,0,0,17.1473,0,0
69,0,19.3949,0,0,19.3589,0,0,0,17.1687,0,0
70,0,19.3763,0,0,19.3482,0,0,0,17.1894,0,0
71,0,19.3583,0,0,19.3378,0,0,0,17.2096,0,0
72,0,19.3409,0,0,19.3278,0,0,0,17.2292,0,0
73,0,19.3242,0,0,19.318,0,0,0,17.2482,0,0
74,0,19.3081,0,0,19.3086,0,0,0,17.2667,0,0
75,0,19.2925,0,0,19.2994,0,0,0,17.2847,0,0
76,0,20.2775,0,0,20.2905,0,0,0,18.3021,0,0
77,0,20.2631,0,0,20.2819,0,0,0,18.3191,0,0
78,0,21.2487,0,0,21.2736,0,0,0,19.3359,0,0
79,0,21.2344,0,0,21.2655,0,0,0,19.3525,0,0
80,0,22.2198,0,0,22.2577,0,0,0,20.3692,0,0
81,0,22.2054,0,0,22.2501,0,0,0,20.3857,0,0
82,0,22.1909,0,0,22.2428,0,0,0,20.4022,0,0
83,0,22.1766,0,0,22.2356,0,0,0,20.4184,0,0
84,0,23.1627,0,0,23.2287,0,0,0,21.4342,0,0
85,0,23.1491,0,0,23.222,0,0,0,21.4497,0,0
86,0,23.1354,0,0,23.2155,0,0,0,21.4652,0,0
87,0,23.1222,0,0,23.2092,0,0,0,21.4803,0,0
88,0,23.1093,0,0,23.2031,0,0,0,21.495,0,0
89,0,23.0968,0,0,23.1972,0,0,0,21.5094,0,0
90,0,23.0847,0,0,23.1914,0,0,0,21.5233,0,0
91,0,24.073,0,0,24.1858,0,0,0,22.5369,0,0
92,0,24.0616,0,0,24.1804,0,0,0,22.5501,0,0
93,0,25.0502,0,0,25.1752,0,0,0,23.5633,0,0
94,0,25.0387,0,0,25.1701,0,0,0,23.5764,0,0
95,0,26.0269,0,0,26.1652,0,0,0,24.5897,0,0
96,0,26.0152,0,0,26.1604,0,0,0,24.6029,0,0
97,0,27.0033,0,0,27.1557,0,0,0,25.6162,0,0
98,0,26.9917,0,0,27.1512,0,0,0,25.6292,0,0
99,0,26.9799,0,0,27.1468,0,0,0,25.6423,0,0
100,0,26.9684,0,0,27.1426,0,0,0,25.6551,0,0
101,0,26.9573,0,0,27.1384,0,0,0,25.6675,0,0
102,0,26.9465,0,0,27.1344,0,0,0,25.6796,0,0
103,0,26.9359,0,0,27.1305,0,0,0,25.6915,0,0
104,0,27.9257,0,0,28.1267,0,0,0,26.703,0,0
105,0,27.9157,0,0,28.1231,0,0,0,26.7143,0,0
106,0,28.9057,0,0,29.1195,0,0,0,27.7255,0,0
107,0,29.8956,0,0,30.1161,0,0,0,28.7368,0,0
108,0,29.8857,0,0,30.1127,0,0,0,28.7478,0,0
109,0,29.8761,0,0,30.1095,0,0,0,28.7585,0,0
110,0,29.8669,0,0,30.1063,0,0,0,28.7689,0,0
111,0,30.858,0,0,31.1032,0,0,0,29.779,0,0
112,0,30.8494,0,0,31.1003,0,0,0,29.7887,0,0
113,0,30.8411,0,0,31.0974,0,0,0,29.7982,0,0
114,0,30.8331,0,0,31.0946,0,0,0,29.8073,0,0
115,0,30.8254,0,0,31.0919,0,0,0,29.8162,0,0
116,0,30.8179,0,0,31.0893,0,0,0,29.8248,0,0
117,0,31.8107,0,0,32.0867,0,0,0,30.8332,0,0
118,0,31.8037,0,0,32.0843,0,0,0,30.8412,0,0
119,0,32.7969,0,0,33.0819,0,0,0,31.8491,0,0
120,0,32.7904,0,0,33.0796,0,0,0,31.8566,0,0
121,0,33.7841,0,0,34.0773,0,0,0,32.864,0,0
122,0,33.778,0,0,34.0751,0,0,0,32.8711,0,0
123,0,34.7722,0,0,35.073,0,0,0,33.878,0,0
124,0,34.7665,0,0,35.071,0,0,0,33.8847,0,0
125,0,34.761,0,0,35.069,0,0,0,33.8912,0,0
126,0,34.7557,0,0,35.0671,0,0,0,33.8975,0,0
127,0,34.7505,0,0,35.0653,0,0,0,33.9035,0,0
128,0,34.7456,0,0,35.0635,0,0,0,33.9094,0,0
129,0,35.7408,0,0,36.0617,0,0,0,34.9151,0,0
130,0,35.7361,0,0,36.0601,0,0,0,34.9207,0,0
131,0,35.7316,0,0,36.0584,0,0,0,34.926,0,0
132,0,35.7273,0,0,36.0568,0,0,0,34.9312,0,0
133,0,35.7231,0,0,36.0553,0,0,0,34.9362,0,0
134,0,35.719,0,0,36.0538,0,0,0,34.9411,0,0
135,0,35.7151,0,0,36.0524,0,0,0,34.9458,0,0
136,0,35.7113,0,0,36.051,0,0,0,34.9504,0,0
137,0,35.7076,0,0,36.0497,0,0,0,34.9548,0,0
138,0,35.704,0,0,36.0484,0,0,0,34.9591,0,0
139,0,35.7006,0,0,36.0471,0,0,0,34.9632,0,0
