step,0,1,2,3,4,5,6,7,8,9,10
0,0,9.56849,0,0,6.56848,0,0,0,4.25589e-07,0,0
1,0,9.33355,0,0,6.53264,0,0,0,0.00210356,0,0
2,0,9.11645,0,0,6.49263,0,0,0,0.00800008,0,0
3,0,8.91522,0,0,6.44933,0,0,0,0.0172832,0,0
4,0,8.72818,0,0,6.40345,0,0,0,0.0295845,0,0
5,0,8.55388,0,0,6.35563,0,0,0,0.0445693,0,0
6,0,8.39109,0,0,6.30639,0,0,0,0.0619332,0,0
7,0,8.23872,0,0,6.25617,0,0,0,0.0813983,0,0
8,0,8.09583,0,0,6.20533,0,0,0,0.102711,0,0
9,0,7.96159,0,0,6.15421,0,0,0,0.12564,0,0
10,0,7.83527,0,0,6.10304,0,0,0,0.149975,0,0
11,0,7.71621,0,0,6.05207,0,0,0,0.175521,0,0
12,0,7.60386,0,0,6.00146,0,0,0,0.202102,0,0
13,0,7.49768,0,0,5.95137,0,0,0,0.229558,0,0
14,0,7.39723,0,0,5.90192,0,0,0,0.257742,0,0
15,0,7.30208,0,0,5.85322,0,0,0,0.28652,0,0
16,0,7.21186,0,0,5.80534,0,0,0,0.315771,0,0
17,0,7.12624,0,0,5.75836,0,0,0,0.345384,0,0
18,0,7.04491,0,0,5.71232,0,0,0,0.375259,0,0
19,0,6.96758,0,0,5.66727,0,0,0,0.405305,0,0
20,0,6.894,0,0,5.62322,0,0,0,0.435439,0,0
21,0,6.82394,0,0,5.58021,0,0,0,0.465588,0,0
22,0,6.75719,0,0,5.53824,0,0,0,0.495684,0,0
23,0,6.69354,0,0,5.49732,0,0,0,0.525667,0,0
24,0,6.63282,0,0,5.45745,0,0,0,0.555485,0,0
25,0,6.57486,0,0,5.41863,0,0,0,0.585087,0,0
26,0,6.5195,0,0,5.38085,0,0,0,0.614432,0,0
27,0,6.46659,0,0,5.3441,0,0,0,0.643481,0,0
28,0,6.41602,0,0,5.30837,0,0,0,0.672201,0,0
29,0,6.36764,0,0,5.27364,0,0,0,0.700562,0,0
30,0,6.32135,0,0,5.23989,0,0,0,0.728538,0,0
31,0,6.27703,0,0,5.20711,0,0,0,0.756107,0,0
