step,0,1,2
0,5.46823,4.53062,0.00115324
1,5.40068,4.51824,0.0810779
2,5.3375,4.50438,0.158115
3,5.27826,4.48934,0.2324
4,5.2226,4.47334,0.304058
5,5.17019,4.45661,0.373201
6,5.12076,4.43931,0.439933
7,5.07405,4.4216,0.504351
8,5.02986,4.4036,0.566544
9,4.98798,4.38542,0.626599
10,4.94825,4.36715,0.684595
11,4.91052,4.34887,0.740609
12,4.87463,4.33065,0.794713
13,4.84048,4.31254,0.846976
14,4.80795,4.29459,0.897465
15,4.77692,4.27683,0.946243
16,4.74732,4.25931,0.99337
17,4.71906,4.24204,1.03891
18,4.69205,4.22505,1.08291
19,4.66623,4.20835,1.12542
20,4.64153,4.19196,1.16651
21,4.61788,4.1759,1.20622
22,4.59524,4.16017,1.24459
23,4.57355,4.14477,1.28168
24,4.55275,4.12971,1.31753
25,4.53282,4.115,1.35218
26,4.51369,4.10063,1.38568
27,4.49534,4.0866,1.41805
28,4.47773,4.07292,1.44935
29,4.46082,4.05957,1.47961
30,4.44457,4.04656,1.50887
31,4.42896,4.03388,1.53715
32,4.41397,4.02154,1.5645
33,4.39955,4.00951,1.59094
34,4.38569,3.9978,1.61651
35,4.37236,3.98641,1.64123
36,4.35954,3.97532,1.66514
37,4.34721,3.96453,1.68826
38,4.33534,3.95403,1.71062
39,4.32392,3.94383,1.73225
40,4.31293,3.93391,1.75317
41,4.30235,3.92426,1.7734
42,4.29215,3.91488,1.79297
43,4.28234,3.90577,1.81189
44,4.27288,3.89692,1.8302
45,4.26377,3.88832,1.84792
46,4.25499,3.87996,1.86505
47,4.24653,3.87184,1.88163
48,4.23838,3.86396,1.89766
49,4.23052,3.8563,1.91318
50,4.22294,3.84886,1.92819
51,4.21564,3.84164,1.94272
52,4.2086,3.83463,1.95677
53,4.20181,3.82782,1.97037
54,4.19527,3.8212,1.98353
55,4.18896,3.81478,1.99627
56,4.18287,3.80854,2.00859
57,4.177,3.80249,2.02051
58,4.17134,3.79661,2.03206
