step,0,1,2
0,0.2275,0.1875,-0.415
1,0.200313,0.158312,-0.358625
2,0.175,0.131,-0.306
3,0.151563,0.105563,-0.257125
4,0.13,0.082,-0.212
5,0.110312,0.0603125,-0.170625
6,0.0925,0.0405,-0.133
7,0.0765625,0.0225625,-0.099125
8,0.0625,0.0065,-0.069
9,0.0503125,-0.0076875,-0.042625
10,0.04,-0.02,-0.02
11,0.0315625,-0.0323125,0.00075
12,0.025,-0.0465,0.0215
13,0.026,-0.0625625,0.0365625
14,0.028,-0.0805,0.0525
15,0.03,-0.100312,0.0703125
16,0.032,-0.122,0.09
17,0.034,-0.145563,0.111563
18,0.036,-0.171,0.135
19,0.038,-0.198313,0.160312
20,0.04,-0.2275,0.1875
21,0.198313,0.160312,-0.358625
22,0.173,0.133,-0.306
23,0.149563,0.107563,-0.257125
24,0.128,0.084,-0.212
25,0.108313,0.0623125,-0.170625
26,0.0905,0.0425,-0.133
27,0.0745625,0.0245625,-0.099125
28,0.0605,0.0085,-0.069
29,0.0483125,-0.0056875,-0.042625
30,0.038,-0.018,-0.02
31,0.0295625,-0.029375,-0.0001875
32,0.023,-0.042625,0.019625
33,0.0231875,-0.05775,0.0345625
34,0.02425,-0.07475,0.0505
35,0.0253125,-0.093625,0.0683125
36,0.026375,-0.114375,0.088
37,0.0274375,-0.137,0.109562
38,0.0285,-0.1615,0.133
39,0.0295625,-0.187875,0.158313
40,0.030625,-0.216125,0.1855
41,0.171,0.135,-0.306
42,0.147563,0.109563,-0.257125
43,0.126,0.086,-0.212
44,0.106313,0.0643125,-0.170625
45,0.0885,0.0445,-0.133
46,0.0725625,0.0265625,-0.099125
47,0.0585,0.0105,-0.069
48,0.0463125,-0.0036875,-0.042625
49,0.036,-0.016,-0.02
50,0.0275625,-0.0264375,-0.001125
51,0.021,-0.03875,0.01775
52,0.020375,-0.0529375,0.0325625
53,0.0205,-0.069,0.0485
54,0.020625,-0.0869375,0.0663125
55,0.02075,-0.10675,0.086
56,0.020875,-0.128437,0.107562
57,0.021,-0.152,0.131
58,0.021125,-0.177437,0.156312
59,0.02125,-0.20475,0.1835
60,0.145563,0.111563,-0.257125
61,0.124,0.088,-0.212
62,0.104313,0.0663125,-0.170625
63,0.0865,0.0465,-0.133
64,0.0705625,0.0285625,-0.099125
65,0.0565,0.0125,-0.069
66,0.0443125,-0.0016875,-0.042625
67,0.034,-0.014,-0.02
68,0.0255625,-0.0235,-0.0020625
69,0.019,-0.034875,0.015875
70,0.0175625,-0.048125,0.0305625
71,0.01675,-0.06325,0.0465
72,0.0159375,-0.08025,0.0643125
73,0.015125,-0.099125,0.084
74,0.0143125,-0.119875,0.105563
75,0.0135,-0.1425,0.129
76,0.0126875,-0.167,0.154313
77,0.011875,-0.193375,0.1815
78,0.122,0.09,-0.212
79,0.102313,0.0683125,-0.170625
80,0.0845,0.0485,-0.133
81,0.0685625,0.0305625,-0.099125
82,0.0545,0.0145,-0.069
83,0.0423125,0.0003125,-0.042625
84,0.032,-0.012,-0.02
85,0.0235625,-0.0205625,-0.003
86,0.017,-0.031,0.014
87,0.01475,-0.0433125,0.0285625
88,0.013,-0.0575,0.0445
89,0.01125,-0.0735625,0.0623125
90,0.0095,-0.0915,0.082
91,0.00775,-0.111313,0.103563
