step,0,1,2
0,15.6068,19.6068,7.60765
1,15.406,19.406,7.65273
2,15.2143,19.2143,7.6976
3,15.0314,19.0314,7.74218
4,14.8566,18.8566,7.78638
5,14.6896,18.6896,7.83015
6,14.5297,18.5297,7.87344
7,14.3768,18.3768,7.91619
8,14.2302,18.2302,7.95839
9,14.0898,18.0898,7.99998
10,13.9552,17.9552,8.04095
11,13.826,17.826,8.08128
12,13.7019,17.7019,8.12094
13,13.5828,17.5828,8.15994
14,13.4683,17.4683,8.19825
15,13.3583,17.3583,8.23587
16,13.2524,17.2524,8.2728
17,13.1506,17.1506,8.30903
18,13.0525,17.0525,8.34456
19,12.9581,16.9581,8.3794
20,12.8671,16.8671,8.41355
21,12.7794,16.7794,8.44701
22,12.6949,16.6949,8.47979
23,12.6133,16.6133,8.51189
24,12.5346,16.5346,8.54333
25,12.4587,16.4587,8.5741
26,12.3853,16.3853,8.60422
27,12.3145,16.3145,8.6337
28,12.246,16.246,8.66254
29,12.1799,16.1799,8.69076
30,12.1159,16.1159,8.71836
31,12.0541,16.0541,8.74536
32,11.9943,15.9943,8.77177
33,11.9364,15.9364,8.79759
34,11.8804,15.8804,8.82284
35,11.8262,15.8262,8.84753
36,11.7737,15.7737,8.87166
37,11.7228,15.7228,8.89525
38,11.6736,15.6736,8.91832
39,11.6258,15.6258,8.94086
40,11.5796,15.5796,8.9629
41,11.5347,15.5347,8.98443
42,11.4913,15.4913,9.00548
43,11.4491,15.4491,9.02605
44,11.4082,15.4082,9.04615
45,11.3685,15.3685,9.06579
46,11.33,15.33,9.08498
47,11.2927,15.2927,9.10374
48,11.2564,15.2564,9.12206
49,11.2212,15.2212,9.13997
50,11.187,15.187,9.15746
51,11.1538,15.1538,9.17455
52,11.1216,15.1216,9.19126
53,11.0903,15.0903,9.20757
54,11.0598,15.0598,9.22351
55,11.0302,15.0302,9.23909
56,11.0015,15.0015,9.2543
57,10.9736,14.9736,9.26917
58,10.9464,14.9464,9.28369
59,10.92,14.92,9.29788
60,10.8943,14.8943,9.31174
61,10.8694,14.8694,9.32528
62,10.8451,14.8451,9.33851
63,10.8215,14.8215,9.35144
64,10.7985,14.7985,9.36406
65,10.7761,14.7761,9.37639
66,10.7544,14.7544,9.38844
67,10.7332,14.7332,9.40022
68,10.7126,14.7126,9.41172
69,10.6925,14.6925,9.42295
70,10.673,14.673,9.43392
71,10.654,14.654,9.44465
72,10.6355,14.6355,9.45512
73,10.6175,14.6175,9.46535
74,10.6,14.6,9.47535
75,10.5829,14.5829,9.48511
76,10.5662,14.5662,9.49465
77,10.55,14.55,9.50397
78,10.5342,14.5342,9.51308
79,10.5189,14.5189,9.52197
80,10.5039,14.5039,9.53066
81,10.4893,14.4893,9.53915
82,10.4751,14.4751,9.54744
83,10.4612,14.4612,9.55555
84,10.4477,14.4477,9.56346
85,10.4345,14.4345,9.57119
86,10.4217,14.4217,9.57875
87,10.4092,14.4092,9.58613
88,10.397,14.397,9.59334
89,10.3851,14.3851,9.60039
90,10.3735,14.3735,9.60727
91,10.3622,14.3622,9.61399
92,10.3512,14.3512,9.62056
93,10.3405,14.3405,9.62698
94,10.33,14.33,9.63325
95,10.3198,14.3198,9.63937
96,10.3098,14.3098,9.64536
97,10.3001,14.3001,9.65121
98,10.2907,14.2907,9.65692
99,10.2814,14.2814,9.6625
100,10.2724,14.2724,9.66795
101,10.2636,14.2636,9.67328
102,10.255,14.255,9.67849
103,10.2467,14.2467,9.68357
104,10.2385,14.2385,9.68854
105,10.2306,14.2306,9.6934
106,10.2228,14.2228,9.69814
107,10.2152,14.2152,9.70277
108,10.2078,14.2078,9.7073
109,10.2006,14.2006,9.71172
110,10.1936,14.1936,9.71605
111,10.1867,14.1867,9.72027
112,10.18,14.18,9.7244
113,10.1735,14.1735,9.72843
114,10.1671,14.1671,9.73237
115,10.1608,14.1608,9.73622
116,10.1548,14.1548,9.73998
117,10.1488,14.1488,9.74365
118,10.143,14.143,9.74724
119,10.1374,14.1374,9.75075
120,10.1319,14.1319,9.75418
121,10.1265,14.1265,9.75752
122,10.1212,14.1212,9.7608
123,10.1161,14.1161,9.76399
124,10.1111,14.1111,9.76712
125,10.1062,14.1062,9.77017
126,10.1014,14.1014,9.77315
127,10.0968,14.0968,9.77607
128,10.0922,14.0922,9.77891
129,10.0878,14.0878,9.7817
130,10.0834,14.0834,9.78442
131,10.0792,14.0792,9.78707
132,10.0751,14.0751,9.78967
133,10.071,14.071,9.7922
134,10.0671,14.0671,9.79468
135,10.0632,14.0632,9.7971
136,10.0595,14.0595,9.79947
137,10.0558,14.0558,9.80178
138,10.0522,14.0522,9.80404
139,10.0487,14.0487,9.80625
140,10.0453,14.0453,9.80841
141,10.042,14.042,9.81051
142,10.0387,14.0387,9.81257
143,10.0355,14.0355,9.81459
144,10.0324,14.0324,9.81655
145,10.0294,14.0294,9.81847
146,10.0264,14.0264,9.82035
147,10.0235,14.0235,9.82219
148,10.0207,14.0207,9.82398
149,10.0179,14.0179,9.82573
150,10.0152,14.0152,9.82744
151,10.0126,14.0126,9.82912
152,10.01,14.01,9.83075
153,10.0075,14.0075,9.83235
154,10.005,14.005,9.83391
155,10.0027,14.0027,9.83543
156,10.0003,14.0003,9.83693
157,9.99802,13.998,9.83838
158,9.99579,13.9958,9.8398
159,9.9936,13.9936,9.8412
160,9.99147,13.9915,9.84255
161,9.98939,13.9894,9.84388
162,9.98736,13.9874,9.84518
163,9.98537,13.9854,9.84645
164,9.98343,13.9834,9.84769
165,9.98153,13.9815,9.8489
166,9.97968,13.9797,9.85008
167,9.97787,13.9779,9.85124
168,9.97611,13.9761,9.85237
169,9.97438,13.9744,9.85347
170,9.97269,13.9727,9.85455
171,9.97105,13.971,9.8556
172,9.96944,13.9694,9.85663
173,9.96786,13.9679,9.85764
174,9.96633,13.9663,9.85862
175,9.96483,13.9648,9.85959
