step,sumCost
0,77.5
1,67.5938
2,58.625
3,50.5938
4,43.5
5,37.3438
6,32.125
7,27.8438
8,24.5
9,22.0938
10,20.625
11,20.0938
12,20.5
13,21.8438
14,24.125
15,27.3438
16,31.5
17,36.5938
18,42.625
19,49.5938
20,57.5
21,67.3438
22,58.375
23,50.3438
24,43.25
25,37.0938
26,31.875
27,27.5938
28,24.25
29,21.8438
30,20.375
31,19.8438
32,20.25
33,21.5938
34,23.875
35,27.0938
36,31.25
37,36.3438
38,42.375
39,49.3438
40,57.25
41,58.125
42,50.0938
43,43
44,36.8438
45,31.625
46,27.3438
47,24
48,21.5938
49,20.125
50,19.5938
51,20
52,21.3438
53,23.625
54,26.8438
55,31
56,36.0938
57,42.125
58,49.0938
59,57
60,49.8438
61,42.75
62,36.5938
63,31.375
64,27.0938
65,23.75
66,21.3438
67,19.875
68,19.3438
69,19.75
70,21.0938
71,23.375
72,26.5938
73,30.75
74,35.8438
75,41.875
76,48.8438
77,56.75
78,42.5
79,36.3438
80,31.125
81,26.8438
82,23.5
83,21.0938
84,19.625
85,19.0938
86,19.5
87,20.8438
88,23.125
89,26.3438
90,30.5
91,35.5938
92,41.625
93,48.5938
94,56.5
95,36.0938
96,30.875
97,26.5938
98,23.25
99,20.8438
100,19.375
101,18.8438
102,19.25
103,20.5938
104,22.875
105,26.0938
106,30.25
107,35.3438
108,41.375
109,48.3438
110,56.25
111,30.625
112,26.3438
113,23
114,20.5938
115,19.125
116,18.5938
117,19
118,20.3438
119,22.625
120,25.8438
121,30
122,35.0938
123,41.125
124,48.0938
125,56
126,26.0938
127,22.75
128,20.3438
129,18.875
130,18.3438
131,18.75
132,20.0938
133,22.375
134,25.5938
135,29.75
136,34.8438
137,40.875
138,47.8438
139,55.75
140,22.5
141,20.0938
142,18.625
143,18.0938
144,18.5
145,19.8438
146,22.125
147,25.3438
148,29.5
149,34.5938
150,40.625
151,47.5938
152,55.5
153,19.8438
154,18.375
155,17.8438
156,18.25
157,19.5938
158,21.875
159,25.0938
160,29.25
161,34.3438
162,40.375
163,47.3438
164,55.25
165,18.125
166,17.5938
167,18
168,19.3438
169,21.625
170,24.8438
171,29
172,34.0938
173,40.125
174,47.0938
175,55
176,17.3438
177,17.75
178,19.0938
179,21.375
180,24.5938
181,28.75
182,33.8438
183,39.875
184,46.8438
185,54.75
186,17.5
187,18.8438
188,21.125
189,24.3438
190,28.5
191,33.5938
192,39.625
193,46.5938
194,54.5
195,18.5938
196,20.875
197,24.0938
198,28.25
199,33.3438
200,39.375
201,46.3438
202,54.25
203,20.625
204,23.8438
205,28
206,33.0938
207,39.125
208,46.0938
209,54
210,23.5938
211,27.75
212,32.8438
213,38.875
214,45.8438
215,53.75
216,27.5
217,32.5938
218,38.625
219,45.5938
220,53.5
221,32.3438
222,38.375
223,45.3438
224,53.25
225,38.125
226,45.0938
227,53
228,44.8438
229,52.75
230,52.5
