step,stayUtil
0,5.50207
1,5.58956
2,5.67432
3,5.75646
4,5.83609
5,5.91331
6,5.98819
7,6.06084
8,6.13133
9,6.19974
10,6.26615
11,6.33064
12,6.39326
13,6.45408
14,6.51317
15,6.57059
16,6.6264
17,6.68064
18,6.73338
19,6.78466
20,6.83453
21,6.88304
22,6.93023
23,6.97614
24,7.02082
25,7.0643
26,7.10663
27,7.14783
28,7.18795
29,7.22701
30,7.26505
31,7.30211
32,7.3382
33,7.37336
34,7.40762
35,7.441
36,7.47353
37,7.50524
38,7.53614
39,7.56627
40,7.59564
41,7.62427
42,7.65219
43,7.67942
44,7.70597
45,7.73187
46,7.75713
47,7.78177
48,7.80581
49,7.82926
50,7.85215
51,7.87448
52,7.89626
53,7.91753
54,7.93828
55,7.95854
56,7.97831
57,7.99761
58,8.01645
59,8.03484
60,8.0528
61,8.07033
62,8.08745
63,8.10417
64,8.12049
65,8.13643
66,8.152
67,8.16721
68,8.18206
69,8.19657
70,8.21074
71,8.22459
72,8.23811
73,8.25132
74,8.26423
75,8.27684
76,8.28916
77,8.3012
78,8.31296
79,8.32446
80,8.33569
81,8.34667
82,8.3574
83,8.36788
84,8.37813
85,8.38814
86,8.39793
87,8.4075
88,8.41685
89,8.42599
90,8.43493
91,8.44366
92,8.4522
93,8.46055
94,8.46871
95,8.47668
96,8.48448
97,8.49211
98,8.49956
99,8.50685
100,8.51398
101,8.52095
102,8.52776
103,8.53443
104,8.54094
105,8.54731
106,8.55354
107,8.55964
108,8.56559
109,8.57142
110,8.57712
111,8.58269
112,8.58814
113,8.59347
114,8.59868
115,8.60378
116,8.60876
117,8.61364
118,8.61841
119,8.62308
120,8.62764
121,8.6321
122,8.63647
123,8.64074
124,8.64491
125,8.649
126,8.653
127,8.6569
128,8.66073
129,8.66447
130,8.66813
131,8.67171
132,8.67521
133,8.67864
134,8.68199
135,8.68527
136,8.68847
137,8.69161
138,8.69468
139,8.69768
140,8.70062
141,8.7035
142,8.70631
143,8.70906
144,8.71175
145,8.71438
146,8.71696
147,8.71948
148,8.72195
149,8.72436
150,8.72672
151,8.72903
152,8.73129
153,8.7335
154,8.73567
155,8.73778
156,8.73985
157,8.74188
158,8.74386
159,8.7458
160,8.7477
161,8.74956
162,8.75138
163,8.75316
164,8.7549
165,8.7566
166,8.75827
167,8.7599
168,8.76149
169,8.76305
170,8.76458
171,8.76608
172,8.76754
173,8.76897
174,8.77037
175,8.77174
176,8.77308
177,8.77439
178,8.77568
179,8.77693
180,8.77816
181,8.77937
182,8.78054
183,8.7817
184,8.78282
185,8.78393
186,8.78501
187,8.78606
188,8.7871
189,8.78811
190,8.7891
191,8.79007
192,8.79102
193,8.79194
194,8.79285
195,8.79374
196,8.79461
197,8.79546
198,8.79629
199,8.79711
200,8.79791
201,8.79869
202,8.79945
203,8.8002
204,8.80093
205,8.80165
206,8.80235
207,8.80303
208,8.8037
209,8.80436
210,8.805
211,8.80563
212,8.80625
213,8.80685
214,8.80744
215,8.80801
216,8.80858
217,8.80913
218,8.80967
219,8.8102
220,8.81072
221,8.81122
222,8.81172
223,8.8122
224,8.81268
225,8.81314
226,8.8136
227,8.81404
228,8.81448
229,8.81491
230,8.81532
231,8.81573
232,8.81613
233,8.81652
234,8.8169
235,8.81728
236,8.81764
237,8.818
238,8.81835
239,8.8187
240,8.81903
241,8.81936
242,8.81968
243,8.82
244,8.82031
245,8.82061
246,8.8209
247,8.82119
248,8.82148
249,8.82175
250,8.82202
251,8.82229
252,8.82255
253,8.8228
254,8.82305
255,8.82329
256,8.82353
257,8.82376
258,8.82399
259,8.82421
260,8.82443
261,8.82464
262,8.82485
263,8.82506
264,8.82526
265,8.82545
266,8.82565
267,8.82583
268,8.82602
269,8.8262
270,8.82637
271,8.82654
272,8.82671
273,8.82688
274,8.82704
275,8.8272
276,8.82735
277,8.8275
278,8.82765
279,8.82779
280,8.82793
281,8.82807
282,8.82821
283,8.82834
284,8.82847
285,8.8286
286,8.82872
287,8.82884
288,8.82896
289,8.82908
290,8.82919
291,8.8293
292,8.82941
293,8.82952
294,8.82962
295,8.82973
296,8.82983
297,8.82992
298,8.83002
299,8.83011
300,8.83021
301,8.83029
302,8.83038
303,8.83047
304,8.83055
305,8.83063
306,8.83072
307,8.83079
308,8.83087
309,8.83095
310,8.83102
311,8.83109
312,8.83116
313,8.83123
314,8.8313
315,8.83137
316,8.83143
317,8.83149
318,8.83156
319,8.83162
320,8.83167
321,8.83173
322,8.83179
323,8.83185
324,8.8319
325,8.83195
326,8.832
327,8.83206
328,8.83211
329,8.83215
330,8.8322
331,8.83225
332,8.83229
333,8.83234
334,8.83238
335,8.83242
336,8.83247
337,8.83251
338,8.83255
339,8.83259
340,8.83262
341,8.83266
342,8.8327
343,8.83273
344,8.83277
345,8.8328
346,8.83284
347,8.83287
348,8.8329
349,8.83293
350,8.83296
351,8.83299
352,8.83302
353,8.83305
354,8.83308
355,8.83311
356,8.83313
357,8.83316
358,8.83318
359,8.83321
360,8.83323
361,8.83326
362,8.83328
363,8.8333
364,8.83333
365,8.83335
366,8.83337
367,8.83339
368,8.83341
369,8.83343
370,8.83345
371,8.83347
372,8.83349
373,8.83351
374,8.83352
375,8.83354
376,8.83356
377,8.83358
378,8.83359
379,8.83361
380,8.83362
381,8.83364
382,8.83365
383,8.83367
384,8.83368
385,8.8337
386,8.83371
387,8.83372
388,8.83374
389,8.83375
390,8.83376
391,8.83377
392,8.83379
393,8.8338
394,8.83381
395,8.83382
396,8.83383
397,8.83384
398,8.83385
399,8.83386
400,8.83387
401,8.83388
402,8.83389
403,8.8339
404,8.83391
405,8.83392
406,8.83392
407,8.83393
408,8.83394
409,8.83395
410,8.83396
411,8.83396
412,8.83397
413,8.83398
414,8.83399
415,8.83399
416,8.834
417,8.83401
418,8.83401
419,8.83402
420,8.83402
421,8.83403
422,8.83404
423,8.83404
424,8.83405
425,8.83405
426,8.83406
427,8.83406
428,8.83407
429,8.83407
430,8.83408
431,8.83408
432,8.83409
433,8.83409
434,8.83409
435,8.8341
436,8.8341
437,8.83411
438,8.83411
439,8.83411
440,8.83412
441,8.83412
442,8.83412
443,8.83413
444,8.83413
445,8.83413
446,8.83414
447,8.83414
448,8.83414
449,8.83415
450,8.83415
451,8.83415
452,8.83415
453,8.83416
454,8.83416
455,8.83416
456,8.83416
457,8.83417
458,8.83417
459,8.83417
460,8.83417
461,8.83417
462,8.83418
463,8.83418
464,8.83418
465,8.83418
466,8.83418
467,8.83418
468,8.83419
469,8.83419
470,8.83419
471,8.83419
472,8.83419
473,8.83419
474,8.83419
475,8.83419
476,8.8342
477,8.8342
478,8.8342
479,8.8342
480,8.8342
481,8.8342
482,8.8342
483,8.8342
484,8.8342
485,8.8342
486,8.83421
487,8.83421
488,8.83421
489,8.83421
490,8.83421
491,8.83421
492,8.83421
493,8.83421
494,8.83421
495,8.83421
496,8.83421
