step,0,1,2
0,0,10,0
1,0.005,9.8275,0.1675
2,0.00983564,9.66415,0.326016
3,0.0145199,9.50926,0.476223
4,0.0190645,9.3622,0.618731
5,0.0234801,9.22243,0.754091
6,0.0277761,9.08942,0.882802
7,0.0319614,8.96272,1.00532
8,0.0360439,8.8419,1.12205
9,0.0400308,8.72658,1.23339
10,0.0439287,8.61641,1.33966
11,0.0477438,8.51106,1.44119
12,0.0514815,8.41025,1.53827
13,0.055147,8.31368,1.63117
14,0.0587451,8.22113,1.72013
15,0.06228,8.13234,1.80538
16,0.0657557,8.04712,1.88713
17,0.0691761,7.96525,1.96557
18,0.0725445,7.88656,2.04089
19,0.0758641,7.81088,2.11326
20,0.079138,7.73804,2.18282
21,0.0823688,7.6679,2.24973
22,0.0855592,7.60032,2.31412
23,0.0887115,7.53517,2.37612
24,0.0918279,7.47233,2.43584
25,0.0949107,7.41169,2.4934
26,0.0979617,7.35313,2.5489
27,0.100983,7.29658,2.60244
28,0.103976,7.24192,2.6541
29,0.106942,7.18907,2.70398
30,0.109883,7.13796,2.75216
31,0.1128,7.0885,2.7987
32,0.115695,7.04062,2.84369
33,0.118569,6.99425,2.88719
34,0.121424,6.94932,2.92926
35,0.124259,6.90578,2.96996
36,0.127076,6.86357,3.00935
37,0.129877,6.82263,3.04749
38,0.132662,6.78291,3.08443
39,0.135433,6.74436,3.12021
40,0.138189,6.70693,3.15488
41,0.140931,6.67059,3.18848
42,0.143662,6.63528,3.22106
43,0.14638,6.60097,3.25265
44,0.149087,6.56761,3.2833
45,0.151784,6.53519,3.31303
46,0.154471,6.50365,3.34188
47,0.157148,6.47296,3.36989
48,0.159817,6.4431,3.39708
49,0.162478,6.41404,3.42348
50,0.16513,6.38574,3.44913
51,0.167776,6.35818,3.47404
52,0.170414,6.33133,3.49825
53,0.173046,6.30518,3.52178
54,0.175672,6.27968,3.54465
55,0.178292,6.25483,3.56688
56,0.180907,6.2306,3.5885
57,0.183517,6.20696,3.60952
58,0.186123,6.18391,3.62997
59,0.188724,6.16141,3.64986
60,0.191321,6.13946,3.66922
61,0.193914,6.11803,3.68805
62,0.196504,6.09711,3.70639
63,0.19909,6.07668,3.72423
64,0.201674,6.05672,3.7416
65,0.204255,6.03722,3.75852
66,0.206833,6.01817,3.77499
67,0.209409,5.99956,3.79104
68,0.211983,5.98135,3.80666
69,0.214555,5.96356,3.82188
70,0.217125,5.94616,3.83672
71,0.219694,5.92914,3.85117
72,0.222261,5.91249,3.86525
73,0.224827,5.8962,3.87897
74,0.227392,5.88026,3.89235
75,0.229957,5.86465,3.90539
76,0.23252,5.84938,3.9181
77,0.235082,5.83442,3.9305
78,0.237645,5.81977,3.94259
79,0.240206,5.80542,3.95437
80,0.242768,5.79137,3.96587
81,0.245329,5.7776,3.97708
82,0.24789,5.7641,3.98801
83,0.250451,5.75087,3.99868
84,0.253012,5.7379,4.00909
85,0.255573,5.72519,4.01924
86,0.258135,5.71272,4.02915
87,0.260697,5.70049,4.03881
88,0.263259,5.68849,4.04825
89,0.265822,5.67672,4.05745
90,0.268385,5.66517,4.06644
91,0.270949,5.65384,4.07521
92,0.273514,5.64271,4.08377
93,0.276079,5.63179,4.09213
94,0.278645,5.62106,4.10029
95,0.281212,5.61053,4.10826
96,0.28378,5.60018,4.11604
97,0.286349,5.59002,4.12363
98,0.288919,5.58003,4.13105
99,0.29149,5.57022,4.13829
100,0.294062,5.56058,4.14536
101,0.296635,5.5511,4.15227
102,0.299209,5.54178,4.15901
103,0.301784,5.53261,4.1656
104,0.304361,5.5236,4.17204
105,0.306938,5.51474,4.17833
106,0.309517,5.50601,4.18447
107,0.312098,5.49744,4.19047
108,0.314679,5.48899,4.19633
109,0.317262,5.48068,4.20205
110,0.319846,5.4725,4.20765
111,0.322432,5.46445,4.21312
