step,0,1,2,3,4,5,6,7
0,10,6.19991,3.80009,6.19988,3.80009,3.80661e-05,6.19988,3.80012
1,10,6.18132,3.81868,6.18128,3.81868,3.77996e-05,6.18128,3.81872
2,10,6.16321,3.83679,6.16317,3.83679,3.75377e-05,6.16317,3.83683
3,10,6.14557,3.85443,6.14553,3.85443,3.72801e-05,6.14553,3.85447
4,10,6.12838,3.87162,6.12835,3.87162,3.70267e-05,6.12835,3.87165
5,10,6.11165,3.88835,6.11161,3.88835,3.67775e-05,6.11161,3.88839
6,10,6.09534,3.90466,6.0953,3.90466,3.65322e-05,6.0953,3.9047
7,10,6.07944,3.92056,6.07941,3.92056,3.62908e-05,6.07941,3.92059
8,10,6.06395,3.93605,6.06392,3.93605,3.60532e-05,6.06392,3.93608
9,10,6.04885,3.95115,6.04882,3.95115,3.58192e-05,6.04882,3.95118
10,10,6.03414,3.96586,6.0341,3.96586,3.55888e-05,6.0341,3.9659
11,10,6.01979,3.98021,6.01975,3.98021,3.53618e-05,6.01975,3.98025
12,10,6.00579,3.99421,6.00576,3.99421,3.51382e-05,6.00576,3.99424
13,10,5.99215,4.00785,5.99212,4.00785,3.49178e-05,5.99212,4.00788
14,10,5.97884,4.02116,5.97881,4.02116,3.47006e-05,5.97881,4.02119
15,10,5.96587,4.03413,5.96583,4.03413,3.44865e-05,5.96583,4.03417
16,10,5.95321,4.04679,5.95317,4.04679,3.42753e-05,5.95317,4.04683
17,10,5.94086,4.05914,5.94082,4.05914,3.40671e-05,5.94082,4.05918
18,10,5.92881,4.07119,5.92877,4.07119,3.38618e-05,5.92877,4.07123
19,10,5.91705,4.08295,5.91702,4.08295,3.36592e-05,5.91702,4.08298
20,10,5.90558,4.09442,5.90554,4.09442,3.34593e-05,5.90554,4.09446
21,10,5.89438,4.10562,5.89435,4.10562,3.3262e-05,5.89435,4.10565
22,10,5.88345,4.11655,5.88342,4.11655,3.30673e-05,5.88342,4.11658
23,10,5.87279,4.12721,5.87275,4.12721,3.28751e-05,5.87275,4.12725
24,10,5.86237,4.13763,5.86234,4.13763,3.26853e-05,5.86234,4.13766
25,10,5.85221,4.14779,5.85218,4.14779,3.24979e-05,5.85218,4.14782
26,10,5.84229,4.15771,5.84225,4.15771,3.23128e-05,5.84225,4.15775
27,10,5.8326,4.1674,5.83256,4.1674,3.21299e-05,5.83256,4.16744
28,10,5.82313,4.17687,5.8231,4.17687,3.19493e-05,5.8231,4.1769
29,10,5.81389,4.18611,5.81386,4.18611,3.17708e-05,5.81386,4.18614
30,10,5.80487,4.19513,5.80484,4.19513,3.15944e-05,5.80484,4.19516
31,10,5.79606,4.20394,5.79603,4.20394,3.14201e-05,5.79603,4.20397
32,10,5.78745,4.21255,5.78742,4.21255,3.12477e-05,5.78742,4.21258
33,10,5.77904,4.22096,5.77901,4.22096,3.10773e-05,5.77901,4.22099
34,10,5.77082,4.22918,5.77079,4.22918,3.09088e-05,5.77079,4.22921
35,10,5.7628,4.2372,5.76277,4.2372,3.07422e-05,5.76277,4.23723
36,10,5.75496,4.24504,5.75493,4.24504,3.05774e-05,5.75493,4.24507
37,10,5.7473,4.2527,5.74727,4.2527,3.04144e-05,5.74727,4.25273
38,10,5.73981,4.26019,5.73978,4.26019,3.02531e-05,5.73978,4.26022
39,10,5.7325,4.2675,5.73247,4.2675,3.00936e-05,5.73247,4.26753
40,10,5.72535,4.27465,5.72532,4.27465,2.99357e-05,5.72532,4.27468
41,10,5.71837,4.28163,5.71834,4.28163,2.97794e-05,5.71834,4.28166
42,10,5.71154,4.28846,5.71151,4.28846,2.96247e-05,5.71151,4.28849
43,10,5.70487,4.29513,5.70484,4.29513,2.94716e-05,5.70484,4.29516
44,10,5.69834,4.30166,5.69832,4.30166,2.93201e-05,5.69832,4.30168
45,10,5.69197,4.30803,5.69194,4.30803,2.917e-05,5.69194,4.30806
46,10,5.68574,4.31426,5.68571,4.31426,2.90214e-05,5.68571,4.31429
47,10,5.67964,4.32036,5.67962,4.32036,2.88742e-05,5.67962,4.32038
48,10,5.67369,4.32631,5.67366,4.32631,2.87284e-05,5.67366,4.32634
49,10,5.66787,4.33213,5.66784,4.33213,2.8584e-05,5.66784,4.33216
50,10,5.66217,4.33783,5.66214,4.33783,2.8441e-05,5.66214,4.33786
51,10,5.65661,4.34339,5.65658,4.34339,2.82992e-05,5.65658,4.34342
52,10,5.65116,4.34884,5.65113,4.34884,2.81588e-05,5.65113,4.34887
53,10,5.64584,4.35416,5.64581,4.35416,2.80196e-05,5.64581,4.35419
54,10,5.64063,4.35937,5.64061,4.35937,2.78817e-05,5.64061,4.35939
55,10,5.63554,4.36446,5.63552,4.36446,2.7745e-05,5.63552,4.36448
56,10,5.63057,4.36943,5.63054,4.36943,2.76096e-05,5.63054,4.36946
57,10,5.6257,4.3743,5.62567,4.3743,2.74752e-05,5.62567,4.37433
58,10,5.62094,4.37906,5.62091,4.37906,2.73421e-05,5.62091,4.37909
59,10,5.61628,4.38372,5.61625,4.38372,2.72101e-05,5.61625,4.38375
60,10,5.61172,4.38828,5.6117,4.38828,2.70792e-05,5.6117,4.3883
61,10,5.60727,4.39273,5.60724,4.39273,2.69493e-05,5.60724,4.39276
62,10,5.60291,4.39709,5.60288,4.39709,2.68206e-05,5.60288,4.39712
63,10,5.59865,4.40135,5.59862,4.40135,2.66929e-05,5.59862,4.40138
64,10,5.59448,4.40552,5.59445,4.40552,2.65663e-05,5.59445,4.40555
65,10,5.5904,4.4096,5.59037,4.4096,2.64406e-05,5.59037,4.40963
66,10,5.5864,4.4136,5.58638,4.4136,2.6316e-05,5.58638,4.41362
67,10,5.5825,4.4175,5.58247,4.4175,2.61923e-05,5.58247,4.41753
68,10,5.57868,4.42132,5.57865,4.42132,2.60696e-05,5.57865,4.42135
69,10,5.57494,4.42506,5.57492,4.42506,2.59479e-05,5.57492,4.42508
70,10,5.57128,4.42872,5.57126,4.42872,2.58271e-05,5.57126,4.42874
71,10,5.56771,4.43229,5.56768,4.43229,2.57072e-05,5.56768,4.43232
72,10,5.5642,4.4358,5.56418,4.4358,2.55882e-05,5.56418,4.43582
73,10,5.56078,4.43922,5.56075,4.43922,2.54701e-05,5.56075,4.43925
74,10,5.55742,4.44258,5.5574,4.44258,2.53528e-05,5.5574,4.4426
75,10,5.55414,4.44586,5.55412,4.44586,2.52364e-05,5.55412,4.44588
76,10,5.55093,4.44907,5.55091,4.44907,2.51209e-05,5.55091,4.44909
77,10,5.54779,4.45221,5.54777,4.45221,2.50062e-05,5.54777,4.45223
78,10,5.54472,4.45528,5.54469,4.45528,2.48923e-05,5.54469,4.45531
79,10,5.54171,4.45829,5.54168,4.45829,2.47792e-05,5.54168,4.45832
80,10,5.53876,4.46124,5.53874,4.46124,2.4667e-05,5.53874,4.46126
81,10,5.53588,4.46412,5.53586,4.46412,2.45555e-05,5.53586,4.46414
82,10,5.53306,4.46694,5.53304,4.46694,2.44447e-05,5.53304,4.46696
83,10,5.5303,4.4697,5.53027,4.4697,2.43347e-05,5.53027,4.46973
84,10,5.5276,4.4724,5.52757,4.4724,2.42255e-05,5.52757,4.47243
85,10,5.52495,4.47505,5.52493,4.47505,2.4117e-05,5.52493,4.47507
86,10,5.52236,4.47764,5.52234,4.47764,2.40093e-05,5.52234,4.47766
87,10,5.51983,4.48017,5.5198,4.48017,2.39022e-05,5.5198,4.4802
88,10,5.51735,4.48265,5.51732,4.48265,2.37959e-05,5.51732,4.48268
89,10,5.51492,4.48508,5.5149,4.48508,2.36902e-05,5.5149,4.4851
90,10,5.51254,4.48746,5.51252,4.48746,2.35852e-05,5.51252,4.48748
91,10,5.51022,4.48978,5.51019,4.48978,2.34809e-05,5.51019,4.48981
92,10,5.50794,4.49206,5.50792,4.49206,2.33773e-05,5.50792,4.49208
93,10,5.50571,4.49429,5.50569,4.49429,2.32743e-05,5.50569,4.49431
94,10,5.50353,4.49647,5.5035,4.49647,2.3172e-05,5.5035,4.4965
95,10,5.50139,4.49861,5.50137,4.49861,2.30703e-05,5.50137,4.49863
96,10,5.4993,4.5007,5.49928,4.5007,2.29693e-05,5.49928,4.50072
97,10,5.49725,4.50275,5.49723,4.50275,2.28688e-05,5.49723,4.50277
98,10,5.49525,4.50475,5.49522,4.50475,2.2769e-05,5.49522,4.50478
99,10,5.49328,4.50672,5.49326,4.50672,2.26698e-05,5.49326,4.50674
