step,0,1,2,3
0,1.90254,-2.5,5.40254,1.80508
1,1.9114,-2.5,5.4114,1.82279
2,1.92006,-2.5,5.42006,1.84012
3,1.92854,-2.5,5.42854,1.85708
4,1.93684,-2.5,5.43684,1.87368
5,1.94496,-2.5,5.44496,1.88991
6,1.9529,-2.5,5.4529,1.9058
7,1.96067,-2.5,5.46067,1.92135
8,1.96828,-2.5,5.46828,1.93656
9,1.97572,-2.5,5.47572,1.95145
10,1.98301,-2.5,5.48301,1.96601
11,1.99013,-2.5,5.49013,1.98026
12,1.9971,-2.5,5.4971,1.99421
13,2.00393,-2.5,5.50393,2.00786
14,2.01061,-2.5,5.51061,2.02121
15,2.01714,-2.5,5.51714,2.03428
16,2.02353,-2.5,5.52353,2.04707
17,2.02979,-2.5,5.52979,2.05958
18,2.03591,-2.5,5.53591,2.07183
19,2.0419,-2.5,5.5419,2.08381
20,2.04777,-2.5,5.54777,2.09554
21,2.05351,-2.5,5.55351,2.10701
22,2.05912,-2.5,5.55912,2.11824
23,2.06462,-2.5,5.56462,2.12924
24,2.07,-2.5,5.57,2.13999
25,2.07526,-2.5,5.57526,2.15052
26,2.08041,-2.5,5.58041,2.16082
27,2.08545,-2.5,5.58545,2.17091
28,2.09039,-2.5,5.59039,2.18078
29,2.09522,-2.5,5.59522,2.19044
30,2.09994,-2.5,5.59994,2.19989
31,2.10457,-2.5,5.60457,2.20914
32,2.1091,-2.5,5.6091,2.2182
33,2.11353,-2.5,5.61353,2.22706
34,2.11787,-2.5,5.61787,2.23574
35,2.12212,-2.5,5.62212,2.24423
36,2.12627,-2.5,5.62627,2.25255
37,2.13034,-2.5,5.63034,2.26068
38,2.13432,-2.5,5.63432,2.26865
39,2.13822,-2.5,5.63822,2.27644
40,2.14204,-2.5,5.64204,2.28408
41,2.14577,-2.5,5.64577,2.29155
42,2.14943,-2.5,5.64943,2.29886
43,2.15301,-2.5,5.65301,2.30602
44,2.15651,-2.5,5.65651,2.31303
45,2.15995,-2.5,5.65995,2.31989
46,2.1633,-2.5,5.6633,2.32661
47,2.16659,-2.5,5.66659,2.33318
48,2.16981,-2.5,5.66981,2.33962
49,2.17296,-2.5,5.67296,2.34592
50,2.17605,-2.5,5.67605,2.35209
51,2.17907,-2.5,5.67907,2.35813
52,2.18202,-2.5,5.68202,2.36405
53,2.18492,-2.5,5.68492,2.36984
54,2.18775,-2.5,5.68775,2.37551
55,2.19053,-2.5,5.69053,2.38106
56,2.19325,-2.5,5.69325,2.38649
57,2.19591,-2.5,5.69591,2.39181
58,2.19851,-2.5,5.69851,2.39702
59,2.20106,-2.5,5.70106,2.40213
60,2.20356,-2.5,5.70356,2.40712
61,2.20601,-2.5,5.70601,2.41201
62,2.2084,-2.5,5.7084,2.4168
63,2.21074,-2.5,5.71074,2.42149
64,2.21304,-2.5,5.71304,2.42608
65,2.21529,-2.5,5.71529,2.43058
66,2.21749,-2.5,5.71749,2.43498
67,2.21964,-2.5,5.71964,2.43929
68,2.22175,-2.5,5.72175,2.44351
