step,0,1,2
0,0,0,10
1,0,0.5,9.5
2,0,1,9
3,0,1.5,8.5
4,0,2,8
5,0,2.5,7.5
6,0,3,7
7,0,3.5,6.5
8,0,4,6
9,0,4.5,5.5
10,0,5,5
11,0,5.5,4.5
12,0,6,4
13,0,6.5,3.5
14,0,7,3
15,0,7.5,2.5
16,0,8,2
17,0,8.5,1.5
18,0,9,1
19,0,9.5,0.5
20,0,10,0
21,0.5,0,9.5
22,0.5,0.5,9
23,0.5,1,8.5
24,0.5,1.5,8
25,0.5,2,7.5
26,0.5,2.5,7
27,0.5,3,6.5
28,0.5,3.5,6
29,0.5,4,5.5
30,0.5,4.5,5
31,0.5,5,4.5
32,0.5,5.5,4
33,0.5,6,3.5
34,0.5,6.5,3
35,0.5,7,2.5
36,0.5,7.5,2
37,0.5,8,1.5
38,0.5,8.5,1
39,0.5,9,0.5
40,0.5,9.5,0
41,1,0,9
42,1,0.5,8.5
43,1,1,8
44,1,1.5,7.5
45,1,2,7
46,1,2.5,6.5
47,1,3,6
48,1,3.5,5.5
49,1,4,5
50,1,4.5,4.5
51,1,5,4
52,1,5.5,3.5
53,1,6,3
54,1,6.5,2.5
55,1,7,2
56,1,7.5,1.5
57,1,8,1
58,1,8.5,0.5
59,1,9,0
60,1.5,0,8.5
61,1.5,0.5,8
62,1.5,1,7.5
63,1.5,1.5,7
64,1.5,2,6.5
65,1.5,2.5,6
66,1.5,3,5.5
67,1.5,3.5,5
68,1.5,4,4.5
69,1.5,4.5,4
70,1.5,5,3.5
71,1.5,5.5,3
72,1.5,6,2.5
73,1.5,6.5,2
74,1.5,7,1.5
75,1.5,7.5,1
76,1.5,8,0.5
77,1.5,8.5,0
78,2,0,8
79,2,0.5,7.5
80,2,1,7
81,2,1.5,6.5
82,2,2,6
83,2,2.5,5.5
84,2,3,5
85,2,3.5,4.5
86,2,4,4
87,2,4.5,3.5
88,2,5,3
89,2,5.5,2.5
90,2,6,2
91,2,6.5,1.5
92,2,7,1
93,2,7.5,0.5
94,2,8,0
95,2.5,0,7.5
96,2.5,0.5,7
97,2.5,1,6.5
98,2.5,1.5,6
99,2.5,2,5.5
100,2.5,2.5,5
101,2.5,3,4.5
102,2.5,3.5,4
103,2.5,4,3.5
104,2.5,4.5,3
105,2.5,5,2.5
106,2.5,5.5,2
107,2.5,6,1.5
108,2.5,6.5,1
109,2.5,7,0.5
110,2.5,7.5,0
111,3,0,7
112,3,0.5,6.5
113,3,1,6
114,3,1.5,5.5
115,3,2,5
116,3,2.5,4.5
117,3,3,4
118,3,3.5,3.5
119,3,4,3
120,3,4.5,2.5
121,3,5,2
122,3,5.5,1.5
123,3,6,1
124,3,6.5,0.5
125,3,7,0
126,3.5,0,6.5
127,3.5,0.5,6
128,3.5,1,5.5
129,3.5,1.5,5
130,3.5,2,4.5
131,3.5,2.5,4
132,3.5,3,3.5
133,3.5,3.5,3
134,3.5,4,2.5
135,3.5,4.5,2
136,3.5,5,1.5
137,3.5,5.5,1
138,3.5,6,0.5
139,3.5,6.5,0
140,4,0,6
141,4,0.5,5.5
142,4,1,5
143,4,1.5,4.5
144,4,2,4
145,4,2.5,3.5
146,4,3,3
147,4,3.5,2.5
148,4,4,2
149,4,4.5,1.5
150,4,5,1
151,4,5.5,0.5
152,4,6,0
153,4.5,0,5.5
154,4.5,0.5,5
155,4.5,1,4.5
156,4.5,1.5,4
157,4.5,2,3.5
158,4.5,2.5,3
159,4.5,3,2.5
160,4.5,3.5,2
161,4.5,4,1.5
162,4.5,4.5,1
163,4.5,5,0.5
164,4.5,5.5,0
165,5,0,5
166,5,0.5,4.5
167,5,1,4
168,5,1.5,3.5
169,5,2,3
170,5,2.5,2.5
171,5,3,2
172,5,3.5,1.5
173,5,4,1
174,5,4.5,0.5
175,5,5,0
176,5.5,0,4.5
177,5.5,0.5,4
178,5.5,1,3.5
179,5.5,1.5,3
180,5.5,2,2.5
181,5.5,2.5,2
182,5.5,3,1.5
183,5.5,3.5,1
184,5.5,4,0.5
185,5.5,4.5,0
186,6,0,4
187,6,0.5,3.5
188,6,1,3
189,6,1.5,2.5
190,6,2,2
191,6,2.5,1.5
192,6,3,1
193,6,3.5,0.5
194,6,4,0
195,6.5,0,3.5
196,6.5,0.5,3
197,6.5,1,2.5
198,6.5,1.5,2
199,6.5,2,1.5
200,6.5,2.5,1
201,6.5,3,0.5
202,6.5,3.5,0
203,7,0,3
204,7,0.5,2.5
205,7,1,2
206,7,1.5,1.5
207,7,2,1
208,7,2.5,0.5
209,7,3,0
210,7.5,0,2.5
211,7.5,0.5,2
212,7.5,1,1.5
213,7.5,1.5,1
214,7.5,2,0.5
215,7.5,2.5,0
216,8,0,2
217,8,0.5,1.5
218,8,1,1
219,8,1.5,0.5
220,8,2,0
221,8.5,0,1.5
222,8.5,0.5,1
223,8.5,1,0.5
224,8.5,1.5,0
225,9,0,1
226,9,0.5,0.5
227,9,1,0
228,9.5,0,0.5
229,9.5,0.5,0
230,10,0,0
