step,0,1,2
0,0.2125,0.209333,-0.421833
1,0.184221,0.180895,-0.365116
2,0.157817,0.154333,-0.31215
3,0.133288,0.129645,-0.262933
4,0.110633,0.106833,-0.217466
5,0.0898543,0.0858953,-0.17575
6,0.0709502,0.0668328,-0.137783
7,0.053921,0.0496453,-0.103566
8,0.0387669,0.0343328,-0.0730997
9,0.0254877,0.0208953,-0.046383
10,0.0140836,0.00933282,-0.0234164
11,0.00455445,-0.000354684,-0.00419977
12,0.00190031,-0.0113006,0.00940031
13,0.00205867,-0.0244298,0.0223712
14,0.00221703,-0.0394341,0.037217
15,0.00237539,-0.0563133,0.0539379
16,0.00253375,-0.0750675,0.0725337
17,0.00269211,-0.0956967,0.0930046
18,0.00285047,-0.118201,0.11535
19,0.00300883,-0.14258,0.139571
20,0.00316718,-0.168834,0.165667
21,0.184062,0.181054,-0.365116
22,0.157658,0.154491,-0.31215
23,0.133129,0.129804,-0.262933
24,0.110475,0.106991,-0.217466
25,0.0896959,0.0860537,-0.17575
26,0.0707918,0.0669912,-0.137783
27,0.0537627,0.0498037,-0.103566
28,0.0386085,0.0344912,-0.0730997
29,0.0253294,0.0210537,-0.046383
30,0.0139252,0.00949117,-0.0234164
31,0.00439609,-0.000196325,-0.00419977
32,0.00111695,-0.0103589,0.00924195
33,0.000337811,-0.0225506,0.0222128
34,-0.00044133,-0.0366173,0.0370587
35,-0.00122047,-0.0525591,0.0537795
36,-0.00199961,-0.0703758,0.0723754
37,-0.00277875,-0.0900675,0.0928462
38,-0.00355789,-0.111634,0.115192
39,-0.00433703,-0.135076,0.139413
40,-0.00511617,-0.160393,0.165509
41,0.1575,0.15465,-0.31215
42,0.132971,0.129962,-0.262933
43,0.110317,0.10715,-0.217466
44,0.0895376,0.086212,-0.17575
45,0.0706334,0.0671495,-0.137783
46,0.0536043,0.049962,-0.103566
47,0.0384502,0.0346495,-0.0730997
48,0.025171,0.021212,-0.046383
49,0.0137669,0.00964953,-0.0234164
50,0.00423773,-3.79658e-05,-0.00419977
51,0.000333592,-0.00941718,0.00908359
52,-0.00138305,-0.0206714,0.0220545
53,-0.00309969,-0.0338006,0.0369003
54,-0.00481633,-0.0488048,0.0536212
55,-0.00653297,-0.0656841,0.072217
56,-0.00824961,-0.0844383,0.0926879
57,-0.00996625,-0.105067,0.115034
58,-0.0116829,-0.127572,0.139255
59,-0.0133995,-0.151951,0.16535
60,0.132812,0.13012,-0.262933
61,0.110158,0.107308,-0.217466
62,0.0893792,0.0863704,-0.17575
63,0.0704751,0.0673079,-0.137783
64,0.0534459,0.0501204,-0.103566
65,0.0382918,0.0348079,-0.0730997
66,0.0250127,0.0213704,-0.046383
67,0.0136085,0.00980789,-0.0234164
68,0.00407937,0.000120393,-0.00419977
69,-0.000449767,-0.00847547,0.00892523
70,-0.00310391,-0.0187922,0.0218961
71,-0.00575805,-0.0309839,0.036742
72,-0.00841219,-0.0450506,0.0534628
73,-0.0110663,-0.0609923,0.0720587
74,-0.0137205,-0.0788091,0.0925295
75,-0.0163746,-0.0985008,0.114875
76,-0.0190288,-0.120067,0.139096
77,-0.0216829,-0.143509,0.165192
78,0.11,0.107466,-0.217466
79,0.0892209,0.0865288,-0.17575
80,0.0703167,0.0674663,-0.137783
81,0.0532876,0.0502788,-0.103566
82,0.0381334,0.0349663,-0.0730997
83,0.0248543,0.0215288,-0.046383
84,0.0134502,0.00996625,-0.0234164
85,0.00392101,0.000278753,-0.00419977
86,-0.00123313,-0.00753375,0.00876687
87,-0.00482477,-0.016913,0.0217377
88,-0.00841641,-0.0281672,0.0365836
89,-0.012008,-0.0412964,0.0533045
90,-0.0155997,-0.0563006,0.0719003
91,-0.0191913,-0.0731798,0.0923712
92,-0.022783,-0.0919341,0.114717
93,-0.0263746,-0.112563,0.138938
94,-0.0299663,-0.135067,0.165034
95,0.0890625,0.0866871,-0.17575
96,0.0701584,0.0676246,-0.137783
97,0.0531292,0.0504371,-0.103566
98,0.0379751,0.0351246,-0.0730997
99,0.0246959,0.0216871,-0.046383
100,0.0132918,0.0101246,-0.0234164
101,0.00376266,0.000437112,-0.00419977
102,-0.00201649,-0.00659203,0.00860851
103,-0.00654563,-0.0150337,0.0215794
104,-0.0110748,-0.0253505,0.0364252
105,-0.0156039,-0.0375422,0.0531461
106,-0.020133,-0.0516089,0.071742
107,-0.0246622,-0.0675506,0.0922128
108,-0.0291913,-0.0853673,0.114559
109,-0.0337205,-0.105059,0.13878
110,-0.0382496,-0.126626,0.164875
111,0.07,0.067783,-0.137783
112,0.0529709,0.0505955,-0.103566
113,0.0378167,0.035283,-0.0730997
114,0.0245376,0.0218455,-0.046383
115,0.0131334,0.010283,-0.0234164
116,0.0036043,0.000595471,-0.00419977
117,-0.00279984,-0.00565031,0.00845016
118,-0.00826649,-0.0131545,0.021421
119,-0.0137331,-0.0225337,0.0362669
120,-0.0191998,-0.033788,0.0529877
121,-0.0246664,-0.0469172,0.0715836
122,-0.030133,-0.0619214,0.0920545
123,-0.0355997,-0.0788006,0.1144
124,-0.0410663,-0.0975548,0.138621
125,-0.046533,-0.118184,0.164717
126,0.0528125,0.0507538,-0.103566
127,0.0376584,0.0354413,-0.0730997
128,0.0243792,0.0220038,-0.046383
129,0.0129751,0.0104413,-0.0234164
130,0.00344594,0.00075383,-0.00419977
131,-0.0035832,-0.00470859,0.0082918
132,-0.00998734,-0.0112753,0.0212627
133,-0.0163915,-0.019717,0.0361085
134,-0.0227956,-0.0300337,0.0528294
135,-0.0291998,-0.0422255,0.0714252
136,-0.0356039,-0.0562922,0.0918961
137,-0.042008,-0.0722339,0.114242
138,-0.0484122,-0.0900506,0.138463
139,-0.0548163,-0.109742,0.164559
140,0.0375,0.0355997,-0.0730997
141,0.0242209,0.0221622,-0.046383
142,0.0128167,0.0105997,-0.0234164
143,0.00328758,0.000912189,-0.00419977
144,-0.00436656,-0.00376687,0.00813344
145,-0.0117082,-0.00939609,0.0211043
146,-0.0190498,-0.0169003,0.0359502
147,-0.0263915,-0.0262795,0.052671
148,-0.0337331,-0.0375337,0.0712669
149,-0.0410748,-0.050663,0.0917377
150,-0.0484164,-0.0656672,0.114084
151,-0.055758,-0.0825464,0.138304
