step,stayUtil
0,4.50019
1,4.55269
2,4.60355
3,4.65284
4,4.70062
5,4.74695
6,4.79189
7,4.83548
8,4.87778
9,4.91883
10,4.95868
11,4.99737
12,5.03495
13,5.07144
14,5.1069
15,5.14136
16,5.17484
17,5.20739
18,5.23904
19,5.26981
20,5.29973
21,5.32884
22,5.35716
23,5.38471
24,5.41152
25,5.43761
26,5.46301
27,5.48773
28,5.5118
29,5.53524
30,5.55807
31,5.58031
32,5.60197
33,5.62306
34,5.64362
35,5.66365
36,5.68317
37,5.7022
38,5.72074
39,5.73882
40,5.75645
41,5.77363
42,5.79038
43,5.80672
44,5.82265
45,5.8382
46,5.85335
47,5.86814
48,5.88358
49,5.89936
50,5.91646
51,5.93382
52,5.95157
53,5.97044
54,5.98943
55,6.00856
56,6.02783
57,6.04766
58,6.06814
59,6.08861
60,6.10906
61,6.1295
62,6.14995
63,6.17126
64,6.19365
65,6.21592
66,6.23799
67,6.25987
68,6.28157
69,6.30309
70,6.32445
71,6.34564
72,6.36667
73,6.38754
74,6.40827
75,6.42885
76,6.4493
77,6.47169
78,6.495
79,6.52141
80,6.5469
81,6.5755
82,6.60264
83,6.63035
84,6.65889
85,6.69106
86,6.72161
87,6.7525
88,6.78372
89,6.81528
90,6.84716
91,6.87937
92,6.91591
93,6.95433
94,6.99885
95,7.04117
96,7.08928
97,7.13411
98,7.1848
99,7.23146
100,7.27856
101,7.32608
102,7.37402
103,7.42239
104,7.47118
105,7.52668
106,7.58418
107,7.65018
108,7.71747
109,7.77857
110,7.84062
111,7.90361
112,7.97533
113,8.03868
114,8.10235
115,8.16634
116,8.23065
117,8.29527
118,8.36913
119,8.44487
120,8.533
121,8.61171
122,8.70228
123,8.78175
124,8.87237
125,8.95179
126,9.03162
127,9.11184
128,9.19247
129,9.2735
130,9.36819
131,9.44825
132,9.52826
133,9.60821
134,9.68811
135,9.76796
136,9.84775
137,9.9275
138,10.0072
139,10.0868
140,10.1664
141,10.246
142,10.3255
143,10.4049
144,10.4843
145,10.5637
146,10.643
147,10.7222
148,10.8014
149,10.8806
150,10.9597
151,11.0576
152,11.1571
153,11.2766
154,11.3753
155,11.4966
156,11.5947
157,11.6937
158,11.7934
159,11.9149
160,12.0099
161,12.1052
162,12.2006
163,12.2961
164,12.3919
165,12.5137
166,12.6374
167,12.735
168,12.8325
169,12.9552
170,13.0796
171,13.2302
172,13.3515
173,13.5028
174,13.6276
175,13.7805
176,13.9042
177,14.0286
178,14.1795
179,14.304
180,14.4291
181,14.5856
182,14.7122
183,14.8394
184,14.967
185,15.1247
186,15.2484
187,15.3723
188,15.4963
189,15.6204
190,15.7808
191,15.9102
192,16.0399
193,16.1699
194,16.3001
195,16.4656
196,16.5956
197,16.7256
198,16.8558
199,16.9862
200,17.1167
201,17.2812
202,17.4136
203,17.5462
204,17.6788
205,17.8116
206,17.9446
207,18.1195
208,18.2571
209,18.3951
210,18.5333
211,18.6717
212,18.8503
213,18.9866
214,19.1229
215,19.2593
216,19.3957
217,19.5806
218,19.7284
219,19.8765
220,20.025
221,20.2198
222,20.3727
223,20.526
224,20.7225
225,20.8836
226,21.0453
227,21.2585
228,21.4319
229,21.6535
230,21.831
231,21.9723
232,22.1132
233,22.2537
234,22.3937
235,22.5333
236,22.6725
237,22.8112
238,22.9495
239,23.0875
240,23.225
241,23.3621
242,23.4988
243,23.635
244,23.7709
245,23.9658
246,24.1621
247,24.3136
248,24.5205
249,24.6775
250,24.8347
251,24.992
252,25.215
253,25.3965
254,25.5787
255,25.823
256,26.021
257,26.1685
258,26.3157
259,26.4625
260,26.6088
261,26.8249
262,26.9992
263,27.1738
264,27.4148
265,27.6088
266,27.8036
267,27.9473
268,28.0903
269,28.2326
270,28.3743
271,28.5154
272,28.6558
273,28.7955
274,28.9346
275,29.0731
276,29.211
277,29.3482
278,29.4848
279,29.6208
280,29.7562
281,29.891
282,30.0252
283,30.1588
284,30.2917
285,30.4241
286,30.6382
287,30.8535
288,31.0227
289,31.2693
290,31.4645
291,31.6041
292,31.7432
293,31.8818
294,32.0198
295,32.1573
296,32.2943
297,32.4307
298,32.5665
299,32.7019
300,32.8367
301,32.971
302,33.1048
303,33.3284
304,33.5052
305,33.6822
306,33.9446
307,34.1546
308,34.308
309,34.4613
310,34.6142
311,34.767
312,35.0142
313,35.2163
314,35.3696
315,35.5226
316,35.6753
317,35.8277
318,36.0674
319,36.2518
320,36.4365
321,36.5793
322,36.7216
323,36.8634
324,37.0047
325,37.1455
326,37.2858
327,37.4256
328,37.6641
329,37.8546
330,38.0454
331,38.1843
332,38.3226
333,38.4604
334,38.5977
335,38.7344
336,38.8706
337,38.9964
338,39.121
339,39.2449
340,39.368
341,39.4905
342,39.6123
343,39.7334
344,39.8538
345,39.9735
346,40.0925
347,40.2109
348,40.3286
349,40.4456
350,40.562
351,40.6777
352,40.7928
353,40.9072
354,41.021
355,41.1341
356,41.2466
357,41.3584
358,41.4696
359,41.5802
360,41.6902
361,41.7996
362,41.9083
363,42.0165
364,42.124
365,42.2309
366,42.3372
367,42.4429
368,42.5481
369,42.6526
370,42.7566
371,42.8599
372,42.9627
373,43.0649
374,43.1666
375,43.2676
376,43.3681
377,43.468
378,43.5674
379,43.6662
380,43.7645
381,43.8622
382,43.9593
383,44.0559
384,44.152
385,44.2475
386,44.3425
387,44.437
388,44.5309
389,44.6243
390,44.7171
391,44.8095
392,44.9013
393,44.9926
394,45.0834
395,45.1736
396,45.2634
397,45.3527
398,45.4414
399,45.5297
400,45.6174
401,45.7047
402,45.7914
403,45.8777
404,45.9635
405,46.0488
406,46.1336
407,46.2179
408,46.3018
409,46.3851
410,46.468
411,46.5505
412,46.6324
413,46.7139
414,46.7949
415,46.8755
416,46.9556
417,47.0353
418,47.1145
419,47.1932
420,47.2715
421,47.3493
422,47.4267
423,47.5037
424,47.5802
425,47.6563
426,47.7319
427,47.8071
428,47.8819
429,47.9563
430,48.0302
431,48.1037
432,48.1768
433,48.2494
434,48.3216
435,48.3934
436,48.4648
437,48.5358
438,48.6064
439,48.6766
440,48.7463
441,48.8157
442,48.8847
443,48.9532
444,49.0214
445,49.0892
446,49.1565
447,49.2235
448,49.2901
449,49.3563
450,49.4221
451,49.4875
452,49.5526
453,49.6173
454,49.6816
455,49.7455
456,49.809
457,49.8722
458,49.935
459,49.9974
460,50.0595
461,50.1212
462,50.1825
463,50.2435
464,50.3042
465,50.3644
466,50.4243
467,50.4839
468,50.5431
469,50.6019
470,50.6605
471,50.7186
472,50.7764
473,50.8339
474,50.891
475,50.9478
476,51.0043
477,51.0604
478,51.1162
479,51.1717
480,51.2268
481,51.2816
482,51.3361
483,51.3902
484,51.444
485,51.4975
486,51.5507
487,51.6036
488,51.6561
489,51.7084
490,51.7603
491,51.8119
492,51.8632
493,51.9142
494,51.9649
495,52.0153
496,52.0653
497,52.1151
498,52.1646
499,52.2138
500,52.2626
501,52.3112
502,52.3595
503,52.4075
504,52.4552
505,52.5026
506,52.5498
507,52.5966
508,52.6432
509,52.6894
510,52.7354
511,52.7811
512,52.8266
513,52.8717
514,52.9166
515,52.9612
516,53.0055
517,53.0496
518,53.0934
519,53.1369
520,53.1802
521,53.2232
522,53.2659
523,53.3084
524,53.3506
525,53.3925
526,53.4342
527,53.4756
528,53.5168
529,53.5577
530,53.5984
531,53.6388
532,53.679
533,53.7189
534,53.7586
535,53.798
536,53.8372
537,53.8761
538,53.9148
539,53.9533
540,53.9915
541,54.0295
542,54.0672
543,54.1047
544,54.142
545,54.179
546,54.2158
547,54.2524
548,54.2887
549,54.3249
550,54.3608
551,54.3964
552,54.4319
553,54.4671
554,54.5021
555,54.5369
556,54.5714
557,54.6058
558,54.6399
559,54.6738
560,54.7075
561,54.741
562,54.7743
563,54.8073
564,54.8402
565,54.8728
566,54.9053
567,54.9375
568,54.9696
569,55.0014
570,55.033
571,55.0644
572,55.0956
573,55.1267
574,55.1575
575,55.1881
576,55.2186
577,55.2488
578,55.2788
579,55.3087
580,55.3384
581,55.3678
582,55.3971
583,55.4262
584,55.4551
585,55.4838
586,55.5124
587,55.5407
588,55.5689
589,55.5969
590,55.6247
591,55.6523
592,55.6798
593,55.7071
594,55.7342
595,55.7611
596,55.7878
597,55.8144
598,55.8408
599,55.8671
600,55.8931
601,55.919
602,55.9447
603,55.9703
604,55.9957
605,56.0209
606,56.046
607,56.0709
608,56.0956
609,56.1202
