step,0,1,2,3
0,1.56255,-1.5,6.06255,1.1251
1,1.57575,-1.5,6.07575,1.1515
2,1.58868,-1.5,6.08868,1.17737
3,1.60136,-1.5,6.10136,1.20272
4,1.61377,-1.5,6.11377,1.22755
5,1.62593,-1.5,6.12593,1.25186
6,1.63784,-1.5,6.13784,1.27568
7,1.6495,-1.5,6.1495,1.29899
8,1.66091,-1.5,6.16091,1.32182
9,1.67208,-1.5,6.17208,1.34416
10,1.68301,-1.5,6.18301,1.36603
11,1.69371,-1.5,6.19371,1.38743
12,1.70419,-1.5,6.20419,1.40837
13,1.71443,-1.5,6.21443,1.42886
14,1.72446,-1.5,6.22446,1.44891
15,1.73427,-1.5,6.23427,1.46853
16,1.74386,-1.5,6.24386,1.48772
17,1.75325,-1.5,6.25325,1.5065
18,1.76243,-1.5,6.26243,1.52486
19,1.77141,-1.5,6.27141,1.54283
20,1.7802,-1.5,6.2802,1.5604
21,1.78879,-1.5,6.28879,1.57759
22,1.7972,-1.5,6.2972,1.5944
23,1.80542,-1.5,6.30542,1.61084
24,1.81346,-1.5,6.31346,1.62692
25,1.82132,-1.5,6.32132,1.64264
26,1.82901,-1.5,6.32901,1.65802
27,1.83653,-1.5,6.33653,1.67307
28,1.84389,-1.5,6.34389,1.68778
29,1.85108,-1.5,6.35108,1.70216
30,1.85812,-1.5,6.35812,1.71623
31,1.86499,-1.5,6.36499,1.72999
32,1.87172,-1.5,6.37172,1.74344
33,1.8783,-1.5,6.3783,1.7566
34,1.88473,-1.5,6.38473,1.76947
35,1.89103,-1.5,6.39103,1.78205
36,1.89718,-1.5,6.39718,1.79436
37,1.9032,-1.5,6.4032,1.80639
38,1.90908,-1.5,6.40908,1.81816
39,1.91484,-1.5,6.41484,1.82967
40,1.92046,-1.5,6.42046,1.84093
41,1.92597,-1.5,6.42597,1.85193
42,1.93135,-1.5,6.43135,1.8627
43,1.93661,-1.5,6.43661,1.87322
44,1.94176,-1.5,6.44176,1.88352
45,1.94679,-1.5,6.44679,1.89358
46,1.95171,-1.5,6.45171,1.90343
47,1.95653,-1.5,6.45653,1.91306
48,1.96124,-1.5,6.46124,1.92248
49,1.96584,-1.5,6.46584,1.93169
50,1.97035,-1.5,6.47035,1.94069
51,1.97475,-1.5,6.47475,1.9495
52,1.97906,-1.5,6.47906,1.95812
53,1.98327,-1.5,6.48327,1.96654
54,1.98739,-1.5,6.48739,1.97478
55,1.99142,-1.5,6.49142,1.98284
56,1.99536,-1.5,6.49536,1.99073
57,1.99922,-1.5,6.49922,1.99844
58,2.00299,-1.5,6.50299,2.00598
59,2.00668,-1.5,6.50668,2.01336
60,2.01028,-1.5,6.51028,2.02057
61,2.01381,-1.5,6.51381,2.02763
62,2.01726,-1.5,6.51726,2.03453
63,2.02064,-1.5,6.52064,2.04128
64,2.02394,-1.5,6.52394,2.04788
65,2.02717,-1.5,6.52717,2.05434
66,2.03033,-1.5,6.53033,2.06066
67,2.03342,-1.5,6.53342,2.06684
68,2.03644,-1.5,6.53644,2.07288
69,2.0394,-1.5,6.5394,2.0788
70,2.04229,-1.5,6.54229,2.08458
71,2.04512,-1.5,6.54512,2.09024
72,2.04789,-1.5,6.54789,2.09577
73,2.05059,-1.5,6.55059,2.10119
74,2.05324,-1.5,6.55324,2.10648
75,2.05583,-1.5,6.55583,2.11167
76,2.05837,-1.5,6.55837,2.11673
77,2.06085,-1.5,6.56085,2.12169
78,2.06327,-1.5,6.56327,2.12654
79,2.06564,-1.5,6.56564,2.13129
80,2.06796,-1.5,6.56796,2.13593
81,2.07023,-1.5,6.57023,2.14047
82,2.07246,-1.5,6.57246,2.14491
83,2.07463,-1.5,6.57463,2.14926
84,2.07675,-1.5,6.57675,2.15351
85,2.07883,-1.5,6.57883,2.15767
86,2.08087,-1.5,6.58087,2.16174
87,2.08286,-1.5,6.58286,2.16572
88,2.08481,-1.5,6.58481,2.16962
89,2.08671,-1.5,6.58671,2.17343
90,2.08858,-1.5,6.58858,2.17715
91,2.0904,-1.5,6.5904,2.1808
92,2.09219,-1.5,6.59219,2.18437
93,2.09393,-1.5,6.59393,2.18786
94,2.09564,-1.5,6.59564,2.19128
95,2.09731,-1.5,6.59731,2.19462
96,2.09895,-1.5,6.59895,2.19789
97,2.10055,-1.5,6.60055,2.20109
98,2.10211,-1.5,6.60211,2.20422
99,2.10364,-1.5,6.60364,2.20728
100,2.10514,-1.5,6.60514,2.21028
101,2.10661,-1.5,6.60661,2.21321
102,2.10804,-1.5,6.60804,2.21608
103,2.10944,-1.5,6.60944,2.21889
104,2.11082,-1.5,6.61082,2.22163
105,2.11216,-1.5,6.61216,2.22432
106,2.11348,-1.5,6.61348,2.22695
107,2.11476,-1.5,6.61476,2.22952
108,2.11602,-1.5,6.61602,2.23204
109,2.11725,-1.5,6.61725,2.23451
110,2.11846,-1.5,6.61846,2.23692
111,2.11964,-1.5,6.61964,2.23927
112,2.12079,-1.5,6.62079,2.24158
113,2.12192,-1.5,6.62192,2.24384
114,2.12303,-1.5,6.62303,2.24605
115,2.12411,-1.5,6.62411,2.24821
116,2.12516,-1.5,6.62516,2.25033
117,2.1262,-1.5,6.6262,2.2524
118,2.12721,-1.5,6.62721,2.25442
119,2.1282,-1.5,6.6282,2.25641
120,2.12917,-1.5,6.62917,2.25835
121,2.13012,-1.5,6.63012,2.26024
122,2.13105,-1.5,6.63105,2.2621
123,2.13196,-1.5,6.63196,2.26392
124,2.13285,-1.5,6.63285,2.2657
125,2.13372,-1.5,6.63372,2.26744
126,2.13457,-1.5,6.63457,2.26914
127,2.1354,-1.5,6.6354,2.27081
128,2.13622,-1.5,6.63622,2.27244
129,2.13702,-1.5,6.63702,2.27403
130,2.1378,-1.5,6.6378,2.2756
131,2.13856,-1.5,6.63856,2.27712
132,2.13931,-1.5,6.63931,2.27862
133,2.14004,-1.5,6.64004,2.28008
134,2.14076,-1.5,6.64076,2.28152
135,2.14146,-1.5,6.64146,2.28292
136,2.14214,-1.5,6.64214,2.28429
137,2.14282,-1.5,6.64282,2.28563
138,2.14347,-1.5,6.64347,2.28694
139,2.14412,-1.5,6.64412,2.28823
140,2.14474,-1.5,6.64474,2.28949
141,2.14536,-1.5,6.64536,2.29072
142,2.14596,-1.5,6.64596,2.29192
143,2.14655,-1.5,6.64655,2.2931
144,2.14713,-1.5,6.64713,2.29426
145,2.14769,-1.5,6.64769,2.29538
146,2.14824,-1.5,6.64824,2.29649
147,2.14879,-1.5,6.64879,2.29757
148,2.14931,-1.5,6.64931,2.29863
149,2.14983,-1.5,6.64983,2.29966
150,2.15034,-1.5,6.65034,2.30068
151,2.15083,-1.5,6.65083,2.30167
152,2.15132,-1.5,6.65132,2.30264
153,2.15179,-1.5,6.65179,2.30359
154,2.15226,-1.5,6.65226,2.30452
155,2.15271,-1.5,6.65271,2.30543
156,2.15316,-1.5,6.65316,2.30632
157,2.1536,-1.5,6.6536,2.30719
158,2.15402,-1.5,6.65402,2.30804
159,2.15444,-1.5,6.65444,2.30888
160,2.15485,-1.5,6.65485,2.30969
161,2.15525,-1.5,6.65525,2.31049
162,2.15564,-1.5,6.65564,2.31128
163,2.15602,-1.5,6.65602,2.31204
164,2.1564,-1.5,6.6564,2.31279
165,2.15676,-1.5,6.65676,2.31352
166,2.15712,-1.5,6.65712,2.31424
167,2.15747,-1.5,6.65747,2.31494
168,2.15782,-1.5,6.65782,2.31563
169,2.15815,-1.5,6.65815,2.3163
170,2.15848,-1.5,6.65848,2.31696
171,2.1588,-1.5,6.6588,2.31761
172,2.15911,-1.5,6.65911,2.31822
173,2.15934,-1.5,6.65934,2.31869
174,2.15952,-1.5,6.65952,2.31904
175,2.15964,-1.5,6.65964,2.31928
176,2.15971,-1.5,6.65971,2.31942
177,2.15974,-1.5,6.65974,2.31947
178,2.15971,-1.5,6.65971,2.31943
179,2.15966,-1.5,6.65966,2.31931
180,2.15957,-1.5,6.65957,2.31913
181,2.15944,-1.5,6.65944,2.31888
182,2.15929,-1.5,6.65929,2.31857
183,2.15911,-1.5,6.65911,2.31822
184,2.15891,-1.5,6.65891,2.31782
185,2.15869,-1.5,6.65869,2.31738
186,2.15845,-1.5,6.65845,2.31691
187,2.1582,-1.5,6.6582,2.31641
188,2.15794,-1.5,6.65794,2.31588
189,2.15767,-1.5,6.65767,2.31534
190,2.15739,-1.5,6.65739,2.31477
191,2.15709,-1.5,6.65709,2.31419
192,2.15679,-1.5,6.65679,2.31358
193,2.15649,-1.5,6.65649,2.31297
194,2.15618,-1.5,6.65618,2.31236
195,2.15587,-1.5,6.65587,2.31174
196,2.15556,-1.5,6.65556,2.31113
197,2.15525,-1.5,6.65525,2.31051
198,2.15494,-1.5,6.65494,2.30988
199,2.15463,-1.5,6.65463,2.30926
200,2.15432,-1.5,6.65432,2.30863
201,2.154,-1.5,6.654,2.308
202,2.15369,-1.5,6.65369,2.30737
203,2.15338,-1.5,6.65338,2.30676
204,2.15308,-1.5,6.65308,2.30615
205,2.15278,-1.5,6.65278,2.30557
206,2.1525,-1.5,6.6525,2.30499
207,2.15222,-1.5,6.65222,2.30443
208,2.15194,-1.5,6.65194,2.30389
209,2.15168,-1.5,6.65168,2.30335
210,2.15141,-1.5,6.65141,2.30283
211,2.15116,-1.5,6.65116,2.30232
212,2.15091,-1.5,6.65091,2.30182
213,2.15066,-1.5,6.65066,2.30133
214,2.15042,-1.5,6.65042,2.30084
215,2.15019,-1.5,6.65019,2.30037
216,2.14996,-1.5,6.64996,2.29991
217,2.14973,-1.5,6.64973,2.29946
218,2.14951,-1.5,6.64951,2.29901
219,2.14929,-1.5,6.64929,2.29858
220,2.14907,-1.5,6.64907,2.29815
221,2.14886,-1.5,6.64886,2.29773
222,2.14866,-1.5,6.64866,2.29732
223,2.14845,-1.5,6.64845,2.29691
224,2.14825,-1.5,6.64825,2.29651
225,2.14806,-1.5,6.64806,2.29612
226,2.14786,-1.5,6.64786,2.29573
227,2.14767,-1.5,6.64767,2.29535
228,2.14749,-1.5,6.64749,2.29497
229,2.1473,-1.5,6.6473,2.2946
230,2.14712,-1.5,6.64712,2.29424
231,2.14687,-1.5,6.64687,2.29373
232,2.14654,-1.5,6.64654,2.29309
233,2.14617,-1.5,6.64617,2.29233
234,2.14574,-1.5,6.64574,2.29148
235,2.14527,-1.5,6.64527,2.29053
236,2.14476,-1.5,6.64476,2.28951
237,2.14422,-1.5,6.64422,2.28843
238,2.14365,-1.5,6.64365,2.2873
239,2.14306,-1.5,6.64306,2.28613
240,2.14246,-1.5,6.64246,2.28493
241,2.14186,-1.5,6.64186,2.28372
242,2.14125,-1.5,6.64125,2.2825
243,2.14064,-1.5,6.64064,2.28127
244,2.14002,-1.5,6.64002,2.28004
245,2.1394,-1.5,6.6394,2.2788
246,2.13879,-1.5,6.63879,2.27758
247,2.13819,-1.5,6.63819,2.27638
248,2.1376,-1.5,6.6376,2.27519
249,2.13701,-1.5,6.63701,2.27402
250,2.13643,-1.5,6.63643,2.27286
251,2.13586,-1.5,6.63586,2.27172
252,2.13529,-1.5,6.63529,2.27059
