step,0,1,2
0,0,10,0
1,0.03,9.7775,0.1925
2,0.0518548,9.58103,0.367113
3,0.0705928,9.39951,0.529895
4,0.0874775,9.22966,0.682858
5,0.103394,9.06909,0.827517
6,0.118423,8.91708,0.964493
7,0.132635,8.77302,1.09435
8,0.144995,8.63851,1.21649
9,0.156284,8.51158,1.33214
10,0.167136,8.39056,1.4423
11,0.177577,8.27509,1.54733
12,0.187634,8.16481,1.64755
13,0.19733,8.05941,1.74326
14,0.206685,7.95859,1.83473
15,0.214974,7.86357,1.92146
16,0.22275,7.773,2.00425
17,0.230044,7.68663,2.08332
18,0.236273,7.60544,2.15829
19,0.241939,7.52822,2.22984
20,0.247485,7.45393,2.29859
21,0.252918,7.38241,2.36467
22,0.258242,7.31352,2.42823
23,0.263463,7.24715,2.48939
24,0.268584,7.18315,2.54827
25,0.273611,7.12141,2.60498
26,0.278548,7.06184,2.65962
27,0.283398,7.00432,2.71229
28,0.288164,6.94876,2.76308
29,0.29285,6.89508,2.81207
30,0.296991,6.84412,2.85889
31,0.300616,6.79574,2.90364
32,0.304096,6.74912,2.94678
33,0.307023,6.70502,2.98796
34,0.30976,6.66262,3.02762
35,0.312312,6.62186,3.06583
36,0.314686,6.58266,3.10265
37,0.316521,6.54571,3.13777
38,0.318156,6.51025,3.17159
39,0.319596,6.47624,3.20416
40,0.320516,6.44427,3.23521
41,0.321239,6.41365,3.26511
42,0.321768,6.38432,3.29391
43,0.32181,6.35685,3.32134
44,0.321667,6.33057,3.34777
45,0.321064,6.306,3.37294
46,0.320295,6.28251,3.39719
47,0.319364,6.26007,3.42056
48,0.318257,6.23891,3.44283
49,0.317173,6.21852,3.46431
50,0.316097,6.19913,3.48478
51,0.315042,6.18041,3.50454
52,0.314007,6.16236,3.52364
53,0.312979,6.14518,3.54184
54,0.311972,6.12857,3.55946
55,0.310983,6.11251,3.57651
56,0.310012,6.09698,3.59301
57,0.309059,6.08197,3.60897
58,0.308111,6.06768,3.62421
59,0.307181,6.05383,3.63899
60,0.306269,6.04041,3.65333
61,0.305372,6.02739,3.66724
62,0.304492,6.01478,3.68073
63,0.303627,6.00255,3.69383
64,0.302766,5.99091,3.70633
65,0.301909,5.97984,3.71825
66,0.301067,5.96907,3.72986
67,0.30024,5.9586,3.74116
68,0.299428,5.9484,3.75217
69,0.298629,5.93848,3.76289
70,0.297845,5.92882,3.77334
71,0.297073,5.91942,3.78351
72,0.296315,5.91027,3.79341
73,0.295569,5.90137,3.80306
74,0.294835,5.8927,3.81247
75,0.294112,5.88426,3.82163
76,0.293401,5.87605,3.83055
77,0.292701,5.86806,3.83924
78,0.292003,5.86047,3.84752
79,0.291305,5.85329,3.8554
80,0.290599,5.84669,3.86272
81,0.289895,5.8404,3.8697
82,0.289184,5.83462,3.8762
83,0.288478,5.82908,3.88244
84,0.287775,5.82379,3.88844
85,0.287075,5.81873,3.8942
86,0.286371,5.81407,3.89956
87,0.285672,5.80958,3.90475
88,0.284979,5.80523,3.90979
89,0.284291,5.80103,3.91467
90,0.283609,5.79698,3.91941
91,0.282931,5.79307,3.92399
92,0.282259,5.7893,3.92844
93,0.281582,5.78585,3.93257
94,0.280901,5.7827,3.9364
95,0.280209,5.78002,3.93978
96,0.279514,5.77757,3.94292
97,0.27881,5.77551,3.94569
98,0.278106,5.77359,3.9483
99,0.277394,5.772,3.9506
100,0.276685,5.77051,3.95281
101,0.275977,5.7691,3.95492
102,0.275272,5.76779,3.95694
103,0.274568,5.76657,3.95886
104,0.273866,5.76543,3.9607
105,0.273166,5.76438,3.96245
106,0.27246,5.76357,3.96397
107,0.271748,5.763,3.96525
108,0.271024,5.7628,3.96617
109,0.270289,5.76292,3.96679
110,0.269552,5.76315,3.9673
111,0.268814,5.76348,3.9677
112,0.268074,5.7639,3.96803
113,0.267325,5.76449,3.96819
114,0.266577,5.76511,3.96832
115,0.26583,5.76575,3.96842
116,0.265083,5.76642,3.96849
117,0.264336,5.76712,3.96854
118,0.26359,5.76785,3.96856
119,0.262839,5.7687,3.96846
120,0.262081,5.76967,3.96825
121,0.261312,5.77087,3.96782
122,0.260537,5.77217,3.9673
123,0.259753,5.77365,3.9666
124,0.258966,5.77518,3.96585
125,0.258171,5.77686,3.96496
126,0.257376,5.77856,3.96406
127,0.25658,5.78028,3.96314
128,0.255784,5.78202,3.9622
129,0.254987,5.78377,3.96125
130,0.25419,5.78554,3.96027
131,0.253386,5.78743,3.95919
132,0.252584,5.78931,3.95811
133,0.251782,5.79118,3.95704
134,0.250981,5.79304,3.95598
135,0.250182,5.79489,3.95493
136,0.249383,5.79673,3.95388
137,0.248586,5.79857,3.95285
138,0.247789,5.80039,3.95182
139,0.246994,5.80221,3.9508
140,0.2462,5.80401,3.94979
141,0.245407,5.80581,3.94878
142,0.244615,5.8076,3.94779
143,0.243825,5.80938,3.9468
144,0.243035,5.81115,3.94581
145,0.242247,5.81292,3.94484
146,0.24146,5.81467,3.94387
147,0.240674,5.81642,3.94291
148,0.23989,5.81816,3.94195
149,0.239106,5.81989,3.941
150,0.238324,5.82162,3.94006
151,0.237544,5.82333,3.93912
152,0.236759,5.82514,3.9381
153,0.23597,5.82703,3.937
154,0.235171,5.82909,3.93574
155,0.23437,5.83121,3.93442
156,0.233561,5.83348,3.93296
157,0.23275,5.83579,3.93146
158,0.231938,5.83812,3.92994
159,0.231124,5.84049,3.92839
160,0.230303,5.84298,3.92672
161,0.229482,5.84546,3.92505
162,0.228662,5.84795,3.92339
163,0.227842,5.85042,3.92174
164,0.227022,5.85289,3.92008
165,0.226203,5.85536,3.91844
166,0.225378,5.85793,3.9167
167,0.224548,5.86059,3.91486
168,0.223719,5.86324,3.91304
169,0.22289,5.86587,3.91124
170,0.222057,5.86859,3.90936
171,0.22122,5.87138,3.9074
172,0.220374,5.87434,3.90529
173,0.219525,5.87734,3.90313
174,0.218667,5.88049,3.90084
175,0.217808,5.88368,3.89851
176,0.21694,5.887,3.89605
177,0.216071,5.89035,3.89358
178,0.215201,5.89371,3.89109
179,0.214324,5.89717,3.8885
180,0.213446,5.90065,3.88591
181,0.212567,5.90413,3.88331
182,0.211683,5.90771,3.88061
183,0.210797,5.9113,3.87791
184,0.209911,5.91488,3.87521
185,0.209023,5.91847,3.8725
186,0.208131,5.92215,3.86972
187,0.207239,5.92581,3.86695
188,0.206348,5.92945,3.8642
189,0.205456,5.93307,3.86147
190,0.204566,5.93667,3.85876
191,0.20367,5.94036,3.85597
192,0.202775,5.94403,3.85319
193,0.20188,5.9477,3.85042
194,0.200985,5.95136,3.84766
195,0.20009,5.955,3.84491
196,0.19919,5.95873,3.84208
197,0.198292,5.96244,3.83927
198,0.197394,5.96613,3.83647
199,0.196496,5.96981,3.83369
200,0.195599,5.97347,3.83093
201,0.194703,5.97712,3.82818
202,0.193804,5.98083,3.82537
203,0.192905,5.98452,3.82258
204,0.192007,5.9882,3.8198
205,0.19111,5.99186,3.81703
206,0.190214,5.9955,3.81428
207,0.189319,5.99913,3.81155
208,0.18842,6.00284,3.80874
209,0.187522,6.00654,3.80594
210,0.186624,6.01022,3.80315
211,0.185728,6.0139,3.80037
212,0.184832,6.01757,3.7976
213,0.183933,6.02131,3.79476
214,0.183035,6.02503,3.79194
215,0.182138,6.02873,3.78913
216,0.181243,6.03241,3.78634
217,0.180349,6.03608,3.78357
218,0.179452,6.03982,3.78073
219,0.178556,6.04356,3.77788
220,0.17766,6.0473,3.77504
221,0.176765,6.05104,3.77219
222,0.175866,6.05487,3.76926
223,0.174968,6.0587,3.76633
224,0.17407,6.06253,3.7634
225,0.17317,6.06644,3.76039
226,0.17227,6.07036,3.75738
227,0.17137,6.07428,3.75435
228,0.170466,6.07831,3.75122
229,0.169562,6.08237,3.74807
230,0.168653,6.08652,3.74482
231,0.167745,6.09071,3.74155
232,0.166839,6.09484,3.73832
233,0.165935,6.09894,3.73513
234,0.165034,6.10299,3.73198
235,0.164136,6.10699,3.72887
236,0.16324,6.11096,3.7258
237,0.162347,6.11489,3.72277
238,0.161457,6.11877,3.71977
239,0.16057,6.12262,3.71681
240,0.159685,6.12642,3.71389
241,0.158803,6.13019,3.711
242,0.157924,6.13392,3.70815
243,0.157048,6.13762,3.70533
244,0.156174,6.14127,3.70255
245,0.155304,6.1449,3.6998
246,0.154433,6.14857,3.697
247,0.153561,6.1523,3.69414
248,0.152691,6.15602,3.69129
249,0.15182,6.1598,3.68838
250,0.150951,6.16357,3.68548
251,0.150084,6.16733,3.68258
252,0.149219,6.17108,3.6797
253,0.148353,6.17491,3.67673
254,0.147487,6.17877,3.67375
255,0.146622,6.18264,3.67074
256,0.145754,6.18662,3.66763
257,0.144887,6.19063,3.66448
258,0.144023,6.1946,3.66137
259,0.143162,6.19854,3.6583
260,0.142304,6.20244,3.65526
261,0.141449,6.2063,3.65225
262,0.140594,6.21023,3.64918
263,0.13974,6.21415,3.64611
264,0.138889,6.21807,3.64304
265,0.138035,6.22208,3.63989
266,0.137183,6.22611,3.63671
267,0.136333,6.23016,3.63351
268,0.135485,6.23416,3.63036
269,0.134642,6.23811,3.62725
270,0.133801,6.24202,3.62418
271,0.132965,6.24588,3.62115
272,0.132132,6.2497,3.61817
273,0.131303,6.25347,3.61522
274,0.130477,6.2572,3.61232
275,0.129656,6.26089,3.60946
276,0.128838,6.26453,3.60663
277,0.128023,6.26814,3.60384
278,0.127213,6.2717,3.60109
279,0.126406,6.27522,3.59838
280,0.125603,6.2787,3.5957
281,0.124803,6.28214,3.59306
282,0.124008,6.28554,3.59045
283,0.123216,6.28891,3.58788
284,0.122428,6.29223,3.58534
285,0.121644,6.29552,3.58283
286,0.120864,6.29878,3.58036
287,0.120084,6.30209,3.57783
288,0.119306,6.30546,3.57524
289,0.118529,6.30883,3.57264
290,0.117753,6.31228,3.56996
291,0.116978,6.31577,3.56725
292,0.116207,6.31922,3.56458
293,0.11544,6.32263,3.56193
294,0.114677,6.32601,3.55931
295,0.113917,6.32935,3.55673
296,0.113161,6.33267,3.55417
297,0.112409,6.33595,3.55165
298,0.11166,6.33919,3.54915
299,0.110915,6.34241,3.54668
300,0.110174,6.34559,3.54424
301,0.109437,6.34874,3.54182
302,0.108704,6.35186,3.53943
303,0.107974,6.35496,3.53707
304,0.107245,6.35811,3.53465
305,0.106519,6.36128,3.53221
306,0.105795,6.36445,3.52975
307,0.105072,6.36773,3.5272
308,0.10435,6.37105,3.5246
309,0.103631,6.37435,3.52202
310,0.102916,6.37763,3.51945
311,0.102203,6.3809,3.5169
312,0.101495,6.38415,3.51436
313,0.100787,6.38748,3.51174
314,0.100081,6.39083,3.50909
315,0.0993779,6.39417,3.50645
316,0.0986786,6.39749,3.50383
317,0.0979827,6.40079,3.50123
318,0.0972901,6.40407,3.49864
319,0.0965987,6.40742,3.49598
320,0.0959099,6.41078,3.49331
321,0.0952238,6.41415,3.49063
322,0.0945413,6.41749,3.48797
323,0.0938625,6.42079,3.48534
324,0.0931873,6.42408,3.48274
325,0.0925158,6.42733,3.48016
326,0.091848,6.43055,3.4776
327,0.0911838,6.43375,3.47507
328,0.0905233,6.43692,3.47256
329,0.0898642,6.44015,3.46998
330,0.0892076,6.4434,3.46739
331,0.0885536,6.44667,3.46478
332,0.0879033,6.4499,3.46219
333,0.0872567,6.45311,3.45963
334,0.0866138,6.45629,3.4571
335,0.0859746,6.45944,3.45459
336,0.0853391,6.46256,3.4521
337,0.0847072,6.46565,3.44964
338,0.0840791,6.46871,3.44721
339,0.0834527,6.47183,3.44472
340,0.082829,6.47496,3.44221
341,0.082208,6.47811,3.43968
342,0.0815905,6.48124,3.43717
343,0.0809766,6.48434,3.43469
344,0.0803662,6.48742,3.43222
345,0.0797593,6.49047,3.42977
346,0.079156,6.49351,3.42734
347,0.0785542,6.49661,3.42484
348,0.0779551,6.49972,3.42232
349,0.0773585,6.50286,3.41978
350,0.0767654,6.50598,3.41726
351,0.0761759,6.50906,3.41476
352,0.07559,6.51213,3.41228
353,0.0750076,6.51517,3.40982
354,0.0744268,6.51828,3.4073
355,0.0738484,6.52141,3.40474
356,0.073273,6.52455,3.40218
357,0.0727008,6.52767,3.39963
358,0.0721317,6.53079,3.39708
359,0.0715639,6.53399,3.39445
360,0.0709985,6.53722,3.39178
361,0.0704359,6.54046,3.38911
362,0.0698762,6.5437,3.38643
363,0.06932,6.54691,3.38377
364,0.0687673,6.5501,3.38113
365,0.0682181,6.55326,3.37852
366,0.0676724,6.55639,3.37594
367,0.0671302,6.5595,3.37337
368,0.0665898,6.56267,3.37074
369,0.0660519,6.56586,3.36809
370,0.0655165,6.56907,3.36541
371,0.0649843,6.57227,3.36274
372,0.0644554,6.57546,3.36009
373,0.0639279,6.57872,3.35735
374,0.0634025,6.58203,3.35457
375,0.0628798,6.58535,3.35177
376,0.0623602,6.58866,3.34898
377,0.0618439,6.59195,3.34621
378,0.0613308,6.59522,3.34345
379,0.0608195,6.59856,3.34062
380,0.0603103,6.60194,3.33775
381,0.0598038,6.60533,3.33487
382,0.0593005,6.6087,3.332
383,0.0588003,6.61206,3.32914
384,0.0583032,6.6154,3.32629
385,0.0578078,6.61882,3.32337
386,0.0573147,6.62227,3.32041
387,0.0568241,6.62574,3.31744
388,0.0563366,6.6292,3.31447
389,0.0558521,6.63265,3.3115
390,0.0553709,6.63606,3.30857
391,0.0548931,6.63945,3.30566
392,0.0544187,6.6428,3.30278
393,0.0539477,6.64612,3.29993
394,0.0534801,6.64941,3.29711
395,0.0530158,6.65266,3.29432
396,0.0525548,6.65589,3.29155
397,0.0520971,6.65909,3.28881
398,0.0516415,6.66234,3.28602
399,0.0511883,6.66562,3.28319
400,0.0507378,6.6689,3.28036
401,0.0502901,6.67219,3.27752
402,0.0498454,6.67546,3.27469
403,0.0494037,6.67872,3.27187
404,0.0489651,6.68197,3.26907
405,0.0485298,6.68517,3.2663
406,0.0480979,6.68834,3.26356
407,0.0476692,6.69148,3.26085
408,0.0472439,6.69458,3.25818
409,0.0468218,6.69765,3.25553
410,0.046403,6.70068,3.25292
411,0.0459875,6.70368,3.25034
412,0.0455752,6.70664,3.24778
413,0.0451662,6.70957,3.24526
414,0.0447603,6.71247,3.24277
415,0.0443576,6.71534,3.2403
416,0.0439581,6.71818,3.23786
417,0.0435618,6.72098,3.23545
418,0.0431686,6.72376,3.23307
419,0.0427786,6.7265,3.23072
420,0.0423917,6.72922,3.22839
421,0.0420078,6.73191,3.22609
422,0.0416271,6.73456,3.22381
423,0.0412494,6.73719,3.22156
424,0.0408747,6.73979,3.21933
425,0.0405031,6.74236,3.21713
426,0.0401345,6.74491,3.21496
427,0.0397679,6.74751,3.21272
428,0.0394035,6.75014,3.21046
429,0.0390414,6.7528,3.20816
430,0.0386818,6.75547,3.20584
431,0.0383249,6.75814,3.20353
432,0.0379706,6.7608,3.20123
433,0.0376192,6.76344,3.19894
434,0.0372706,6.76605,3.19668
435,0.0369249,6.76863,3.19444
436,0.036582,6.7712,3.19222
437,0.036242,6.77373,3.19002
438,0.0359047,6.77625,3.18785
439,0.0355702,6.77874,3.18569
440,0.0352385,6.78121,3.18355
441,0.0349095,6.78365,3.18144
442,0.0345832,6.78608,3.17934
443,0.0342597,6.78848,3.17726
444,0.033938,6.79094,3.17512
445,0.0336183,6.79344,3.17294
446,0.0333008,6.79596,3.17074
447,0.0329855,6.79851,3.16851
448,0.0326725,6.80106,3.16627
449,0.0323621,6.8036,3.16404
450,0.0320541,6.80612,3.16182
451,0.0317487,6.80864,3.15961
452,0.0314457,6.81114,3.15741
453,0.0311453,6.81362,3.15524
454,0.0308475,6.81607,3.15309
455,0.0305523,6.81849,3.15096
456,0.0302597,6.82088,3.14886
457,0.0299697,6.82324,3.14679
458,0.0296822,6.82558,3.14474
459,0.0293973,6.82789,3.14272
460,0.0291148,6.83017,3.14072
461,0.0288349,6.83243,3.13874
462,0.0285574,6.83466,3.13678
463,0.0282824,6.83686,3.13485
464,0.0280098,6.83905,3.13295
465,0.0277396,6.8412,3.13106
466,0.0274719,6.84333,3.1292
467,0.0272065,6.84544,3.12735
468,0.0269435,6.84752,3.12553
469,0.0266829,6.84958,3.12373
470,0.0264246,6.85162,3.12195
471,0.0261686,6.85364,3.1202
472,0.0259149,6.85563,3.11846
473,0.0256636,6.8576,3.11674
474,0.0254145,6.85954,3.11504
475,0.0251676,6.86147,3.11336
476,0.024923,6.86337,3.11171
477,0.0246806,6.86525,3.11007
478,0.0244404,6.86711,3.10844
479,0.0242024,6.86896,3.10684
480,0.0239665,6.87078,3.10526
481,0.0237329,6.87258,3.10369
482,0.0235013,6.87435,3.10214
483,0.0232719,6.87611,3.10061
484,0.0230446,6.87786,3.0991
485,0.0228193,6.87958,3.0976
486,0.0225962,6.88128,3.09612
487,0.022375,6.88296,3.09466
488,0.022156,6.88463,3.09322
489,0.0219389,6.88627,3.09179
490,0.0217239,6.8879,3.09037
491,0.0215108,6.88951,3.08898
492,0.0212998,6.89111,3.08759
493,0.0210907,6.89268,3.08623
494,0.0208835,6.89424,3.08488
495,0.0206782,6.89578,3.08354
496,0.0204749,6.8973,3.08222
497,0.0202735,6.89881,3.08091
498,0.0200739,6.9003,3.07962
499,0.0198762,6.90178,3.07835
500,0.0196804,6.90324,3.07708
501,0.0194864,6.90468,3.07583
502,0.0192942,6.90611,3.0746
503,0.0191038,6.90752,3.07338
504,0.0189152,6.90892,3.07217
505,0.0187284,6.9103,3.07097
506,0.0185433,6.91166,3.06979
507,0.01836,6.91302,3.06862
508,0.0181784,6.91435,3.06747
509,0.0179985,6.91568,3.06633
510,0.0178204,6.91698,3.0652
511,0.0176439,6.91828,3.06408
512,0.0174691,6.91956,3.06297
513,0.0172959,6.92083,3.06188
514,0.0171244,6.92208,3.0608
515,0.0169545,6.92332,3.05973
516,0.0167863,6.92455,3.05867
517,0.0166196,6.92576,3.05762
518,0.0164545,6.92696,3.05659
519,0.016291,6.92815,3.05556
520,0.0161291,6.92932,3.05455
521,0.0159687,6.93048,3.05355
522,0.0158099,6.93163,3.05256
523,0.0156525,6.93277,3.05158
524,0.0154967,6.9339,3.05061
525,0.0153424,6.93501,3.04965
526,0.0151895,6.93611,3.0487
527,0.0150381,6.9372,3.04776
528,0.0148882,6.93828,3.04683
529,0.0147397,6.93935,3.04591
530,0.0145926,6.94041,3.045
531,0.014447,6.94145,3.0441
532,0.0143027,6.94248,3.04321
533,0.0141599,6.94351,3.04233
534,0.0140184,6.94452,3.04146
535,0.0138783,6.94552,3.0406
536,0.0137395,6.94651,3.03975
537,0.0136021,6.94749,3.03891
