step,0,1,2,3,4,5,6,7
0,0,6.62478,0,0,1.6251,0,0,0
1,0,6.56369,0,0,1.6515,0,0,0
2,0,6.49867,0,0,1.68008,0,0,0
3,0,6.43353,0,0,1.70923,0,0,0
4,0,6.36955,0,0,1.73837,0,0,0
5,0,6.30682,0,0,1.76742,0,0,0
6,0,6.24626,0,0,1.79595,0,0,0
7,0,6.18775,0,0,1.82396,0,0,0
8,0,6.13121,0,0,1.85145,0,0,0
9,0,6.07655,0,0,1.87842,0,0,0
10,0,6.02367,0,0,1.9049,0,0,0
11,0,5.97252,0,0,1.93088,0,0,0
12,0,5.923,0,0,1.95636,0,0,0
13,0,5.87506,0,0,1.98137,0,0,0
14,0,5.82863,0,0,2.0059,0,0,0
15,0,5.78363,0,0,2.02997,0,0,0
16,0,5.74002,0,0,2.05357,0,0,0
17,0,5.69774,0,0,2.07673,0,0,0
18,0,5.65673,0,0,2.09944,0,0,0
19,0,5.61695,0,0,2.12172,0,0,0
20,0,6.07834,0,0,2.64357,0,0,0
21,0,6.04086,0,0,2.665,0,0,0
22,0,6.00402,0,0,2.68628,0,0,0
23,0,5.96783,0,0,2.70739,0,0,0
24,0,6.43229,0,0,3.22832,0,0,0
25,0,6.39739,0,0,3.24908,0,0,0
26,0,6.36282,0,0,3.26984,0,0,0
27,0,6.32862,0,0,3.29057,0,0,0
28,0,6.29544,0,0,3.31087,0,0,0
29,0,6.26325,0,0,3.33074,0,0,0
30,0,6.232,0,0,3.35019,0,0,0
31,0,6.20167,0,0,3.36924,0,0,0
32,0,6.17221,0,0,3.38789,0,0,0
33,0,6.14361,0,0,3.40614,0,0,0
34,0,6.11582,0,0,3.42402,0,0,0
35,0,6.08881,0,0,3.44152,0,0,0
36,0,6.06257,0,0,3.45865,0,0,0
37,0,6.03706,0,0,3.47542,0,0,0
38,0,6.01225,0,0,3.49184,0,0,0
39,0,5.98813,0,0,3.50792,0,0,0
40,0,5.96467,0,0,3.52367,0,0,0
41,0,5.94185,0,0,3.53908,0,0,0
42,0,5.91964,0,0,3.55417,0,0,0
43,0,5.89803,0,0,3.56895,0,0,0
44,0,5.877,0,0,3.58342,0,0,0
45,0,5.85652,0,0,3.59759,0,0,0
46,0,5.83658,0,0,3.61147,0,0,0
47,0,5.81716,0,0,3.62506,0,0,0
48,0,5.79824,0,0,3.63836,0,0,0
49,0,5.77982,0,0,3.65139,0,0,0
50,0,5.76187,0,0,3.66415,0,0,0
51,0,5.74437,0,0,3.67665,0,0,0
52,0,5.72732,0,0,3.68889,0,0,0
53,0,5.71071,0,0,3.70087,0,0,0
54,0,5.6945,0,0,3.71261,0,0,0
55,0,5.67871,0,0,3.72411,0,0,0
56,0,5.66331,0,0,3.73537,0,0,0
57,0,5.64828,0,0,3.7464,0,0,0
58,0,5.63363,0,0,3.75721,0,0,0
59,0,5.61934,0,0,3.76779,0,0,0
60,0,5.60539,0,0,3.77816,0,0,0
61,0,5.59178,0,0,3.78832,0,0,0
62,0,5.5785,0,0,3.79827,0,0,0
63,0,5.56554,0,0,3.80801,0,0,0
64,0,5.55289,0,0,3.81756,0,0,0
65,0,5.54054,0,0,3.82692,0,0,0
66,0,5.52848,0,0,3.83609,0,0,0
67,0,5.51671,0,0,3.84507,0,0,0
68,0,5.50521,0,0,3.85387,0,0,0
69,0,5.49398,0,0,3.86249,0,0,0
70,0,5.48301,0,0,3.87094,0,0,0
71,0,5.4723,0,0,3.87922,0,0,0
72,0,5.46183,0,0,3.88733,0,0,0
73,0,5.4516,0,0,3.89528,0,0,0
74,0,5.44161,0,0,3.90307,0,0,0
75,0,5.43184,0,0,3.91071,0,0,0
76,0,5.4223,0,0,3.91819,0,0,0
77,0,5.41297,0,0,3.92553,0,0,0
78,0,5.40385,0,0,3.93272,0,0,0
79,0,5.39494,0,0,3.93976,0,0,0
80,0,5.38622,0,0,3.94667,0,0,0
81,0,5.3777,0,0,3.95344,0,0,0
82,0,5.36937,0,0,3.96008,0,0,0
83,0,5.36122,0,0,3.96658,0,0,0
84,0,5.35325,0,0,3.97296,0,0,0
85,0,5.34545,0,0,3.97921,0,0,0
86,0,5.33783,0,0,3.98534,0,0,0
87,0,5.33037,0,0,3.99135,0,0,0
88,0,5.32307,0,0,3.99724,0,0,0
89,0,5.31593,0,0,4.00302,0,0,0
90,0,5.30894,0,0,4.00868,0,0,0
91,0,5.30211,0,0,4.01424,0,0,0
92,0,5.29541,0,0,4.01968,0,0,0
93,0,5.28887,0,0,4.02503,0,0,0
94,0,5.28246,0,0,4.03026,0,0,0
95,0,5.27618,0,0,4.0354,0,0,0
96,0,5.27004,0,0,4.04044,0,0,0
97,0,5.26403,0,0,4.04538,0,0,0
98,0,5.25814,0,0,4.05022,0,0,0
99,0,5.25238,0,0,4.05497,0,0,0
100,0,5.24673,0,0,4.05964,0,0,0
101,0,5.24121,0,0,4.06421,0,0,0
102,0,5.23579,0,0,4.06869,0,0,0
103,0,5.23049,0,0,4.07309,0,0,0
104,0,5.2253,0,0,4.07741,0,0,0
105,0,5.22021,0,0,4.08164,0,0,0
106,0,5.21523,0,0,4.0858,0,0,0
107,0,5.21035,0,0,4.08987,0,0,0
108,0,5.20556,0,0,4.09387,0,0,0
109,0,5.20088,0,0,4.09779,0,0,0
110,0,5.19628,0,0,4.10164,0,0,0
