step,sumCost
0,32.6472
1,23.9909
2,16.2722
3,9.49094
4,3.64719
5,-1.25906
6,-5.22781
7,-8.25906
8,-10.3528
9,-11.5091
10,-11.7278
11,-11.0091
12,-9.35281
13,-6.75906
14,-3.22781
15,1.24094
16,6.64719
17,12.9909
18,20.2722
19,28.4909
20,37.6472
21,26.7336
22,19.0148
23,12.2336
24,6.38983
25,1.48358
26,-2.48517
27,-5.51642
28,-7.61017
29,-8.76642
30,-8.98517
31,-8.26642
32,-6.61017
33,-4.01642
34,-0.485173
35,3.98358
36,9.38983
37,15.7336
38,23.0148
39,31.2336
40,40.3898
41,21.7575
42,14.9762
43,9.13247
44,4.22622
45,0.257468
46,-2.77378
47,-4.86753
48,-6.02378
49,-6.24253
50,-5.52378
51,-3.86753
52,-1.27378
53,2.25747
54,6.72622
55,12.1325
56,18.4762
57,25.7575
58,33.9762
59,43.1325
60,17.7189
61,11.8751
62,6.96886
63,3.00011
64,-0.0311417
65,-2.12489
66,-3.28114
67,-3.49989
68,-2.78114
69,-1.12489
70,1.46886
71,5.00011
72,9.46886
73,14.8751
74,21.2189
75,28.5001
76,36.7189
77,45.8751
78,14.6177
79,9.7115
80,5.74275
81,2.7115
82,0.617749
83,-0.538501
84,-0.757251
85,-0.038501
86,1.61775
87,4.2115
88,7.74275
89,12.2115
90,17.6177
91,23.9615
92,31.2427
93,39.4615
94,48.6177
95,12.4541
96,8.48539
97,5.45414
98,3.36039
99,2.20414
100,1.98539
101,2.70414
102,4.36039
103,6.95414
104,10.4854
105,14.9541
106,20.3604
107,26.7041
108,33.9854
109,42.2041
110,51.3604
111,11.228
112,8.19678
113,6.10303
114,4.94678
115,4.72803
116,5.44678
117,7.10303
118,9.69678
119,13.228
120,17.6968
121,23.103
122,29.4468
123,36.728
124,44.9468
125,54.103
126,10.9394
127,8.84567
128,7.68942
129,7.47067
130,8.18942
131,9.84567
132,12.4394
133,15.9707
134,20.4394
135,25.8457
136,32.1894
137,39.4707
138,47.6894
139,56.8457
140,11.5883
141,10.4321
142,10.2133
143,10.9321
144,12.5883
145,15.1821
146,18.7133
147,23.1821
148,28.5883
149,34.9321
150,42.2133
151,50.4321
152,59.5883
153,13.1747
154,12.956
155,13.6747
156,15.331
157,17.9247
158,21.456
159,25.9247
160,31.331
161,37.6747
162,44.956
163,53.1747
164,62.331
165,15.6986
166,16.4173
167,18.0736
168,20.6673
169,24.1986
170,28.6673
171,34.0736
172,40.4173
173,47.6986
174,55.9173
175,65.0736
176,19.16
177,20.8162
178,23.41
179,26.9412
180,31.41
181,36.8162
182,43.16
183,50.4412
184,58.66
185,67.8162
186,23.5589
187,26.1526
188,29.6839
189,34.1526
190,39.5589
191,45.9026
192,53.1839
193,61.4026
194,70.5589
195,28.8953
196,32.4265
197,36.8953
198,42.3015
199,48.6453
200,55.9265
201,64.1453
202,73.3015
203,35.1692
204,39.6379
205,45.0442
206,51.3879
207,58.6692
208,66.8879
209,76.0442
210,42.3805
211,47.7868
212,54.1305
213,61.4118
214,69.6305
215,78.7868
216,50.5294
217,56.8732
218,64.1544
219,72.3732
220,81.5294
221,59.6158
222,66.8971
223,75.1158
224,84.2721
225,69.6397
226,77.8585
227,87.0147
228,80.6011
229,89.7574
230,92.5
