step,storeRevenue
0,248.089
1,248.089
2,248.089
3,248.089
4,248.089
5,248.089
6,248.089
7,248.089
8,248.089
9,248.089
10,248.089
11,248.089
12,248.089
13,248.089
14,248.089
15,248.089
16,248.089
17,248.089
18,248.089
19,248.089
20,248.089
21,248.089
22,248.089
23,248.089
24,248.089
25,248.089
26,248.089
27,248.089
28,248.089
29,248.089
30,248.089
31,248.089
32,248.089
33,248.089
34,248.089
35,248.089
36,248.089
37,248.089
38,248.089
39,248.089
40,248.089
41,248.089
42,248.089
43,248.089
44,248.089
45,248.089
46,248.089
47,248.089
48,248.089
49,248.089
50,248.089
51,248.089
52,248.089
53,248.089
54,248.089
55,248.089
56,248.089
57,248.089
58,248.089
59,248.089
60,248.089
61,248.089
62,248.089
63,248.089
64,248.089
65,248.089
66,248.089
67,248.089
68,248.089
69,248.089
70,248.089
71,248.089
72,248.089
73,248.089
74,248.089
75,248.089
76,248.089
77,248.089
78,248.089
79,248.089
80,248.089
81,248.089
82,248.089
83,248.089
84,248.089
85,248.089
86,248.089
87,248.089
88,248.089
89,248.089
90,248.089
91,248.089
92,248.089
93,248.089
94,248.089
95,248.089
96,248.089
97,248.089
98,248.089
99,248.089
100,248.089
101,248.089
102,248.089
103,248.089
104,248.089
105,248.089
106,248.089
107,248.089
108,248.089
109,248.089
110,248.089
111,248.089
112,248.089
113,248.089
114,248.089
115,248.089
116,248.089
117,248.089
118,248.089
119,248.089
120,248.089
121,248.089
122,248.089
123,248.089
124,248.089
125,248.089
126,248.089
127,248.089
128,248.089
129,248.089
130,248.089
131,248.089
132,248.089
133,248.089
134,248.089
135,248.089
136,248.089
137,248.089
138,248.089
139,248.089
140,248.089
141,248.089
142,248.089
143,248.089
144,248.089
145,248.089
146,248.089
147,248.089
148,248.089
149,248.089
150,248.089
151,248.089
152,248.089
153,248.089
154,248.089
155,248.089
156,248.089
157,248.089
158,248.089
159,248.089
160,248.089
161,248.089
162,248.089
163,248.089
164,248.089
165,248.089
166,248.089
167,248.089
168,248.089
169,248.089
170,248.089
171,248.089
172,248.089
173,248.089
174,248.089
175,248.089
176,248.089
177,248.089
178,248.089
179,248.089
180,248.089
181,248.089
182,248.089
183,248.089
184,248.089
185,248.089
186,248.089
187,248.089
188,248.089
189,248.089
190,248.089
191,248.089
192,248.089
193,248.089
194,248.089
195,248.089
196,248.089
197,248.089
198,248.089
199,248.089
200,248.089
201,248.089
202,248.089
203,248.089
204,248.089
205,248.089
206,248.089
207,248.089
208,248.089
209,248.089
210,248.089
211,248.089
212,248.089
213,248.089
214,248.089
215,248.089
216,248.089
217,248.089
218,248.089
219,248.089
220,248.089
221,248.089
222,248.089
223,248.089
224,248.089
225,248.089
226,248.089
227,248.089
228,248.089
229,248.089
230,248.089
231,248.089
232,248.089
233,248.089
234,248.089
235,248.089
236,248.089
237,248.089
238,248.089
239,248.089
240,248.089
241,248.089
242,248.089
243,248.089
244,248.089
245,248.089
246,248.089
247,248.089
248,248.089
249,248.089
250,248.089
251,248.089
252,248.089
253,248.089
254,248.089
255,248.089
256,248.089
257,248.089
258,248.089
259,248.089
260,248.089
261,248.089
262,248.089
263,248.089
264,248.089
265,248.089
266,248.089
267,248.089
268,248.089
269,248.089
270,248.089
271,248.089
272,248.089
273,248.089
274,248.089
275,248.089
276,248.089
277,248.089
278,248.089
279,248.089
280,248.089
281,248.089
282,248.089
283,248.089
284,248.089
285,248.089
286,248.089
287,248.089
288,248.089
289,248.089
290,248.089
291,248.089
292,248.089
293,248.089
294,248.089
295,248.089
296,248.089
297,248.089
298,248.089
299,248.089
300,248.089
301,248.089
302,248.089
303,248.089
304,248.089
305,248.089
306,248.089
307,248.089
308,248.089
309,248.089
310,248.089
311,248.089
312,248.089
313,248.089
314,248.089
315,248.089
316,248.089
317,248.089
318,248.089
319,248.089
320,248.089
321,248.089
322,248.089
323,248.089
324,248.089
325,248.089
326,248.089
327,248.089
328,248.089
329,248.089
330,248.089
331,248.089
332,248.089
333,248.089
334,248.089
335,248.089
336,248.089
337,248.089
338,248.089
339,248.089
340,248.089
341,248.089
342,248.089
343,248.089
344,248.089
345,248.089
346,248.089
347,248.089
348,248.089
349,248.089
350,248.089
351,248.089
352,248.089
353,248.089
354,248.089
355,248.089
356,248.089
357,248.089
358,248.089
359,248.089
360,248.089
361,248.089
362,248.089
363,248.089
364,248.089
365,248.089
366,248.089
367,248.089
368,248.089
369,248.089
370,248.089
371,248.089
372,248.089
373,248.089
374,248.089
375,248.089
376,248.089
377,248.089
378,248.089
379,248.089
380,248.089
381,248.089
382,248.089
383,248.089
384,248.089
385,248.089
386,248.089
387,248.089
388,248.089
389,248.089
390,248.089
391,248.089
392,248.089
393,248.089
394,248.089
395,248.089
396,248.089
397,248.089
398,248.089
399,248.089
400,248.089
401,248.089
402,248.089
403,248.089
404,248.089
405,248.089
406,248.089
407,248.089
408,248.089
409,248.089
410,248.089
411,248.089
412,248.089
413,248.089
414,248.089
415,248.089
416,248.089
417,248.089
418,248.089
419,248.089
420,248.089
421,248.089
422,248.089
423,248.089
424,248.089
425,248.089
426,248.089
427,248.089
428,248.089
429,248.089
430,248.089
431,248.089
432,248.089
433,248.089
434,248.089
435,248.089
436,248.089
437,248.089
438,248.089
439,248.089
440,248.089
441,248.089
442,248.089
443,248.089
444,248.089
445,248.089
446,248.089
447,248.089
448,248.089
449,248.089
450,248.089
451,248.089
452,248.089
453,248.089
454,248.089
455,248.089
456,248.089
457,248.089
458,248.089
459,248.089
460,248.089
461,248.089
462,248.089
463,248.089
464,248.089
465,248.089
466,248.089
467,248.089
468,248.089
469,248.089
470,248.089
471,248.089
472,248.089
473,248.089
474,248.089
475,248.089
476,248.089
477,248.089
478,248.089
479,248.089
480,248.089
481,248.089
482,248.089
483,248.089
484,248.089
485,248.089
486,248.089
487,248.089
488,248.089
489,248.089
490,248.089
491,248.089
492,248.089
493,248.089
494,248.089
495,248.089
496,248.089
497,248.089
498,248.089
499,248.089
500,248.089
501,248.089
502,248.089
503,248.089
504,248.089
505,248.089
506,248.089
507,248.089
508,248.089
509,248.089
510,248.089
511,248.089
512,248.089
513,248.089
514,248.089
515,248.089
516,248.089
517,248.089
518,248.089
519,248.089
520,248.089
521,248.089
522,248.089
523,248.089
524,248.089
525,248.089
526,248.089
527,248.089
528,248.089
529,248.089
530,248.089
531,248.089
532,248.089
533,248.089
534,248.089
535,248.089
536,248.089
537,248.089
538,248.089
539,248.089
540,248.089
541,248.089
542,248.089
543,248.089
544,248.089
545,248.089
546,248.089
547,248.089
548,248.089
549,248.089
550,248.089
551,248.089
552,248.089
553,248.089
554,248.089
555,248.089
556,248.089
557,248.089
558,248.089
559,248.089
560,248.089
561,248.089
562,248.089
563,248.089
564,248.089
565,248.089
566,248.089
567,248.089
568,248.089
569,248.089
570,248.089
571,248.089
572,248.089
573,248.089
574,248.089
575,248.089
576,248.089
577,248.089
578,248.089
579,248.089
580,248.089
581,248.089
582,248.089
583,248.089
584,248.089
585,248.089
586,248.089
587,248.089
588,248.089
589,248.089
590,248.089
591,248.089
592,248.089
593,248.089
594,248.089
595,248.089
596,248.089
597,248.089
598,248.089
599,248.089
600,248.089
601,248.089
602,248.089
603,248.089
604,248.089
605,248.089
606,248.089
607,248.089
608,248.089
609,248.089
610,248.089
611,248.089
612,248.089
613,248.089
614,248.089
615,248.089
616,248.089
617,248.089
618,248.089
619,248.089
620,248.089
621,248.089
622,248.089
623,248.089
624,248.089
625,248.089
626,248.089
627,248.089
628,248.089
629,248.089
630,248.089
631,248.089
632,248.089
633,248.089
634,248.089
635,248.089
636,248.089
637,248.089
638,248.089
639,248.089
640,248.089
641,248.089
642,248.089
643,248.089
644,248.089
645,248.089
646,248.089
647,248.089
648,248.089
649,248.089
650,248.089
651,248.089
652,248.089
653,248.089
654,248.089
655,248.089
656,248.089
657,248.089
658,248.089
659,248.089
660,248.089
661,248.089
662,248.089
663,248.089
664,248.089
665,248.089
666,248.089
667,248.089
668,248.089
669,248.089
670,248.089
671,248.089
672,248.089
673,248.089
674,248.089
675,248.089
676,248.089
677,248.089
678,248.089
679,248.089
680,248.089
681,248.089
682,248.089
683,248.089
684,248.089
685,248.089
686,248.089
687,248.089
688,248.089
689,248.089
690,248.089
691,248.089
692,248.089
693,248.089
694,248.089
695,248.089
696,248.089
697,248.089
698,248.089
699,248.089
700,248.089
701,248.089
702,248.089
703,248.089
704,248.089
705,248.089
706,248.089
707,248.089
708,248.089
709,248.089
710,248.089
711,248.089
712,248.089
713,248.089
714,248.089
715,248.089
716,248.089
717,248.089
718,248.089
719,248.089
720,248.089
721,248.089
722,248.089
723,248.089
724,248.089
725,248.089
726,248.089
727,248.089
728,248.089
729,248.089
730,248.089
731,248.089
732,248.089
733,248.089
734,248.089
735,248.089
736,248.089
737,248.089
738,248.089
739,248.089
740,248.089
741,248.089
742,248.089
743,248.089
744,248.089
745,248.089
746,248.089
747,248.089
748,248.089
749,248.089
750,248.089
751,248.089
752,248.089
753,248.089
754,248.089
755,248.089
756,248.089
757,248.089
758,248.089
759,248.089
760,248.089
761,248.089
762,248.089
763,248.089
764,248.089
765,248.089
766,248.089
767,248.089
768,248.089
769,248.089
770,248.089
771,248.089
772,248.089
773,248.089
774,248.089
775,248.089
776,248.089
777,248.089
778,248.089
779,248.089
780,248.089
781,248.089
782,248.089
783,248.089
784,248.089
785,248.089
786,248.089
787,248.089
788,248.089
789,248.089
790,248.089
791,248.089
792,248.089
793,248.089
794,248.089
795,248.089
796,248.089
797,248.089
798,248.089
