step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0,0,0,0,0,0,0,0,0,0.93633,9.06367,0,0,0,0,0,0,0,0.93633,8.12734,0,0,0,0,0,0,0,0.93633,0,0,0,0,0,0,0,0,1.87266,0,3.93179e-21,8.12734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87266,0,1.69732e-43,8.12734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87266,0,0,0,0,0,0,0,0,8.12734
1,0,0,0,0,0,0,0,0,1.26179,8.73821,0,0,0,0,0,0,0,1.26179,7.47642,0,0,0,0,0,0,0,1.26179,0,0,0,0,0,0,0,0,2.52358,0,0.0733303,7.40309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59691,0,1.41028e-43,7.40309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59691,0,0,0,0,0,0,0,0,7.40309
2,0,0,0,0,0,0,0,0,1.46233,8.53767,0,0,0,0,0,0,0,1.46233,7.07534,0,0,0,0,0,0,0,1.46233,0,0,0,0,0,0,0,0,2.92466,0,0.0850201,6.99032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00968,0,1.21882e-43,6.99032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00968,0,0,0,0,0,0,0,0,6.99032
3,0,0,0,0,0,0,0,0,1.59714,8.40286,0,0,0,0,0,0,0,1.59714,6.80572,0,0,0,0,0,0,0,1.59714,0,0,0,0,0,0,0,0,3.19428,0,0.0813014,6.72442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27558,0,1.07724e-43,6.72442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27558,0,0,0,0,0,0,0,0,6.72442
4,0,0,0,0,0,0,0,0,1.69203,8.30797,0,0,0,0,0,0,0,1.69203,6.61594,0,0,0,0,0,0,0,1.69203,0,0,0,0,0,0,0,0,3.38406,0,0.0779587,6.53798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46202,0,9.65921e-44,6.53798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46202,0,0,0,0,0,0,0,0,6.53798
5,0,0,0,0,0,0,0,0,1.76051,8.23949,0,0,0,0,0,0,0,1.76051,6.47898,0,0,0,0,0,0,0,1.76051,0,0,0,0,0,0,0,0,3.52102,0,0.0748979,6.40408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59592,0,8.74815e-44,6.40408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59592,0,0,0,0,0,0,0,0,6.40408
6,0,0,0,0,0,0,0,0,1.81082,8.18918,0,0,0,0,0,0,0,1.81082,6.37836,0,0,0,0,0,0,0,1.81082,0,0,0,0,0,0,0,0,3.62164,0,0.072058,6.30631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69369,0,7.97977e-44,6.30631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69369,0,0,0,0,0,0,0,0,6.30631
7,0,0,0,0,0,0,0,0,1.84825,8.15175,0,0,0,0,0,0,0,1.84825,6.3035,0,0,0,0,0,0,0,1.84825,0,0,0,0,0,0,0,0,3.6965,0,0.0693973,6.2341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7659,0,7.31675e-44,6.2341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7659,0,0,0,0,0,0,0,0,6.2341
8,0,0,0,0,0,0,0,0,1.87638,8.12362,0,0,0,0,0,0,0,1.87638,6.24725,0,0,0,0,0,0,0,1.87638,0,0,0,0,0,0,0,0,3.75275,0,0.0668866,6.18036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81964,0,6.73456e-44,6.18036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81964,0,0,0,0,0,0,0,0,6.18036
9,0,0,0,0,0,0,0,0,1.89767,8.10233,0,0,0,0,0,0,0,1.89767,6.20466,0,0,0,0,0,0,0,1.89767,0,0,0,0,0,0,0,0,3.79534,0,0.0645044,6.14016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85984,0,6.21639e-44,6.14016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85984,0,0,0,0,0,0,0,0,6.14016
10,0,0,0,0,0,0,0,0,1.91389,8.08611,0,0,0,0,0,0,0,1.91389,6.17221,0,0,0,0,0,0,0,1.91389,0,0,0,0,0,0,0,0,3.82779,0,0.0622349,6.10998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89002,0,5.75037e-44,6.10998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89002,0,0,0,0,0,0,0,0,6.10998
11,0,0,0,0,0,0,0,0,1.92632,8.07368,0,0,0,0,0,0,0,1.92632,6.14736,0,0,0,0,0,0,0,1.92632,0,0,0,0,0,0,0,0,3.85264,0,0.0600659,6.08729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91271,0,5.32787e-44,6.08729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91271,0,0,0,0,0,0,0,0,6.08729
12,0,0,0,0,0,0,0,0,1.93589,8.06411,0,0,0,0,0,0,0,1.93589,6.12823,0,0,0,0,0,0,0,1.93589,0,0,0,0,0,0,0,0,3.87177,0,0.0579882,6.07024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92976,0,4.94243e-44,6.07024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92976,0,0,0,0,0,0,0,0,6.07024
